"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","6,055","6,090","6,100","6,015","97.99K","0.17%"
"2024- 04- 29","6,045","5,990","6,045","5,945","80.76K","2.63%"
"2024- 04- 26","5,890","5,905","5,920","5,880","61.75K","-0.25%"
"2024- 04- 25","5,905","6,030","6,030","5,890","167.49K","-2.07%"
"2024- 04- 24","6,030","5,965","6,035","5,955","83.76K","2.03%"
"2024- 04- 23","5,910","6,020","6,020","5,885","68.98K","-1.66%"
"2024- 04- 22","6,010","6,055","6,080","5,940","103.01K","0.59%"
"2024- 04- 19","5,975","6,025","6,025","5,855","60.21K","-0.75%"
"2024- 04- 18","6,020","5,950","6,030","5,920","52.59K","2.21%"
"2024- 04- 17","5,890","5,960","5,960","5,885","18.98K","-0.42%"
"2024- 04- 16","5,915","5,930","5,930","5,860","37.35K","-0.76%"
"2024- 04- 15","5,960","6,025","6,025","5,910","44.58K","-1.08%"
"2024- 04- 12","6,025","6,145","6,145","6,010","25.23K","-2.03%"
"2024- 04- 11","6,150","6,095","6,150","5,960","47.73K","0.16%"
"2024- 04- 09","6,140","6,250","6,250","6,120","111.54K","-0.41%"
"2024- 04- 08","6,165","6,280","6,280","6,150","73.05K","-0.72%"
"2024- 04- 05","6,210","6,250","6,250","6,150","76.46K","-0.56%"
"2024- 04- 04","6,245","6,340","6,340","6,210","39.19K","-0.08%"
"2024- 04- 03","6,250","6,300","6,300","6,235","56.06K","-0.71%"
"2024- 04- 02","6,295","6,400","6,400","6,295","90.80K","-2.18%"
"2024- 04- 01","6,435","6,380","6,445","6,380","99.54K","1.34%"
"2024- 03- 29","6,350","6,380","6,405","6,295","45.26K","-0.47%"
"2024- 03- 28","6,380","6,445","6,445","6,355","57.30K","-0.78%"
"2024- 03- 27","6,430","6,340","6,440","6,335","136.34K","1.66%"
"2024- 03- 26","6,325","6,215","6,325","6,215","149.73K","1.69%"
"2024- 03- 25","6,220","6,160","6,230","6,115","37.75K","1.39%"
"2024- 03- 22","6,135","6,190","6,190","6,115","38.74K","-1.05%"
"2024- 03- 21","6,200","6,165","6,210","6,150","89.19K","1.22%"
"2024- 03- 20","6,125","6,195","6,195","6,095","52.67K","0.57%"
"2024- 03- 19","6,090","6,190","6,190","6,060","39.98K","-0.98%"
"2024- 03- 18","6,150","6,100","6,150","6,060","57.25K","1.23%"
"2024- 03- 15","6,075","6,175","6,175","6,055","76.14K","-1.46%"
"2024- 03- 14","6,165","6,170","6,240","6,120","86.63K","-0.16%"
"2024- 03- 13","6,175","6,180","6,205","6,135","191.81K","0.16%"
"2024- 03- 12","6,165","6,195","6,195","6,090","71.41K","0.90%"
"2024- 03- 11","6,110","5,945","6,110","5,945","128.03K","2.78%"
"2024- 03- 08","5,945","5,955","5,985","5,910","92.36K","1.54%"
"2024- 03- 07","5,855","5,955","5,955","5,800","25.04K","-0.26%"
"2024- 03- 06","5,870","6,015","6,015","5,845","28.45K","-1.59%"
"2024- 03- 05","5,965","6,045","6,045","5,955","111.10K","-1.32%"
"2024- 03- 04","6,045","6,250","6,250","6,030","111.74K","-2.11%"
"2024- 02- 29","6,175","6,300","6,300","6,130","32.08K","-1.98%"
"2024- 02- 28","6,300","6,195","6,355","6,195","11.53K","0.24%"
"2024- 02- 27","6,285","6,400","6,400","6,240","35.46K","-0.95%"
"2024- 02- 26","6,345","6,400","6,400","6,315","96.71K","-0.24%"
"2024- 02- 23","6,360","6,430","6,430","6,340","85.20K","-0.63%"
"2024- 02- 22","6,400","6,400","6,410","6,360","23.04K","0.39%"
"2024- 02- 21","6,375","6,420","6,420","6,320","55.11K","0.08%"
"2024- 02- 20","6,370","6,440","6,440","6,335","17.31K","-0.23%"
"2024- 02- 19","6,385","6,415","6,440","6,370","30.89K","-0.47%"
"2024- 02- 16","6,415","6,500","6,510","6,405","214.45K","-0.70%"
"2024- 02- 15","6,460","6,395","6,505","6,395","60.78K","1.17%"
"2024- 02- 14","6,385","6,280","6,405","6,180","42.94K","1.43%"
"2024- 02- 13","6,295","6,230","6,310","6,230","32.77K","1.04%"
"2024- 02- 08","6,230","6,240","6,240","6,165","23.83K","1.05%"
"2024- 02- 07","6,165","6,135","6,210","6,115","70.46K","0.49%"
"2024- 02- 06","6,135","6,265","6,265","6,125","94.18K","-1.37%"
"2024- 02- 05","6,220","6,380","6,380","6,185","56.07K","-2.12%"
"2024- 02- 02","6,355","6,255","6,355","6,205","50.36K","3.59%"
"2024- 02- 01","6,135","6,170","6,170","6,035","107.32K","-0.41%"
"2024- 01- 31","6,160","6,345","6,345","6,125","23.12K","-2.69%"
"2024- 01- 30","6,330","6,440","6,440","6,285","57.74K","-0.63%"
"2024- 01- 29","6,370","6,365","6,450","6,310","66.44K","-1.01%"
"2024- 01- 26","6,435","6,435","6,495","6,350","38.43K","0.63%"
"2024- 01- 25","6,395","6,565","6,565","6,330","14.93K","-2.22%"
"2024- 01- 24","6,540","6,605","6,605","6,475","72.08K","0.00%"
"2024- 01- 23","6,540","6,445","6,540","6,410","57.52K","1.55%"
"2024- 01- 22","6,440","6,600","6,600","6,425","80.79K","-0.69%"
"2024- 01- 19","6,485","6,465","6,485","6,400","57.56K","2.37%"
"2024- 01- 18","6,335","6,385","6,385","6,260","43.31K","0.00%"
"2024- 01- 17","6,335","6,600","6,600","6,300","79.10K","-3.28%"
"2024- 01- 16","6,550","6,730","6,730","6,525","58.50K","-2.46%"
"2024- 01- 15","6,715","6,725","6,790","6,685","110.91K","-1.10%"
"2024- 01- 12","6,790","6,955","6,955","6,750","96.42K","-2.37%"
"2024- 01- 11","6,955","6,885","6,990","6,885","78.03K","1.02%"
"2024- 01- 10","6,885","6,935","6,935","6,850","73.02K","-0.72%"
"2024- 01- 09","6,935","6,965","6,965","6,875","88.56K","1.46%"
"2024- 01- 08","6,835","6,740","6,840","6,740","70.18K","1.41%"
"2024- 01- 05","6,740","6,710","6,785","6,690","117.35K","0.52%"
"2024- 01- 04","6,705","6,650","6,710","6,635","60.54K","-0.30%"
"2024- 01- 03","6,725","6,805","6,805","6,710","91.36K","-2.11%"
"2024- 01- 02","6,870","6,685","6,870","6,640","59.87K","2.38%"
