"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","19,990","19,950","20,170","19,950","3.67K","0.38%"
"2024- 04- 29","19,915","20,015","20,015","19,770","7.91K","0.48%"
"2024- 04- 26","19,820","19,920","19,925","19,750","1.83K","1.38%"
"2024- 04- 25","19,550","19,680","19,905","19,550","2.83K","-2.49%"
"2024- 04- 24","20,050","19,925","20,105","19,785","25.28K","3.89%"
"2024- 04- 23","19,300","19,640","19,640","19,300","17.64K","-0.97%"
"2024- 04- 22","19,490","19,535","19,535","19,190","1.88K","-0.38%"
"2024- 04- 19","19,565","19,825","19,825","19,195","4.73K","-2.90%"
"2024- 04- 18","20,150","19,730","20,155","19,645","1.09K","2.13%"
"2024- 04- 17","19,730","19,845","20,080","19,725","4.24K","-0.58%"
"2024- 04- 16","19,845","20,320","20,320","19,760","10.00K","-3.48%"
"2024- 04- 15","20,560","20,630","20,660","20,275","2.66K","-0.99%"
"2024- 04- 12","20,765","20,880","20,995","20,730","1.83K","-0.12%"
"2024- 04- 11","20,790","20,505","20,860","20,430","2.54K","1.02%"
"2024- 04- 09","20,580","20,780","20,845","20,495","3.46K","-0.36%"
"2024- 04- 08","20,655","20,955","20,955","20,625","4.77K","-0.70%"
"2024- 04- 05","20,800","20,940","20,975","20,690","3.56K","-1.75%"
"2024- 04- 04","21,170","21,000","21,170","20,950","15.02K","2.82%"
"2024- 04- 03","20,590","20,940","20,940","20,570","10.90K","-2.62%"
"2024- 04- 02","21,145","21,285","21,335","21,065","31.03K","0.38%"
"2024- 04- 01","21,065","21,030","21,280","21,020","13.59K","0.79%"
"2024- 03- 29","20,900","20,885","20,970","20,640","9.49K","0.70%"
"2024- 03- 28","20,755","20,745","20,845","20,620","21.73K","0.68%"
"2024- 03- 27","20,615","20,435","20,660","20,435","10.97K","1.43%"
"2024- 03- 26","20,325","20,225","20,570","20,225","14.60K","1.35%"
"2024- 03- 25","20,055","20,230","20,285","19,980","23.37K","0.25%"
"2024- 03- 22","20,005","20,060","20,155","19,900","13.83K","0.18%"
"2024- 03- 21","19,970","19,725","20,000","19,725","19.03K","3.42%"
"2024- 03- 20","19,310","19,230","19,385","19,230","2.43K","0.42%"
"2024- 03- 19","19,230","19,305","19,305","19,000","1.06K","-0.39%"
"2024- 03- 18","19,305","19,165","19,335","19,065","5.31K","1.63%"
"2024- 03- 15","18,995","19,180","19,195","18,930","5.54K","-1.81%"
"2024- 03- 14","19,345","19,530","19,530","19,230","4.88K","-0.77%"
"2024- 03- 13","19,495","19,525","19,670","19,385","6.95K","-0.03%"
"2024- 03- 12","19,500","19,120","19,500","19,120","2.43K","1.99%"
"2024- 03- 11","19,120","19,105","19,155","18,985","2.11K","-1.06%"
