"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","7,115","7,155","7,190","7,095","74.49K","-0.70%"
"2024- 04- 29","7,165","7,060","7,165","7,085","43.92K","1.49%"
"2024- 04- 26","7,060","7,070","7,090","7,040","70.03K","0.36%"
"2024- 04- 25","7,035","7,140","7,140","7,020","106.75K","-1.88%"
"2024- 04- 24","7,170","7,140","7,195","7,140","113.65K","0.91%"
"2024- 04- 23","7,105","7,115","7,170","7,080","56.67K","-0.63%"
"2024- 04- 22","7,150","7,140","7,235","7,090","75.36K","0.42%"
"2024- 04- 19","7,120","7,195","7,195","7,010","73.57K","-1.39%"
"2024- 04- 18","7,220","7,085","7,220","7,055","42.29K","2.48%"
"2024- 04- 17","7,045","7,045","7,140","7,030","51.99K","-0.07%"
"2024- 04- 16","7,050","7,000","7,060","6,975","54.94K","-0.70%"
"2024- 04- 15","7,100","7,010","7,130","7,010","64.98K","-0.49%"
"2024- 04- 12","7,135","7,200","7,250","7,120","45.27K","-1.25%"
"2024- 04- 11","7,225","7,220","7,235","7,100","48.89K","-0.48%"
"2024- 04- 09","7,260","7,330","7,415","7,245","121.24K","-0.95%"
"2024- 04- 08","7,330","7,340","7,375","7,305","81.26K","0.55%"
"2024- 04- 05","7,290","7,260","7,305","7,210","42.59K","-0.07%"
"2024- 04- 04","7,295","7,300","7,360","7,275","49.35K","0.14%"
"2024- 04- 03","7,285","7,355","7,355","7,270","79.77K","-1.09%"
"2024- 04- 02","7,365","7,545","7,545","7,335","105.88K","-2.39%"
"2024- 04- 01","7,545","7,480","7,580","7,475","100.46K","1.41%"
"2024- 03- 29","7,440","7,440","7,500","7,390","60.23K","0.00%"
"2024- 03- 28","7,440","7,525","7,540","7,425","57.74K","-1.06%"
"2024- 03- 27","7,520","7,395","7,555","7,395","137.93K","1.21%"
"2024- 03- 26","7,430","7,270","7,430","7,265","110.64K","2.20%"
"2024- 03- 25","7,270","7,195","7,280","7,175","64.52K","1.04%"
"2024- 03- 22","7,195","7,280","7,280","7,180","68.45K","-1.17%"
"2024- 03- 21","7,280","7,240","7,340","7,240","52.56K","0.90%"
"2024- 03- 20","7,215","7,210","7,295","7,200","84.37K","0.07%"
"2024- 03- 19","7,210","7,275","7,275","7,195","67.54K","-0.89%"
"2024- 03- 18","7,275","7,155","7,300","7,155","41.85K","1.46%"
"2024- 03- 15","7,170","7,300","7,300","7,115","63.62K","-1.38%"
"2024- 03- 14","7,270","7,360","7,410","7,235","88.12K","-0.62%"
"2024- 03- 13","7,315","7,210","7,370","7,195","174.12K","1.04%"
"2024- 03- 12","7,240","7,250","7,265","7,125","49.62K","0.91%"
"2024- 03- 11","7,175","6,975","7,175","6,975","105.78K","2.87%"
"2024- 03- 08","6,975","6,870","7,005","6,870","116.10K","1.90%"
"2024- 03- 07","6,845","6,930","6,930","6,815","122.69K","-1.37%"
"2024- 03- 06","6,940","6,965","6,985","6,900","58.65K","-0.36%"
"2024- 03- 05","6,965","7,030","7,070","6,965","99.82K","-1.55%"
"2024- 03- 04","7,075","7,175","7,250","7,055","76.53K","-0.77%"
"2024- 02- 29","7,130","7,230","7,230","7,120","57.94K","-1.45%"
"2024- 02- 28","7,235","7,200","7,305","7,105","53.99K","0.49%"
"2024- 02- 27","7,200","7,315","7,315","7,185","68.02K","-1.57%"
"2024- 02- 26","7,315","7,310","7,365","7,270","74.50K","0.00%"
"2024- 02- 23","7,315","7,400","7,425","7,300","103.52K","-0.34%"
"2024- 02- 22","7,340","7,315","7,365","7,300","51.99K","0.41%"
"2024- 02- 21","7,310","7,200","7,340","7,200","75.10K","0.76%"
"2024- 02- 20","7,255","7,270","7,290","7,215","63.49K","-0.48%"
"2024- 02- 19","7,290","7,250","7,360","7,230","74.05K","-0.07%"
"2024- 02- 16","7,295","7,340","7,400","7,295","55.92K","-0.95%"
"2024- 02- 15","7,365","7,365","7,430","7,330","98.29K","0.89%"
"2024- 02- 14","7,300","7,100","7,315","7,050","76.48K","1.88%"
"2024- 02- 13","7,165","7,140","7,220","7,120","92.17K","0.77%"
"2024- 02- 08","7,110","7,070","7,165","7,060","54.83K","1.21%"
"2024- 02- 07","7,025","7,010","7,080","6,965","95.50K","0.21%"
"2024- 02- 06","7,010","7,060","7,090","6,950","71.01K","-0.71%"
"2024- 02- 05","7,060","7,140","7,140","7,025","84.93K","-1.60%"
"2024- 02- 02","7,175","7,025","7,180","6,990","78.94K","2.72%"
"2024- 02- 01","6,985","7,030","7,060","6,905","122.50K","-0.85%"
"2024- 01- 31","7,045","7,160","7,190","7,030","64.80K","-2.15%"
"2024- 01- 30","7,200","7,205","7,220","7,150","61.26K","-0.21%"
"2024- 01- 29","7,215","7,305","7,350","7,180","105.34K","-1.50%"
"2024- 01- 26","7,325","7,275","7,390","7,220","89.07K","0.69%"
"2024- 01- 25","7,275","7,350","7,350","7,215","53.41K","-1.42%"
"2024- 01- 24","7,380","7,380","7,380","7,300","75.92K","0.27%"
"2024- 01- 23","7,360","7,285","7,360","7,225","116.70K","1.03%"
"2024- 01- 22","7,285","7,265","7,345","7,240","60.49K","0.83%"
"2024- 01- 19","7,225","7,120","7,285","7,120","75.83K","1.62%"
"2024- 01- 18","7,110","7,035","7,135","7,025","89.26K","0.78%"
"2024- 01- 17","7,055","7,280","7,320","7,050","109.48K","-2.96%"
"2024- 01- 16","7,270","7,390","7,420","7,255","70.20K","-2.09%"
"2024- 01- 15","7,425","7,535","7,585","7,405","58.77K","-1.46%"
"2024- 01- 12","7,535","7,700","7,740","7,505","91.84K","-2.84%"
"2024- 01- 11","7,755","7,705","7,780","7,705","66.98K","0.85%"
"2024- 01- 10","7,690","7,755","7,780","7,645","75.63K","-0.84%"
"2024- 01- 09","7,755","7,695","7,765","7,695","66.84K","1.31%"
"2024- 01- 08","7,655","7,590","7,690","7,550","112.01K","0.86%"
"2024- 01- 05","7,590","7,545","7,610","7,520","61.25K","0.60%"
"2024- 01- 04","7,545","7,560","7,595","7,470","68.59K","-0.72%"
"2024- 01- 03","7,600","7,705","7,705","7,565","100.56K","-2.00%"
"2024- 01- 02","7,755","7,675","7,765","7,615","65.85K","0.78%"
