"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","11,345","11,250","11,465","11,210","214.64K","0.89%"
"2024- 04- 29","11,245","11,105","11,255","11,090","81.67K","1.72%"
"2024- 04- 26","11,055","11,125","11,270","11,010","241.17K","0.00%"
"2024- 04- 25","11,055","11,240","11,270","11,020","127.84K","-2.25%"
"2024- 04- 24","11,310","11,185","11,345","11,105","186.09K","1.48%"
"2024- 04- 23","11,145","10,965","11,195","10,880","177.48K","1.69%"
"2024- 04- 22","10,960","10,960","11,180","10,910","111.96K","1.67%"
"2024- 04- 19","10,780","10,865","10,980","10,530","361.65K","-1.87%"
"2024- 04- 18","10,985","10,560","10,985","10,560","142.65K","4.37%"
"2024- 04- 17","10,525","10,695","10,775","10,525","110.24K","-1.73%"
"2024- 04- 16","10,710","10,790","10,895","10,630","172.02K","-2.06%"
"2024- 04- 15","10,935","10,990","11,090","10,885","524.30K","-1.84%"
"2024- 04- 12","11,140","10,960","11,240","10,920","145.81K","1.55%"
"2024- 04- 11","10,970","10,805","11,020","10,710","140.54K","0.18%"
"2024- 04- 09","10,950","10,865","11,080","10,865","159.44K","0.27%"
"2024- 04- 08","10,920","11,020","11,020","10,830","222.89K","-1.18%"
"2024- 04- 05","11,050","10,950","11,130","10,915","220.54K","-1.07%"
"2024- 04- 04","11,170","11,255","11,260","11,105","201.90K","0.00%"
"2024- 04- 03","11,170","11,135","11,285","11,000","429.56K","-1.06%"
"2024- 04- 02","11,290","11,995","11,995","11,255","609.23K","-6.15%"
"2024- 04- 01","12,030","12,030","12,145","11,900","223.84K","0.50%"
"2024- 03- 29","11,970","12,140","12,165","11,930","271.37K","-0.95%"
"2024- 03- 28","12,085","11,990","12,240","11,950","320.94K","0.88%"
"2024- 03- 27","11,980","12,240","12,240","11,740","663.35K","-2.76%"
"2024- 03- 26","12,320","12,260","12,480","12,125","605.63K","0.41%"
"2024- 03- 25","12,270","11,950","12,285","11,895","528.19K","4.29%"
"2024- 03- 22","11,765","11,730","11,890","11,655","368.49K","0.90%"
"2024- 03- 21","11,660","11,495","11,705","11,490","255.18K","1.79%"
"2024- 03- 20","11,455","11,680","11,710","11,390","1.07M","-1.67%"
"2024- 03- 19","11,650","11,505","11,660","11,380","230.47K","1.30%"
"2024- 03- 18","11,500","11,315","11,740","11,315","378.51K","1.77%"
"2024- 03- 15","11,300","11,545","11,575","11,220","1.38M","-2.38%"
