"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","33,805","33,700","33,935","33,620","36.87K","0.55%"
"2024- 04- 29","33,620","33,695","33,825","33,425","124.97K","0.06%"
"2024- 04- 26","33,600","33,475","33,660","33,365","28.93K","1.51%"
"2024- 04- 25","33,100","33,565","33,705","33,100","43.84K","-3.13%"
"2024- 04- 24","34,170","33,790","34,170","33,725","45.41K","3.25%"
"2024- 04- 23","33,095","33,300","33,460","33,025","18.20K","-0.44%"
"2024- 04- 22","33,240","33,065","33,240","32,605","38.70K","1.16%"
"2024- 04- 19","32,860","33,355","33,355","32,385","49.41K","-3.15%"
"2024- 04- 18","33,930","33,080","33,950","32,900","60.63K","2.34%"
"2024- 04- 17","33,155","33,380","33,785","33,155","24.46K","-0.50%"
"2024- 04- 16","33,320","33,930","33,930","33,190","39.60K","-2.64%"
"2024- 04- 15","34,225","34,080","34,465","33,870","75.86K","-1.01%"
"2024- 04- 12","34,575","34,815","35,030","34,515","23.66K","-0.68%"
"2024- 04- 11","34,810","34,380","34,890","34,070","30.21K","0.39%"
"2024- 04- 09","34,675","34,765","35,035","34,540","31.12K","-0.16%"
"2024- 04- 08","34,730","35,050","35,050","34,680","28.68K","-0.49%"
"2024- 04- 05","34,900","35,000","35,115","34,730","81.34K","-1.86%"
"2024- 04- 04","35,560","35,140","35,560","35,140","34.68K","2.52%"
"2024- 04- 03","34,685","35,325","35,325","34,645","114.26K","-3.11%"
"2024- 04- 02","35,800","35,625","35,980","35,480","97.52K","0.73%"
"2024- 04- 01","35,540","35,760","36,055","35,515","111.04K","-0.15%"
"2024- 03- 29","35,595","35,395","35,675","35,130","103.80K","0.64%"
"2024- 03- 28","35,370","35,290","35,585","35,265","70.92K","-0.13%"
"2024- 03- 27","35,415","35,040","35,530","35,040","188.11K","1.07%"
"2024- 03- 26","35,040","35,080","35,575","34,960","190.63K","0.89%"
"2024- 03- 25","34,730","34,855","35,150","34,615","132.35K","0.03%"
"2024- 03- 22","34,720","34,590","34,945","34,500","226.49K","0.35%"
"2024- 03- 21","34,600","34,060","34,635","34,035","412.05K","3.73%"
"2024- 03- 20","33,355","33,210","33,495","33,200","58.29K","0.94%"
"2024- 03- 19","33,045","33,025","33,155","32,745","42.37K","-0.60%"
"2024- 03- 18","33,245","32,990","33,245","32,875","32.39K","0.50%"
"2024- 03- 15","33,080","33,285","33,310","32,905","53.02K","-1.99%"
"2024- 03- 14","33,750","33,755","33,950","33,500","84.51K","-0.01%"
"2024- 03- 13","33,755","33,920","34,035","33,680","124.80K","-0.09%"
"2024- 03- 12","33,785","33,240","33,795","33,230","51.95K","1.99%"
"2024- 03- 11","33,125","33,015","33,420","33,000","78.52K","-1.28%"
"2024- 03- 08","33,555","33,300","33,810","33,300","207.00K","2.04%"
"2024- 03- 07","32,885","32,285","32,885","32,190","54.41K","2.53%"
"2024- 03- 06","32,075","32,345","32,345","32,010","59.65K","-0.90%"
"2024- 03- 05","32,365","32,635","32,735","32,365","63.01K","-1.02%"
"2024- 03- 04","32,700","32,470","32,850","32,450","45.79K","1.46%"
"2024- 02- 29","32,230","32,010","32,230","31,950","20.81K","-0.09%"
"2024- 02- 28","32,260","31,995","32,415","31,995","44.94K","0.83%"
"2024- 02- 27","31,995","32,660","32,660","31,890","26.58K","-2.08%"
"2024- 02- 26","32,675","32,850","33,050","32,565","54.18K","-0.58%"
"2024- 02- 23","32,865","33,400","33,445","32,860","92.03K","-0.05%"
"2024- 02- 22","32,880","32,690","32,880","32,530","67.74K","1.78%"
"2024- 02- 21","32,305","32,340","32,535","32,180","20.76K","0.16%"
"2024- 02- 20","32,255","32,555","32,555","32,050","46.28K","-1.03%"
"2024- 02- 19","32,590","32,090","32,650","32,090","61.34K","1.54%"
"2024- 02- 16","32,095","31,985","32,150","31,815","51.25K","1.47%"
"2024- 02- 15","31,630","31,935","32,180","31,630","31.46K","-0.44%"
"2024- 02- 14","31,770","31,730","31,850","31,535","58.09K","-1.40%"
"2024- 02- 13","32,220","31,640","32,220","31,640","51.98K","1.83%"
"2024- 02- 08","31,640","31,615","31,770","31,530","47.79K","0.44%"
"2024- 02- 07","31,500","31,190","31,705","31,120","47.14K","1.53%"
"2024- 02- 06","31,025","30,855","31,155","30,630","32.54K","0.55%"
"2024- 02- 05","30,855","31,255","31,255","30,805","23.42K","-1.67%"
"2024- 02- 02","31,380","30,530","31,380","30,485","34.66K","2.82%"
"2024- 02- 01","30,520","29,995","30,520","29,950","66.33K","1.31%"
"2024- 01- 31","30,125","30,170","30,280","30,040","40.53K","-0.99%"
"2024- 01- 30","30,425","30,545","30,730","30,335","47.56K","0.15%"
"2024- 01- 29","30,380","30,115","30,590","30,060","17.11K","0.90%"
"2024- 01- 26","30,110","29,960","30,410","29,875","17.85K","-0.17%"
"2024- 01- 25","30,160","30,580","30,580","30,000","48.52K","-1.20%"
"2024- 01- 24","30,525","30,725","30,725","30,175","59.21K","-0.59%"
"2024- 01- 23","30,705","30,775","30,780","30,335","64.51K","0.10%"
"2024- 01- 22","30,675","31,090","31,225","30,660","24.97K","-0.16%"
"2024- 01- 19","30,725","30,545","30,785","30,470","73.03K","2.20%"
"2024- 01- 18","30,065","29,890","30,155","29,605","77.93K","0.77%"
"2024- 01- 17","29,835","30,800","30,800","29,630","46.22K","-2.18%"
"2024- 01- 16","30,500","30,900","30,950","30,455","105.51K","-1.63%"
"2024- 01- 15","31,005","31,015","31,070","30,825","85.65K","0.29%"
"2024- 01- 12","30,915","31,395","31,395","30,790","57.84K","-2.07%"
"2024- 01- 11","31,570","31,305","31,570","31,060","47.25K","0.99%"
"2024- 01- 10","31,260","32,040","32,040","31,210","70.38K","-1.87%"
"2024- 01- 09","31,855","32,375","32,475","31,785","41.95K","-0.48%"
"2024- 01- 08","32,010","32,050","32,265","31,900","31.01K","-0.06%"
"2024- 01- 05","32,030","31,995","32,125","31,890","669.95K","0.02%"
"2024- 01- 04","32,025","32,270","32,400","31,975","83.14K","-0.85%"
"2024- 01- 03","32,300","33,250","33,250","32,270","451.53K","-3.65%"
"2024- 01- 02","33,525","33,330","33,580","32,965","116.11K","0.55%"
