"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","6,600","6,585","6,645","6,565","104.94K","0.23%"
"2024- 04- 29","6,585","6,490","6,595","6,480","72.64K","1.46%"
"2024- 04- 26","6,490","6,515","6,530","6,485","136.49K","-0.38%"
"2024- 04- 25","6,515","6,565","6,570","6,490","146.88K","-1.21%"
"2024- 04- 24","6,595","6,480","6,615","6,480","153.34K","1.77%"
"2024- 04- 23","6,480","6,480","6,525","6,420","92.49K","-0.92%"
"2024- 04- 22","6,540","6,495","6,615","6,480","174.76K","0.69%"
"2024- 04- 19","6,495","6,505","6,525","6,380","81.49K","-0.38%"
"2024- 04- 18","6,520","6,370","6,530","6,370","41.47K","2.35%"
"2024- 04- 17","6,370","6,370","6,450","6,370","74.20K","-0.62%"
"2024- 04- 16","6,410","6,400","6,430","6,350","95.93K","-0.54%"
"2024- 04- 15","6,445","6,450","6,460","6,390","126.08K","-0.85%"
"2024- 04- 12","6,500","6,560","6,590","6,490","82.58K","-0.91%"
"2024- 04- 11","6,560","6,560","6,570","6,455","74.97K","-0.83%"
"2024- 04- 09","6,615","6,675","6,755","6,605","142.77K","-0.97%"
"2024- 04- 08","6,680","6,755","6,755","6,670","85.46K","-1.11%"
"2024- 04- 05","6,755","6,750","6,765","6,700","109.64K","-0.59%"
"2024- 04- 04","6,795","6,810","6,855","6,750","70.01K","-0.51%"
"2024- 04- 03","6,830","6,810","6,880","6,805","101.60K","-0.44%"
"2024- 04- 02","6,860","6,930","6,935","6,845","131.99K","-2.00%"
"2024- 04- 01","7,000","6,940","7,015","6,930","129.89K","1.01%"
"2024- 03- 29","6,930","6,935","6,965","6,865","89.10K","-0.07%"
"2024- 03- 28","6,935","7,000","7,000","6,920","128.25K","-0.57%"
"2024- 03- 27","6,975","6,855","7,020","6,855","275.66K","1.82%"
"2024- 03- 26","6,850","6,685","6,865","6,685","189.21K","2.39%"
"2024- 03- 25","6,690","6,575","6,705","6,575","87.67K","1.21%"
"2024- 03- 22","6,610","6,650","6,650","6,600","132.78K","-0.60%"
"2024- 03- 21","6,650","6,590","6,685","6,590","273.58K","1.06%"
"2024- 03- 20","6,580","6,560","6,635","6,560","313.52K","0.38%"
"2024- 03- 19","6,555","6,620","6,620","6,550","116.42K","-0.98%"
"2024- 03- 18","6,620","6,615","6,665","6,615","191.88K","0.08%"
"2024- 03- 15","6,615","6,735","6,735","6,600","97.31K","-1.78%"
"2024- 03- 14","6,735","6,750","6,795","6,660","116.68K","-0.22%"
"2024- 03- 13","6,750","6,770","6,805","6,740","246.31K","-0.44%"
"2024- 03- 12","6,780","6,745","6,795","6,700","78.00K","0.52%"
"2024- 03- 11","6,745","6,505","6,745","6,500","154.30K","3.45%"
"2024- 03- 08","6,520","6,455","6,575","6,455","95.32K","1.64%"
"2024- 03- 07","6,415","6,480","6,490","6,380","150.15K","-1.00%"
"2024- 03- 06","6,480","6,580","6,600","6,450","139.82K","-1.52%"
"2024- 03- 05","6,580","6,655","6,675","6,570","195.90K","-1.13%"
"2024- 03- 04","6,655","6,825","6,880","6,655","164.99K","-2.42%"
"2024- 02- 29","6,820","6,865","6,865","6,780","70.94K","-1.30%"
"2024- 02- 28","6,910","6,855","6,915","6,855","84.33K","0.88%"
"2024- 02- 27","6,850","7,010","7,010","6,825","155.07K","-2.35%"
"2024- 02- 26","7,015","7,030","7,075","6,995","82.21K","-0.21%"
"2024- 02- 23","7,030","7,070","7,090","7,005","163.09K","-0.57%"
"2024- 02- 22","7,070","7,030","7,085","7,030","54.30K","0.71%"
"2024- 02- 21","7,020","7,000","7,085","7,000","165.24K","-0.14%"
"2024- 02- 20","7,030","7,070","7,070","7,000","99.70K","-0.57%"
"2024- 02- 19","7,070","7,165","7,165","7,045","104.85K","-0.42%"
"2024- 02- 16","7,100","7,120","7,170","7,070","435.18K","-0.28%"
"2024- 02- 15","7,120","7,125","7,140","7,090","108.90K","0.71%"
"2024- 02- 14","7,070","6,885","7,110","6,840","99.20K","1.95%"
"2024- 02- 13","6,935","6,865","6,940","6,865","99.65K","1.02%"
"2024- 02- 08","6,865","6,875","6,905","6,830","72.15K","0.22%"
"2024- 02- 07","6,850","6,790","6,905","6,790","81.22K","0.44%"
"2024- 02- 06","6,820","6,910","6,950","6,810","98.00K","-1.45%"
"2024- 02- 05","6,920","7,015","7,015","6,875","92.45K","-1.56%"
"2024- 02- 02","7,030","6,880","7,030","6,880","119.12K","2.93%"
"2024- 02- 01","6,830","6,795","6,830","6,700","176.00K","-0.07%"
"2024- 01- 31","6,835","6,975","6,975","6,795","160.34K","-2.36%"
"2024- 01- 30","7,000","7,010","7,045","6,975","85.81K","-0.07%"
"2024- 01- 29","7,005","7,185","7,200","6,990","178.63K","-2.51%"
"2024- 01- 26","7,185","7,135","7,250","7,100","93.79K","0.35%"
"2024- 01- 25","7,160","7,300","7,300","7,075","84.49K","-1.65%"
"2024- 01- 24","7,280","7,205","7,305","7,205","92.93K","0.34%"
"2024- 01- 23","7,255","7,155","7,265","7,105","78.10K","1.47%"
"2024- 01- 22","7,150","7,135","7,220","7,120","78.91K","0.42%"
"2024- 01- 19","7,120","7,055","7,225","7,055","111.20K","0.99%"
"2024- 01- 18","7,050","7,050","7,100","6,960","120.49K","0.00%"
"2024- 01- 17","7,050","7,285","7,290","7,020","128.03K","-3.23%"
"2024- 01- 16","7,285","7,470","7,480","7,260","81.33K","-3.00%"
"2024- 01- 15","7,510","7,670","7,670","7,465","263.43K","-2.15%"
"2024- 01- 12","7,675","7,900","7,900","7,645","103.59K","-2.85%"
"2024- 01- 11","7,900","7,830","7,910","7,825","115.88K","0.89%"
"2024- 01- 10","7,830","7,920","7,920","7,780","141.13K","-1.01%"
"2024- 01- 09","7,910","7,820","7,925","7,820","240.38K","1.02%"
"2024- 01- 08","7,830","7,765","7,830","7,705","171.37K","1.23%"
"2024- 01- 05","7,735","7,725","7,815","7,695","184.24K","0.52%"
"2024- 01- 04","7,695","7,660","7,720","7,595","92.05K","-0.06%"
"2024- 01- 03","7,700","7,780","7,790","7,675","162.39K","-1.53%"
"2024- 01- 02","7,820","7,725","7,860","7,660","166.19K","0.90%"
