"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","6,560","6,420","6,620","6,420","348.37K","2.02%"
"2024- 04- 29","6,430","6,370","6,450","6,355","147.39K","1.74%"
"2024- 04- 26","6,320","6,370","6,400","6,290","223.54K","-0.55%"
"2024- 04- 25","6,355","6,430","6,430","6,335","95.03K","-1.17%"
"2024- 04- 24","6,430","6,435","6,445","6,385","208.78K","0.39%"
"2024- 04- 23","6,405","6,385","6,425","6,350","142.00K","0.55%"
"2024- 04- 22","6,370","6,260","6,420","6,260","285.42K","2.33%"
"2024- 04- 19","6,225","6,270","6,270","6,030","325.50K","-1.58%"
"2024- 04- 18","6,325","6,120","6,340","6,120","248.72K","4.37%"
"2024- 04- 17","6,060","6,200","6,200","6,060","246.23K","-1.46%"
"2024- 04- 16","6,150","6,260","6,285","6,130","282.57K","-2.30%"
"2024- 04- 15","6,295","6,270","6,335","6,260","324.72K","-1.41%"
"2024- 04- 12","6,385","6,315","6,395","6,300","332.47K","-0.23%"
"2024- 04- 11","6,400","6,400","6,400","6,295","190.30K","-0.47%"
"2024- 04- 09","6,430","6,540","6,570","6,410","259.97K","-1.46%"
"2024- 04- 08","6,525","6,350","6,530","6,270","356.13K","2.68%"
"2024- 04- 05","6,355","6,380","6,425","6,320","228.98K","-1.63%"
"2024- 04- 04","6,460","6,470","6,565","6,450","296.93K","-0.15%"
"2024- 04- 03","6,470","6,480","6,530","6,425","389.99K","-1.97%"
"2024- 04- 02","6,600","6,690","6,715","6,565","602.80K","-2.00%"
"2024- 04- 01","6,735","6,815","6,875","6,725","595.52K","-1.17%"
"2024- 03- 29","6,815","6,870","6,905","6,800","402.98K","-0.80%"
"2024- 03- 28","6,870","6,815","6,890","6,780","441.51K","0.37%"
"2024- 03- 27","6,845","6,920","6,950","6,775","615.43K","-1.72%"
"2024- 03- 26","6,965","7,040","7,115","6,905","866.88K","-0.50%"
"2024- 03- 25","7,000","6,955","7,035","6,950","541.22K","1.23%"
"2024- 03- 22","6,915","6,915","6,950","6,860","300.65K","-0.29%"
"2024- 03- 21","6,935","6,820","6,940","6,815","501.29K","2.14%"
"2024- 03- 20","6,790","6,825","6,875","6,745","318.15K","-0.37%"
"2024- 03- 19","6,815","6,800","6,820","6,715","342.65K","0.15%"
"2024- 03- 18","6,805","6,705","6,915","6,705","445.07K","1.49%"
"2024- 03- 15","6,705","6,790","6,850","6,675","451.87K","-1.32%"
"2024- 03- 14","6,795","6,740","6,795","6,720","307.64K","1.12%"
"2024- 03- 13","6,720","6,865","6,865","6,535","728.57K","-1.54%"
"2024- 03- 12","6,825","6,740","6,845","6,685","494.39K","1.34%"
"2024- 03- 11","6,735","6,715","6,800","6,695","565.14K","0.97%"
"2024- 03- 10","6,670","6,670","6,670","6,670","","0.00%"
"2024- 03- 08","6,670","6,355","6,685","6,355","995.88K","5.37%"
"2024- 03- 07","6,330","6,425","6,475","6,305","390.39K","-1.33%"
"2024- 03- 06","6,415","6,300","6,415","6,285","351.84K","1.02%"
"2024- 03- 05","6,350","6,325","6,425","6,305","440.50K","-0.08%"
"2024- 03- 04","6,355","6,500","6,520","6,345","648.69K","-2.23%"
"2024- 02- 29","6,500","6,595","6,595","6,435","445.23K","-1.44%"
"2024- 02- 28","6,595","6,560","6,605","6,525","401.61K","0.30%"
"2024- 02- 27","6,575","6,530","6,615","6,490","364.46K","0.84%"
"2024- 02- 26","6,520","6,515","6,595","6,515","351.49K","0.62%"
"2024- 02- 23","6,480","6,495","6,605","6,440","416.16K","0.86%"
"2024- 02- 22","6,425","6,530","6,555","6,400","313.40K","-0.54%"
"2024- 02- 21","6,460","6,500","6,530","6,425","231.62K","0.00%"
"2024- 02- 20","6,460","6,435","6,490","6,425","252.18K","0.23%"
"2024- 02- 19","6,445","6,325","6,485","6,325","527.37K","1.50%"
"2024- 02- 16","6,350","6,370","6,415","6,325","283.11K","-0.24%"
"2024- 02- 15","6,365","6,445","6,445","6,350","290.72K","-0.78%"
"2024- 02- 14","6,415","6,400","6,445","6,370","356.48K","-1.46%"
"2024- 02- 13","6,510","6,305","6,510","6,295","595.62K","3.42%"
"2024- 02- 08","6,295","6,325","6,380","6,270","281.08K","-0.63%"
"2024- 02- 07","6,335","6,425","6,480","6,315","289.00K","-1.02%"
"2024- 02- 06","6,400","6,400","6,495","6,330","437.63K","0.00%"
"2024- 02- 05","6,400","6,460","6,475","6,350","321.31K","-0.93%"
"2024- 02- 04","6,460","6,460","6,460","6,460","","0.00%"
"2024- 02- 02","6,460","6,245","6,485","6,245","387.13K","2.87%"
"2024- 02- 01","6,280","6,315","6,315","6,155","376.02K","-1.49%"
"2024- 01- 31","6,375","6,370","6,380","6,310","344.21K","0.08%"
"2024- 01- 30","6,370","6,360","6,400","6,315","331.06K","0.47%"
"2024- 01- 29","6,340","6,220","6,460","6,220","793.19K","2.34%"
"2024- 01- 26","6,195","6,075","6,220","6,075","301.11K","1.14%"
"2024- 01- 25","6,125","6,105","6,175","6,065","296.94K","0.33%"
"2024- 01- 24","6,105","6,160","6,175","6,080","302.53K","-0.97%"
"2024- 01- 23","6,165","6,190","6,255","6,125","733.76K","-0.40%"
"2024- 01- 22","6,190","6,025","6,195","5,995","1.01M","3.34%"
"2024- 01- 19","5,990","5,965","6,065","5,940","630.51K","0.42%"
"2024- 01- 18","5,965","6,035","6,065","5,935","516.53K","-1.00%"
"2024- 01- 17","6,025","6,180","6,185","5,990","612.69K","-3.06%"
"2024- 01- 16","6,215","6,240","6,330","6,155","968.72K","-0.40%"
"2024- 01- 15","6,240","6,305","6,355","6,195","392.70K","-0.87%"
"2024- 01- 12","6,295","6,375","6,450","6,275","594.25K","-3.15%"
"2024- 01- 11","6,500","6,435","6,525","6,325","589.71K","0.46%"
"2024- 01- 10","6,470","6,485","6,525","6,440","248.83K","-0.23%"
"2024- 01- 09","6,485","6,530","6,570","6,445","502.91K","0.70%"
"2024- 01- 08","6,440","6,570","6,640","6,415","727.00K","-1.98%"
"2024- 01- 05","6,570","6,635","6,695","6,545","818.76K","-0.98%"
"2024- 01- 04","6,635","6,945","6,945","6,585","1.21M","-5.48%"
"2024- 01- 03","7,020","7,000","7,020","6,890","1.15M","0.21%"
"2024- 01- 02","7,005","6,595","7,115","6,565","2.47M","6.86%"
