"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","6,865","6,870","6,880","6,840","4.03K","-0.07%"
"2024- 04- 29","6,870","6,905","6,930","6,840","12.30K","-2.90%"
"2024- 04- 26","7,075","7,035","7,080","7,030","5.78K","0.57%"
"2024- 04- 25","7,035","7,080","7,080","6,995","2.61K","-0.28%"
"2024- 04- 24","7,055","7,050","7,080","7,040","17.05K","0.36%"
"2024- 04- 23","7,030","7,070","7,070","6,925","0.82K","0.79%"
"2024- 04- 22","6,975","7,000","7,005","6,970","0.61K","0.72%"
"2024- 04- 19","6,925","7,020","7,020","6,855","18.39K","-0.93%"
"2024- 04- 18","6,990","7,000","7,000","6,865","17.70K","1.30%"
"2024- 04- 17","6,900","7,040","7,040","6,900","7.04K","-1.29%"
"2024- 04- 16","6,990","7,080","7,080","6,960","1.79K","-0.50%"
"2024- 04- 15","7,025","7,085","7,085","6,960","17.46K","-0.64%"
"2024- 04- 12","7,070","7,165","7,165","7,045","16.44K","-0.49%"
"2024- 04- 11","7,105","7,190","7,190","7,100","1.76K","-1.80%"
"2024- 04- 09","7,235","7,320","7,320","7,225","13.28K","-0.07%"
"2024- 04- 08","7,240","7,285","7,285","7,195","0.78K","0.21%"
"2024- 04- 05","7,225","7,285","7,285","7,220","1.13K","-0.69%"
"2024- 04- 04","7,275","7,345","7,345","7,260","1.09K","0.34%"
"2024- 04- 03","7,250","7,230","7,300","7,230","2.49K","-1.23%"
"2024- 04- 02","7,340","7,460","7,460","7,320","7.50K","-0.94%"
"2024- 04- 01","7,410","7,445","7,445","7,385","2.59K","-0.47%"
"2024- 03- 29","7,445","7,505","7,505","7,405","6.28K","-0.67%"
"2024- 03- 28","7,495","7,560","7,560","7,485","2.37K","0.40%"
"2024- 03- 27","7,465","7,505","7,525","7,450","1.24K","-0.80%"
"2024- 03- 26","7,525","7,540","7,580","7,510","14.78K","0.53%"
"2024- 03- 25","7,485","7,485","7,530","7,475","3.52K","-1.19%"
"2024- 03- 22","7,575","7,700","7,700","7,525","6.99K","0.20%"
"2024- 03- 21","7,560","7,475","7,590","7,460","18.82K","1.68%"
"2024- 03- 20","7,435","7,490","7,490","7,420","0.73K","0.20%"
"2024- 03- 19","7,420","7,480","7,480","7,405","1.70K","-0.80%"
"2024- 03- 18","7,480","7,480","7,495","7,460","1.88K","0.00%"
"2024- 03- 15","7,480","7,545","7,545","7,440","13.08K","-0.86%"
"2024- 03- 14","7,545","7,565","7,600","7,520","5.56K","1.82%"
"2024- 03- 13","7,410","7,360","7,425","7,360","2.84K","1.37%"
"2024- 03- 12","7,310","7,365","7,365","7,305","1.88K","-0.75%"
"2024- 03- 11","7,365","7,330","7,375","7,300","1.91K","0.41%"
"2024- 03- 08","7,335","7,360","7,380","7,305","3.87K","-0.07%"
"2024- 03- 07","7,340","7,355","7,355","7,300","6.14K","-0.34%"
"2024- 03- 06","7,365","7,420","7,420","7,330","2.03K","-0.27%"
"2024- 03- 05","7,385","7,440","7,440","7,365","2.27K","-0.27%"
"2024- 03- 04","7,405","7,540","7,540","7,405","0.76K","-0.47%"
"2024- 02- 29","7,440","7,475","7,475","7,405","1.59K","0.13%"
"2024- 02- 28","7,430","7,465","7,465","7,355","1.80K","0.54%"
"2024- 02- 27","7,390","7,590","7,590","7,390","1.94K","-1.60%"
"2024- 02- 26","7,510","7,600","7,600","7,505","3.46K","-1.18%"
"2024- 02- 23","7,600","7,700","7,700","7,590","1.04K","-0.52%"
"2024- 02- 22","7,640","7,740","7,740","7,605","3.06K","0.20%"
"2024- 02- 21","7,625","7,825","7,825","7,600","3.35K","-2.31%"
"2024- 02- 20","7,805","7,800","7,805","7,760","5.24K","0.06%"
"2024- 02- 19","7,800","7,680","7,800","7,680","17.16K","2.63%"
"2024- 02- 16","7,600","7,640","7,640","7,520","5.03K","0.73%"
"2024- 02- 15","7,545","7,670","7,670","7,535","13.17K","0.00%"
"2024- 02- 14","7,545","7,620","7,620","7,525","1.69K","-0.46%"
"2024- 02- 13","7,580","7,500","7,615","7,500","2.10K","1.00%"
"2024- 02- 08","7,505","7,650","7,650","7,505","1.04K","-0.66%"
"2024- 02- 07","7,555","7,610","7,625","7,550","1.98K","-0.20%"
"2024- 02- 06","7,570","7,605","7,605","7,530","1.52K","0.60%"
"2024- 02- 05","7,525","7,580","7,580","7,440","14.18K","0.00%"
"2024- 02- 02","7,525","7,450","7,560","7,450","9.58K","0.53%"
"2024- 02- 01","7,485","7,400","7,485","7,315","19.99K","1.42%"
"2024- 01- 31","7,380","7,410","7,410","7,290","2.25K","0.07%"
"2024- 01- 30","7,375","7,410","7,410","7,325","1.28K","0.55%"
"2024- 01- 29","7,335","7,430","7,430","7,320","2.53K","-0.41%"
"2024- 01- 26","7,365","7,370","7,395","7,240","1.78K","0.89%"
"2024- 01- 25","7,300","7,380","7,380","7,295","3.48K","0.27%"
"2024- 01- 24","7,280","7,350","7,350","7,250","7.40K","0.14%"
