"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","34,160","33,595","34,395","33,550","79.37K","1.07%"
"2024- 04- 29","33,800","33,240","33,800","33,240","53.26K","1.65%"
"2024- 04- 26","33,250","33,320","33,720","32,850","57.78K","-0.17%"
"2024- 04- 25","33,305","33,495","33,750","33,255","45.50K","-1.32%"
"2024- 04- 24","33,750","33,765","33,815","33,355","60.27K","0.67%"
"2024- 04- 23","33,525","33,080","33,590","32,945","75.27K","0.81%"
"2024- 04- 22","33,255","32,750","33,560","32,750","70.89K","2.80%"
"2024- 04- 19","32,350","32,330","32,565","31,610","99.78K","-1.13%"
"2024- 04- 18","32,720","31,630","32,800","31,630","64.69K","3.45%"
"2024- 04- 17","31,630","32,085","32,325","31,580","82.73K","-0.97%"
"2024- 04- 16","31,940","32,320","32,580","31,830","79.54K","-2.56%"
"2024- 04- 15","32,780","32,505","32,935","32,380","64.67K","-0.71%"
"2024- 04- 12","33,015","32,600","33,025","32,330","76.68K","1.93%"
"2024- 04- 11","32,390","32,465","32,760","32,305","62.92K","-1.48%"
"2024- 04- 09","32,875","33,210","33,530","32,745","80.29K","-0.80%"
"2024- 04- 08","33,140","32,640","33,310","32,285","103.43K","1.67%"
"2024- 04- 05","32,595","32,995","33,020","32,390","170.60K","-1.94%"
"2024- 04- 04","33,240","33,750","33,940","33,075","109.95K","-1.03%"
"2024- 04- 03","33,585","33,905","33,920","33,090","279.27K","-1.61%"
"2024- 04- 02","34,135","35,260","35,300","34,025","322.30K","-3.33%"
"2024- 04- 01","35,310","35,610","35,925","35,310","162.43K","-0.76%"
"2024- 03- 29","35,580","35,915","36,195","35,530","193.24K","-0.86%"
"2024- 03- 28","35,890","35,805","36,340","35,535","238.06K","0.22%"
"2024- 03- 27","35,810","36,625","36,665","35,690","356.06K","-2.89%"
"2024- 03- 26","36,875","36,900","37,520","36,340","380.15K","0.05%"
"2024- 03- 25","36,855","35,990","36,895","35,900","315.98K","3.25%"
"2024- 03- 22","35,695","35,350","35,800","35,350","110.62K","0.38%"
"2024- 03- 21","35,560","35,000","35,695","34,895","158.35K","2.18%"
"2024- 03- 20","34,800","35,090","35,325","34,630","137.06K","-0.61%"
"2024- 03- 19","35,015","34,780","35,030","34,420","110.69K","0.57%"
"2024- 03- 18","34,815","34,340","35,310","34,340","213.61K","1.49%"
"2024- 03- 15","34,305","34,755","34,820","34,055","112.50K","-1.05%"
"2024- 03- 14","34,670","34,285","34,785","34,285","199.22K","1.09%"
"2024- 03- 13","34,295","34,400","34,800","33,390","345.82K","-0.35%"
"2024- 03- 12","34,415","33,910","34,460","33,820","153.18K","1.12%"
"2024- 03- 11","34,035","34,060","34,420","33,895","253.41K","0.22%"
"2024- 03- 10","33,960","33,960","33,960","33,960","","0.00%"
"2024- 03- 08","33,960","32,525","33,960","32,525","357.52K","4.49%"
"2024- 03- 07","32,500","32,885","33,105","32,165","238.68K","-0.75%"
"2024- 03- 06","32,745","32,175","32,745","32,000","192.35K","1.63%"
"2024- 03- 05","32,220","31,650","32,315","31,630","83.42K","1.35%"
"2024- 03- 04","31,790","31,785","32,090","31,530","81.65K","0.02%"
"2024- 02- 29","31,785","32,185","32,185","31,700","97.38K","-1.41%"
"2024- 02- 28","32,240","31,960","32,240","31,695","126.76K","0.86%"
"2024- 02- 27","31,965","32,155","32,300","31,780","148.09K","-0.03%"
"2024- 02- 26","31,975","32,075","32,240","31,845","197.19K","1.43%"
"2024- 02- 23","31,525","31,035","32,105","31,030","334.18K","2.17%"
"2024- 02- 22","30,855","30,920","31,275","30,545","67.58K","-0.45%"
"2024- 02- 21","30,995","31,165","31,230","30,840","59.24K","0.27%"
"2024- 02- 20","30,910","30,935","31,160","30,835","104.82K","-0.08%"
"2024- 02- 19","30,935","30,500","31,060","30,440","121.70K","1.69%"
"2024- 02- 16","30,420","30,305","30,490","30,190","49.01K","0.63%"
"2024- 02- 15","30,230","30,590","30,590","30,175","54.90K","-0.80%"
"2024- 02- 14","30,475","30,375","30,630","30,195","97.40K","-1.15%"
"2024- 02- 13","30,830","30,050","30,830","30,000","68.59K","2.77%"
"2024- 02- 08","30,000","30,120","30,315","29,825","83.08K","-0.43%"
