"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,295","4,210","4,305","4,210","25.41K","1.42%"
"2024- 05- 07","4,235","4,270","4,300","4,200","27.54K","-0.70%"
"2024- 05- 03","4,265","4,325","4,305","4,255","21.41K","0.00%"
"2024- 05- 02","4,265","4,190","4,340","4,190","27.18K","0.24%"
"2024- 04- 30","4,255","4,205","4,285","4,205","21.87K","0.24%"
"2024- 04- 29","4,245","4,190","4,260","4,125","20.80K","1.31%"
"2024- 04- 26","4,190","4,220","4,250","4,155","33.91K","-0.71%"
"2024- 04- 25","4,220","4,265","4,320","4,200","24.73K","-1.86%"
"2024- 04- 24","4,300","4,190","4,315","4,190","33.18K","2.50%"
"2024- 04- 23","4,195","4,230","4,320","4,180","43.39K","-0.83%"
"2024- 04- 22","4,230","4,175","4,660","4,175","347.27K","1.32%"
"2024- 04- 19","4,175","4,305","4,340","4,115","26.95K","-3.02%"
"2024- 04- 18","4,305","4,105","4,335","4,105","25.04K","4.74%"
"2024- 04- 17","4,110","4,260","4,350","4,110","85.78K","-3.52%"
"2024- 04- 16","4,260","4,380","4,465","4,225","72.30K","-3.73%"
"2024- 04- 15","4,425","4,385","4,435","4,325","39.11K","-0.67%"
"2024- 04- 12","4,455","4,420","4,540","4,415","46.20K","-0.11%"
"2024- 04- 11","4,460","4,445","4,605","4,380","45.08K","-0.78%"
"2024- 04- 09","4,495","4,465","4,865","4,465","174.35K","-0.22%"
"2024- 04- 08","4,505","4,555","4,590","4,445","39.35K","-1.64%"
"2024- 04- 05","4,580","4,650","4,655","4,550","67.84K","-2.03%"
"2024- 04- 04","4,675","4,665","4,735","4,625","29.96K","0.21%"
"2024- 04- 03","4,665","4,820","4,945","4,560","127.07K","-2.20%"
"2024- 04- 02","4,770","4,950","4,955","4,725","85.68K","-3.54%"
"2024- 04- 01","4,945","4,830","4,950","4,800","53.55K","2.38%"
"2024- 03- 29","4,830","4,830","4,965","4,710","54.51K","0.10%"
"2024- 03- 28","4,825","4,920","4,960","4,795","122.47K","-2.82%"
"2024- 03- 27","4,965","5,080","5,160","4,965","77.26K","-2.65%"
"2024- 03- 26","5,100","5,140","5,320","5,070","106.60K","-1.73%"
"2024- 03- 25","5,190","5,040","5,390","5,010","335.57K","2.77%"
"2024- 03- 22","5,050","4,955","5,170","4,955","145.05K","1.51%"
"2024- 03- 21","4,975","4,915","5,050","4,880","100.19K","1.22%"
"2024- 03- 20","4,915","4,980","5,020","4,820","120.59K","-1.31%"
"2024- 03- 19","4,980","5,150","5,210","4,945","148.69K","-2.92%"
"2024- 03- 18","5,130","5,080","5,290","5,070","144.42K","0.98%"
"2024- 03- 17","5,080","5,080","5,080","5,080","","-2.50%"
"2024- 03- 15","5,210","5,080","5,250","5,030","52.29K","0.00%"
"2024- 03- 14","5,210","5,400","5,440","5,150","216.67K","-2.98%"
"2024- 03- 13","5,370","5,440","5,440","5,150","374.43K","-0.19%"
"2024- 03- 12","5,380","5,370","5,490","5,220","412.75K","0.37%"
"2024- 03- 11","5,360","5,130","5,700","5,030","0.85K","3.88%"
"2024- 03- 10","5,160","5,160","5,160","5,160","","0.00%"
"2024- 03- 08","5,160","5,150","5,410","5,060","853.26K","-0.77%"
"2024- 03- 07","5,200","5,070","5,790","5,000","0.30K","2.16%"
"2024- 03- 06","5,090","5,300","5,330","5,080","811.82K","-3.96%"
"2024- 03- 05","5,300","4,600","5,630","4,590","1.18K","15.22%"
"2024- 03- 04","4,600","4,690","4,720","4,585","224.03K","-1.08%"
"2024- 02- 29","4,650","4,790","4,850","4,650","548.92K","-3.53%"
"2024- 02- 28","4,820","4,325","5,290","4,315","2.49K","11.45%"
"2024- 02- 27","4,325","4,430","4,430","4,290","52.69K","-0.80%"
"2024- 02- 26","4,360","4,345","4,455","4,345","63.24K","-0.68%"
"2024- 02- 23","4,390","4,500","4,520","4,380","123.03K","-3.09%"
"2024- 02- 22","4,530","4,580","4,620","4,490","80.20K","-1.09%"
"2024- 02- 21","4,580","4,660","4,660","4,535","150.25K","-1.93%"
"2024- 02- 20","4,670","4,520","5,020","4,510","1.44M","3.32%"
"2024- 02- 19","4,520","4,505","4,575","4,480","31.25K","0.33%"
"2024- 02- 16","4,505","4,575","4,620","4,505","39.20K","-1.53%"
"2024- 02- 15","4,575","4,635","4,635","4,540","38.62K","-0.22%"
"2024- 02- 14","4,585","4,480","4,590","4,450","37.83K","1.78%"
"2024- 02- 13","4,505","4,450","4,530","4,425","34.62K","1.24%"
"2024- 02- 08","4,450","4,440","4,545","4,410","39.22K","-0.67%"
"2024- 02- 07","4,480","4,410","4,560","4,410","24.63K","1.13%"
"2024- 02- 06","4,430","4,500","4,530","4,400","31.76K","-2.32%"
"2024- 02- 05","4,535","4,540","4,555","4,490","26.87K","0.00%"
"2024- 02- 02","4,535","4,445","4,595","4,445","51.99K","1.80%"
"2024- 02- 01","4,455","4,470","4,545","4,405","91.36K","-1.44%"
"2024- 01- 31","4,520","4,640","4,695","4,515","102.19K","-3.83%"
"2024- 01- 30","4,700","4,740","4,850","4,655","95.54K","-1.16%"
"2024- 01- 29","4,755","4,870","4,940","4,730","103.48K","-2.36%"
"2024- 01- 28","4,870","4,870","4,870","4,870","","0.00%"
"2024- 01- 26","4,870","4,700","4,905","4,700","161.67K","2.10%"
"2024- 01- 25","4,770","4,750","4,840","4,690","123.32K","-1.45%"
"2024- 01- 24","4,840","4,960","5,000","4,800","303.64K","-2.42%"
"2024- 01- 23","4,960","4,740","4,960","4,685","0.32K","4.64%"
"2024- 01- 22","4,740","4,730","4,820","4,635","508.31K","-1.35%"
"2024- 01- 21","4,805","4,805","4,805","4,805","","0.00%"
"2024- 01- 19","4,805","4,335","5,270","4,285","8.47M","12.40%"
"2024- 01- 18","4,275","4,225","4,500","4,080","57.64K","0.71%"
"2024- 01- 17","4,245","4,405","4,410","4,245","80.62K","-3.63%"
"2024- 01- 16","4,405","4,520","4,970","4,405","702.39K","-2.54%"
"2024- 01- 15","4,520","4,695","4,750","4,505","114.98K","-3.11%"
"2024- 01- 12","4,665","4,850","5,090","4,640","201.55K","-4.60%"
"2024- 01- 11","4,890","4,780","5,040","4,725","436.74K","3.82%"
"2024- 01- 10","4,710","4,805","4,835","4,650","98.51K","-2.28%"
"2024- 01- 09","4,820","4,790","4,820","4,705","95.65K","1.05%"
"2024- 01- 08","4,770","4,690","4,795","4,630","160.59K","2.80%"
"2024- 01- 05","4,640","4,695","4,980","4,570","398.69K","1.20%"
"2024- 01- 04","4,585","4,715","4,715","4,575","110.59K","-2.76%"
"2024- 01- 03","4,715","4,660","4,830","4,605","149.62K","1.18%"
"2024- 01- 02","4,660","4,575","4,845","4,575","92.43K","1.08%"
