"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","5,880","5,940","6,010","5,880","9.07K","-0.68%"
"2024- 05- 03","5,920","5,970","5,970","5,900","2.24K","-0.84%"
"2024- 05- 02","5,970","5,880","6,000","5,880","2.22K","0.17%"
"2024- 04- 30","5,960","5,930","6,030","5,920","2.95K","-0.33%"
"2024- 04- 29","5,980","5,910","5,990","5,910","2.91K","0.50%"
"2024- 04- 26","5,950","5,980","5,980","5,920","7.60K","0.00%"
"2024- 04- 25","5,950","5,920","5,980","5,900","3.00K","0.68%"
"2024- 04- 24","5,910","5,890","5,920","5,830","5.28K","0.51%"
"2024- 04- 23","5,880","5,860","5,980","5,810","2.16K","0.17%"
"2024- 04- 22","5,870","6,040","6,040","5,840","2.37K","-0.34%"
"2024- 04- 19","5,890","5,920","5,970","5,870","2.55K","0.00%"
"2024- 04- 18","5,890","5,920","5,980","5,890","2.15K","-0.51%"
"2024- 04- 17","5,920","5,970","5,970","5,860","1.86K","1.54%"
"2024- 04- 16","5,830","5,830","5,970","5,800","2.73K","-1.19%"
"2024- 04- 15","5,900","5,930","5,930","5,810","20.90K","-0.51%"
"2024- 04- 12","5,930","5,980","6,000","5,880","3.28K","-0.50%"
"2024- 04- 11","5,960","5,910","6,000","5,880","3.83K","1.02%"
"2024- 04- 09","5,900","5,950","5,960","5,890","3.66K","-0.67%"
"2024- 04- 08","5,940","5,950","6,000","5,920","2.04K","0.00%"
"2024- 04- 05","5,940","5,940","6,020","5,890","12.59K","0.85%"
"2024- 04- 04","5,890","6,020","6,020","5,890","9.26K","-2.16%"
"2024- 04- 03","6,020","6,070","6,070","6,000","3.90K","-0.50%"
"2024- 04- 02","6,050","6,070","6,080","6,000","3.17K","-0.33%"
"2024- 04- 01","6,070","6,100","6,110","6,060","3.93K","-0.49%"
"2024- 03- 29","6,100","6,100","6,120","6,050","3.16K","0.00%"
"2024- 03- 28","6,100","6,030","6,100","5,990","12.18K","0.99%"
"2024- 03- 27","6,040","6,050","6,050","5,990","3.12K","0.83%"
"2024- 03- 26","5,990","6,060","6,060","5,970","4.89K","-0.66%"
"2024- 03- 25","6,030","5,990","6,040","5,980","4.46K","0.33%"
"2024- 03- 22","6,010","6,040","6,040","5,960","4.59K","0.17%"
"2024- 03- 21","6,000","6,020","6,020","5,950","4.96K","0.17%"
"2024- 03- 20","5,990","5,970","6,040","5,970","6.94K","-0.66%"
"2024- 03- 19","6,030","6,050","6,050","6,010","2.98K","-0.17%"
"2024- 03- 18","6,040","6,010","6,040","5,990","3.63K","0.50%"
"2024- 03- 15","6,010","6,010","6,030","5,980","0.14K","0.33%"
"2024- 03- 14","5,990","6,010","6,040","5,980","4.01K","0.00%"
"2024- 03- 13","5,990","6,040","6,040","5,980","3.49K","0.00%"
"2024- 03- 12","5,990","5,940","6,020","5,830","8.61K","0.50%"
"2024- 03- 11","5,960","5,950","6,020","5,950","3.68K","-0.50%"
"2024- 03- 08","5,990","6,020","6,020","5,970","22.23K","0.17%"
"2024- 03- 07","5,980","5,950","6,030","5,950","1.94K","-0.17%"
"2024- 03- 06","5,990","5,940","6,030","5,920","2.16K","0.67%"
"2024- 03- 05","5,950","5,920","6,000","5,920","9.66K","-0.83%"
"2024- 03- 04","6,000","6,060","6,090","5,950","9.34K","-0.99%"
"2024- 02- 29","6,060","6,050","6,100","5,980","2.98K","0.17%"
"2024- 02- 28","6,050","6,000","6,060","5,930","6.38K","0.83%"
"2024- 02- 27","6,000","6,040","6,130","5,920","5.00K","-0.66%"
"2024- 02- 26","6,040","6,050","6,120","6,000","7.04K","-1.31%"
"2024- 02- 23","6,120","6,120","6,140","6,030","7.15K","0.00%"
"2024- 02- 22","6,120","6,090","6,130","6,070","1.95K","0.49%"
"2024- 02- 21","6,090","6,090","6,110","6,000","2.87K","0.00%"
"2024- 02- 20","6,090","6,090","6,130","6,070","4.33K","0.00%"
"2024- 02- 19","6,090","6,030","6,160","6,020","6.17K","1.00%"
"2024- 02- 16","6,030","6,030","6,230","5,950","9.56K","0.00%"
"2024- 02- 15","6,030","6,000","6,040","5,950","4.90K","0.50%"
"2024- 02- 14","6,000","6,040","6,040","5,930","8.44K","0.33%"
"2024- 02- 13","5,980","5,910","6,030","5,900","5.75K","1.18%"
"2024- 02- 08","5,910","6,000","6,000","5,850","3.31K","-0.17%"
