"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,677","1,615","1,690","1,596","69.11K","4.03%"
"2024- 05- 07","1,612","1,716","1,715","1,580","51.67K","-1.41%"
"2024- 05- 03","1,635","1,548","1,700","1,544","165.42K","3.15%"
"2024- 05- 02","1,585","1,583","1,598","1,535","41.82K","0.13%"
"2024- 04- 30","1,583","1,567","1,583","1,532","46.09K","0.44%"
"2024- 04- 29","1,576","1,568","1,577","1,561","30.69K","0.38%"
"2024- 04- 26","1,570","1,596","1,596","1,539","42.38K","-0.25%"
"2024- 04- 25","1,574","1,617","1,617","1,555","34.21K","0.00%"
"2024- 04- 24","1,574","1,612","1,612","1,569","53.70K","-0.38%"
"2024- 04- 23","1,580","1,669","1,670","1,580","66.93K","-3.07%"
"2024- 04- 22","1,630","1,700","1,700","1,628","32.87K","-1.21%"
"2024- 04- 19","1,650","1,704","1,775","1,619","59.35K","-2.42%"
"2024- 04- 18","1,691","1,665","1,724","1,665","34.33K","1.74%"
"2024- 04- 17","1,662","1,662","1,710","1,648","27.22K","-0.18%"
"2024- 04- 16","1,665","1,705","1,723","1,600","42.78K","-3.25%"
"2024- 04- 15","1,721","1,766","1,768","1,715","38.62K","-2.55%"
"2024- 04- 12","1,766","1,791","1,792","1,735","42.04K","-2.43%"
"2024- 04- 11","1,810","1,720","1,840","1,706","98.94K","3.84%"
"2024- 04- 09","1,743","1,859","1,859","1,730","38.75K","1.51%"
"2024- 04- 08","1,717","1,744","1,843","1,699","135.88K","-1.55%"
"2024- 04- 05","1,744","1,797","1,840","1,720","64.72K","-4.28%"
"2024- 04- 04","1,822","1,790","1,898","1,785","49.79K","0.05%"
"2024- 04- 03","1,821","1,868","1,960","1,790","42.13K","-2.52%"
"2024- 04- 02","1,868","1,871","1,871","1,740","81.19K","-0.16%"
"2024- 04- 01","1,871","1,960","1,960","1,869","49.86K","-0.21%"
"2024- 03- 29","1,875","1,836","2,130","1,836","269.41K","-0.90%"
"2024- 03- 28","1,892","1,933","2,015","1,840","177.70K","-2.12%"
"2024- 03- 27","1,933","1,961","2,035","1,927","115.21K","-3.83%"
"2024- 03- 26","2,010","1,984","2,040","1,930","137.59K","1.31%"
"2024- 03- 25","1,984","1,996","1,996","1,945","70.76K","-0.60%"
"2024- 03- 22","1,996","2,055","2,055","1,983","104.74K","-2.63%"
"2024- 03- 21","2,050","1,985","2,055","1,946","201.38K","3.80%"
"2024- 03- 20","1,975","2,000","2,060","1,973","95.45K","-0.80%"
"2024- 03- 19","1,991","2,020","2,020","1,973","108.31K","-2.40%"
"2024- 03- 18","2,040","2,075","2,075","1,959","151.42K","0.25%"
"2024- 03- 15","2,035","2,075","2,100","1,999","4.86K","-0.25%"
"2024- 03- 14","2,040","2,105","2,150","1,990","197.71K","-3.77%"
"2024- 03- 13","2,120","2,175","2,205","2,100","120.28K","-2.53%"
"2024- 03- 12","2,175","2,230","2,270","2,175","46.95K","-2.47%"
"2024- 03- 11","2,230","2,180","2,320","2,110","74.59K","1.36%"
"2024- 03- 08","2,200","2,170","2,220","2,135","48.65K","1.15%"
"2024- 03- 07","2,175","2,200","2,210","2,125","51.36K","0.46%"
"2024- 03- 06","2,165","2,185","2,280","2,160","44.50K","-2.70%"
"2024- 03- 05","2,225","2,170","2,300","2,105","78.22K","2.53%"
"2024- 03- 04","2,170","2,200","2,230","2,110","72.27K","-1.36%"
"2024- 02- 29","2,200","2,320","2,320","2,165","101.01K","-3.51%"
"2024- 02- 28","2,280","2,145","2,285","2,140","0.05K","2.70%"
"2024- 02- 27","2,220","2,285","2,290","2,105","188.02K","-2.84%"
"2024- 02- 26","2,285","2,300","2,300","2,210","175.64K","-0.65%"
"2024- 02- 23","2,300","2,350","2,370","2,230","234.39K","-2.13%"
"2024- 02- 22","2,350","2,335","2,410","2,290","158.23K","-0.42%"
"2024- 02- 21","2,360","2,455","2,455","2,320","301.21K","-2.88%"
"2024- 02- 20","2,430","2,615","2,755","2,355","1.04M","-11.64%"
"2024- 02- 19","2,750","2,405","2,795","2,350","0.04K","14.11%"
"2024- 02- 16","2,410","2,380","2,480","2,335","254.32K","0.42%"
"2024- 02- 15","2,400","2,515","2,635","2,210","2.17M","-4.76%"
"2024- 02- 14","2,520","2,460","2,595","2,410","1.21M","2.44%"
"2024- 02- 13","2,460","2,285","2,645","2,285","0.00K","8.61%"
"2024- 02- 12","2,265","2,265","2,265","2,265","","0.00%"
"2024- 02- 08","2,265","1,755","2,265","1,746","1.95M","29.73%"
"2024- 02- 07","1,746","1,711","1,797","1,704","180.12K","-1.36%"
"2024- 02- 06","1,770","1,830","1,830","1,715","244.52K","-4.32%"
"2024- 02- 05","1,850","1,979","1,979","1,800","566.17K","355.67%"
"2024- 01- 04","406","407","417","386","3.67M","-1.93%"
"2024- 01- 03","414","425","433","399","4.35M","-2.59%"
"2024- 01- 02","425","478","499","420","21.98M","-8.01%"
