"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","115,900","116,500","116,500","115,000","9.17K","-0.26%"
"2024- 05- 07","116,200","114,800","116,400","114,400","23.70K","2.38%"
"2024- 05- 03","113,500","115,700","115,900","113,000","29.81K","-1.90%"
"2024- 05- 02","115,700","113,800","116,500","113,800","15.43K","1.22%"
"2024- 04- 30","114,300","114,600","115,400","114,000","13.94K","-0.70%"
"2024- 04- 29","115,100","113,000","115,100","112,000","14.60K","2.86%"
"2024- 04- 26","111,900","111,900","112,500","110,700","5.74K","0.72%"
"2024- 04- 25","111,100","110,400","112,800","110,400","12.39K","-0.36%"
"2024- 04- 24","111,500","113,200","113,300","110,800","12.18K","-0.45%"
"2024- 04- 23","112,000","111,100","112,800","111,100","8.87K","0.00%"
"2024- 04- 22","112,000","111,900","112,400","110,200","9.58K","2.66%"
"2024- 04- 19","109,100","109,500","110,500","108,600","17.03K","-1.36%"
"2024- 04- 18","110,600","109,500","111,500","109,400","10.10K","0.91%"
"2024- 04- 17","109,600","110,100","110,600","109,300","14.91K","-0.36%"
"2024- 04- 16","110,000","109,300","111,700","109,100","17.00K","-0.09%"
"2024- 04- 15","110,100","110,100","111,000","109,100","11.24K","-0.54%"
"2024- 04- 12","110,700","111,400","112,300","110,400","16.27K","-0.63%"
"2024- 04- 11","111,400","110,900","112,800","110,600","23.15K","-0.62%"
"2024- 04- 09","112,100","112,300","113,600","111,900","12.61K","-0.44%"
"2024- 04- 08","112,600","113,900","114,400","111,600","15.81K","-1.14%"
"2024- 04- 05","113,900","115,500","115,800","113,600","23.37K","-2.23%"
"2024- 04- 04","116,500","120,200","120,200","115,800","28.04K","-2.35%"
"2024- 04- 03","119,300","122,100","123,700","119,000","31.91K","-3.32%"
"2024- 04- 02","123,400","122,400","124,200","122,300","30.43K","0.08%"
"2024- 04- 01","123,300","121,900","123,900","121,700","11.01K","1.65%"
"2024- 03- 29","121,300","124,800","125,700","121,300","22.99K","-3.12%"
"2024- 03- 28","125,200","125,100","125,800","124,600","20.35K","-0.16%"
"2024- 03- 27","125,400","124,600","125,500","123,400","17.21K","0.64%"
"2024- 03- 26","124,600","125,000","125,500","124,100","22.78K","0.40%"
