"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,575","3,420","3,625","3,385","134.79K","4.69%"
"2024- 05- 07","3,415","3,475","3,480","3,350","90.33K","-0.29%"
"2024- 05- 03","3,425","3,370","3,525","3,340","116.55K","2.54%"
"2024- 05- 02","3,340","3,320","3,370","3,270","59.55K","0.30%"
"2024- 04- 30","3,330","3,290","3,410","3,260","74.80K","0.30%"
"2024- 04- 29","3,320","3,385","3,435","3,245","74.40K","-0.90%"
"2024- 04- 26","3,350","3,300","3,400","3,280","51.26K","1.82%"
"2024- 04- 25","3,290","3,330","3,330","3,245","53.68K","-1.20%"
"2024- 04- 24","3,330","3,175","3,370","3,175","41.84K","4.88%"
"2024- 04- 23","3,175","3,155","3,200","3,115","26.75K","0.16%"
"2024- 04- 22","3,170","3,185","3,225","3,155","35.82K","-2.31%"
"2024- 04- 19","3,245","3,230","3,330","3,190","51.34K","-0.15%"
"2024- 04- 18","3,250","3,185","3,290","3,150","34.89K","2.04%"
"2024- 04- 17","3,185","3,160","3,245","3,160","25.62K","0.79%"
"2024- 04- 16","3,160","3,255","3,255","3,080","74.19K","-2.92%"
"2024- 04- 15","3,255","3,410","3,410","3,210","111.29K","-7.26%"
"2024- 04- 12","3,510","3,465","3,520","3,425","47.05K","1.30%"
"2024- 04- 11","3,465","3,485","3,545","3,355","82.66K","-2.39%"
"2024- 04- 09","3,550","3,645","3,705","3,540","81.27K","-5.96%"
"2024- 04- 08","3,775","3,810","3,810","3,650","97.92K","-0.92%"
"2024- 04- 05","3,810","3,550","4,180","3,525","1.10M","8.55%"
"2024- 04- 04","3,510","3,460","3,530","3,445","42.75K","1.30%"
"2024- 04- 03","3,465","3,505","3,520","3,405","68.69K","-1.14%"
"2024- 04- 02","3,505","3,635","3,650","3,500","82.17K","-4.10%"
"2024- 04- 01","3,655","3,670","3,700","3,600","71.62K","-0.41%"
"2024- 03- 29","3,670","3,785","3,785","3,670","52.44K","-3.04%"
"2024- 03- 28","3,785","3,800","3,800","3,770","13.22K","-1.30%"
"2024- 03- 27","3,835","3,820","3,845","3,770","18.15K","0.39%"
"2024- 03- 26","3,820","3,785","3,820","3,785","13.29K","0.92%"
"2024- 03- 25","3,785","3,785","3,830","3,750","25.05K","0.13%"
"2024- 03- 22","3,780","3,765","3,805","3,730","32.43K","0.40%"
"2024- 03- 21","3,765","3,745","3,805","3,745","21.10K","0.53%"
"2024- 03- 20","3,745","3,740","3,755","3,700","21.60K","0.13%"
"2024- 03- 19","3,740","3,810","3,850","3,715","23.63K","-1.71%"
"2024- 03- 18","3,805","3,745","3,820","3,745","21.57K","1.60%"
"2024- 03- 17","3,745","3,745","3,745","3,745","","0.00%"
