"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,820","3,805","3,860","3,775","54.86K","0.13%"
"2024- 05- 07","3,815","3,755","3,945","3,755","126.61K","1.19%"
"2024- 05- 03","3,770","3,850","3,860","3,765","66.64K","-2.08%"
"2024- 05- 02","3,850","3,775","3,885","3,775","100.94K","1.18%"
"2024- 04- 30","3,805","3,790","3,860","3,765","86.01K","0.40%"
"2024- 04- 29","3,790","3,685","3,810","3,685","112.89K","2.29%"
"2024- 04- 26","3,705","3,705","3,735","3,695","59.49K","-0.13%"
"2024- 04- 25","3,710","3,710","3,795","3,695","83.99K","0.00%"
"2024- 04- 24","3,710","3,690","3,730","3,670","65.31K","0.54%"
"2024- 04- 23","3,690","3,730","3,755","3,685","59.25K","-1.60%"
"2024- 04- 22","3,750","3,750","3,800","3,665","75.21K","0.00%"
"2024- 04- 19","3,750","3,650","3,770","3,640","165.04K","2.88%"
"2024- 04- 18","3,645","3,530","3,715","3,530","118.80K","2.10%"
"2024- 04- 17","3,570","3,580","3,630","3,570","71.68K","-0.97%"
"2024- 04- 16","3,605","3,630","3,700","3,605","114.05K","-2.17%"
"2024- 04- 15","3,685","3,650","3,745","3,620","78.45K","0.27%"
"2024- 04- 12","3,675","3,660","3,715","3,650","71.80K","-0.14%"
"2024- 04- 11","3,680","3,725","3,740","3,670","46.66K","-1.21%"
"2024- 04- 09","3,725","3,750","3,800","3,710","77.14K","-0.40%"
"2024- 04- 08","3,740","3,650","3,810","3,630","227.47K","2.33%"
"2024- 04- 05","3,655","3,635","3,700","3,635","60.40K","-0.68%"
"2024- 04- 04","3,680","3,695","3,695","3,640","66.58K","0.55%"
"2024- 04- 03","3,660","3,670","3,710","3,640","91.45K","-0.27%"
"2024- 04- 02","3,670","3,735","3,755","3,650","155.76K","-1.61%"
"2024- 04- 01","3,730","3,705","3,765","3,650","89.89K","1.08%"
"2024- 03- 29","3,690","3,765","3,785","3,630","123.95K","-1.99%"
"2024- 03- 28","3,765","3,730","3,830","3,730","110.68K","0.13%"
"2024- 03- 27","3,760","3,750","3,785","3,605","113.55K","-0.66%"
"2024- 03- 26","3,785","3,810","3,850","3,765","137.86K","-1.05%"
"2024- 03- 25","3,825","3,875","3,890","3,820","92.84K","-1.54%"
"2024- 03- 22","3,885","3,855","3,945","3,855","146.63K","0.26%"
"2024- 03- 21","3,875","3,795","3,930","3,795","210.36K","2.24%"
"2024- 03- 20","3,790","3,805","3,840","3,730","201.75K","-0.66%"
"2024- 03- 19","3,815","3,920","3,920","3,810","263.91K","-2.93%"
"2024- 03- 18","3,930","3,975","3,975","3,850","299.15K","0.26%"
"2024- 03- 17","3,920","3,975","4,035","3,895","141.91K","-2.85%"
"2024- 03- 15","4,035","4,040","4,270","3,975","1.99M","3.20%"
"2024- 03- 14","3,910","3,920","3,980","3,870","404.79K","-1.76%"
"2024- 03- 13","3,980","3,810","4,420","3,700","6.44M","4.74%"
"2024- 03- 12","3,800","3,860","3,880","3,780","138.82K","-1.43%"
"2024- 03- 11","3,855","3,775","3,860","3,735","112.55K","2.66%"
"2024- 03- 08","3,755","3,715","3,780","3,715","93.14K","0.54%"
"2024- 03- 07","3,735","3,740","3,780","3,715","142.34K","-0.80%"
"2024- 03- 06","3,765","3,805","3,835","3,735","199.33K","-2.21%"
"2024- 03- 05","3,850","3,895","3,920","3,800","226.52K","-1.28%"
"2024- 03- 04","3,900","3,990","4,000","3,875","246.42K","-2.13%"
"2024- 02- 29","3,985","4,005","4,035","3,915","189.41K","-0.50%"
"2024- 02- 28","4,005","4,050","4,110","4,000","247.87K","-2.20%"
"2024- 02- 27","4,095","4,100","4,130","4,020","221.69K","-0.73%"
"2024- 02- 26","4,125","4,175","4,180","4,050","168.90K","-1.32%"
"2024- 02- 23","4,180","4,295","4,305","4,145","348.62K","-2.45%"
"2024- 02- 22","4,285","4,275","4,320","4,260","155.07K","0.12%"
"2024- 02- 21","4,280","4,390","4,390","4,275","320.84K","-2.51%"
"2024- 02- 20","4,390","4,380","4,420","4,315","197.85K","0.11%"
"2024- 02- 19","4,385","4,370","4,450","4,320","358.87K","0.34%"
"2024- 02- 18","4,370","4,370","4,370","4,370","","0.00%"
"2024- 02- 16","4,370","4,510","4,520","4,270","820.67K","-2.89%"
"2024- 02- 15","4,500","4,440","4,505","4,385","588.26K","0.33%"
"2024- 02- 14","4,485","4,440","4,520","4,370","724.96K","-1.43%"
"2024- 02- 13","4,550","4,230","4,750","4,150","7.35M","11.52%"
"2024- 02- 08","4,080","4,085","4,130","4,055","89.55K","0.00%"
"2024- 02- 07","4,080","4,105","4,145","4,065","105.89K","-0.97%"
"2024- 02- 06","4,120","4,200","4,205","4,055","152.08K","-1.90%"
"2024- 02- 05","4,200","4,230","4,230","4,150","125.50K","-0.71%"
"2024- 02- 02","4,230","4,175","4,265","4,160","220.52K","1.32%"
"2024- 02- 01","4,175","4,040","4,185","4,020","201.22K","3.21%"
"2024- 01- 31","4,045","4,175","4,185","4,005","247.87K","-3.69%"
"2024- 01- 30","4,200","4,155","4,245","4,120","275.23K","1.08%"
"2024- 01- 29","4,155","4,225","4,290","4,140","333.20K","0.36%"
"2024- 01- 26","4,140","3,970","4,240","3,970","399.12K","3.76%"
"2024- 01- 25","3,990","4,040","4,090","3,960","220.11K","-2.56%"
"2024- 01- 24","4,095","4,205","4,205","4,050","258.72K","-2.62%"
"2024- 01- 23","4,205","4,305","4,315","4,180","428.17K","-1.64%"
"2024- 01- 22","4,275","4,190","4,285","4,135","458.69K","3.39%"
"2024- 01- 19","4,135","4,155","4,295","4,110","495.35K","0.24%"
"2024- 01- 18","4,125","4,200","4,220","4,050","362.53K","-1.67%"
"2024- 01- 17","4,195","4,355","4,435","4,135","912.93K","-1.87%"
"2024- 01- 16","4,275","4,275","4,360","4,205","1.07M","0.12%"
"2024- 01- 15","4,270","4,075","4,475","4,040","2.83M","4.79%"
"2024- 01- 14","4,075","4,075","4,075","4,075","","0.00%"
"2024- 01- 12","4,075","4,090","4,150","4,010","731.62K","-1.93%"
"2024- 01- 11","4,155","3,920","4,555","3,885","11.65M","7.36%"
"2024- 01- 10","3,870","3,880","3,915","3,835","147.50K","-0.13%"
"2024- 01- 09","3,875","3,820","3,910","3,795","258.22K","2.92%"
"2024- 01- 08","3,765","3,720","3,810","3,690","126.45K","1.21%"
"2024- 01- 05","3,720","3,720","3,765","3,685","91.29K","-0.13%"
"2024- 01- 04","3,725","3,820","3,820","3,720","174.91K","-2.10%"
"2024- 01- 03","3,805","3,795","3,825","3,770","94.77K","-0.26%"
"2024- 01- 02","3,815","3,785","3,840","3,760","152.56K","0.79%"
