"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,850","3,965","4,000","3,735","931.39K","-3.99%"
"2024- 05- 07","4,010","3,900","4,155","3,855","4.51M","3.89%"
"2024- 05- 03","3,860","2,995","3,900","2,985","12.01M","28.67%"
"2024- 05- 02","3,000","3,005","3,005","2,915","122.97K","-0.33%"
"2024- 04- 30","3,010","2,960","3,175","2,960","574.87K","1.52%"
"2024- 04- 29","2,965","2,965","2,980","2,935","107.02K","0.00%"
"2024- 04- 26","2,965","2,905","3,000","2,870","274.68K","0.68%"
"2024- 04- 25","2,945","2,775","3,070","2,770","1.46M","6.13%"
"2024- 04- 24","2,775","2,720","2,850","2,720","116.91K","2.40%"
"2024- 04- 23","2,710","2,740","2,765","2,685","40.17K","-0.73%"
"2024- 04- 22","2,730","2,670","2,785","2,670","73.49K","2.25%"
"2024- 04- 19","2,670","2,745","2,745","2,610","143.25K","-2.02%"
"2024- 04- 18","2,725","2,660","2,745","2,660","100.27K","2.06%"
"2024- 04- 17","2,670","2,655","2,705","2,645","50.26K","0.38%"
"2024- 04- 16","2,660","2,785","2,815","2,625","286.33K","-5.67%"
"2024- 04- 15","2,820","2,830","2,855","2,790","166.48K","-2.42%"
"2024- 04- 12","2,890","2,875","2,920","2,835","56.32K","0.52%"
"2024- 04- 11","2,875","2,870","2,900","2,810","40.93K","0.00%"
"2024- 04- 09","2,875","2,855","2,900","2,845","56.50K","1.05%"
"2024- 04- 08","2,845","2,890","2,930","2,840","135.46K","-1.56%"
"2024- 04- 05","2,890","2,880","2,980","2,870","79.60K","-0.69%"
"2024- 04- 04","2,910","2,935","2,950","2,880","72.39K","0.00%"
"2024- 04- 03","2,910","2,980","2,980","2,910","103.76K","-2.35%"
"2024- 04- 02","2,980","3,075","3,080","2,945","185.98K","-3.25%"
"2024- 04- 01","3,080","2,985","3,095","2,985","139.36K","3.18%"
"2024- 03- 29","2,985","3,060","3,060","2,920","154.08K","-2.45%"
"2024- 03- 28","3,060","2,985","3,080","2,975","113.06K","1.32%"
"2024- 03- 27","3,020","3,075","3,135","2,980","129.27K","-2.27%"
"2024- 03- 26","3,090","3,070","3,175","3,050","250.61K","0.49%"
"2024- 03- 25","3,075","3,000","3,120","2,975","174.76K","2.50%"
"2024- 03- 22","3,000","2,935","3,170","2,890","605.99K","2.04%"
"2024- 03- 21","2,940","2,895","2,965","2,885","63.99K","1.91%"
"2024- 03- 20","2,885","2,865","2,955","2,845","121.21K","0.70%"
"2024- 03- 19","2,865","2,935","2,950","2,845","90.04K","-3.37%"
"2024- 03- 18","2,965","2,850","2,975","2,850","87.95K","3.49%"
"2024- 03- 15","2,865","2,865","2,905","2,850","78.47K","-1.04%"
"2024- 03- 14","2,895","2,930","2,950","2,855","86.46K","-1.19%"
"2024- 03- 13","2,930","2,960","3,015","2,905","99.52K","-0.51%"
"2024- 03- 12","2,945","3,015","3,050","2,945","72.42K","-2.32%"
"2024- 03- 11","3,015","3,050","3,120","3,000","186.84K","-1.15%"
"2024- 03- 08","3,050","2,925","3,065","2,905","115.62K","3.39%"
"2024- 03- 07","2,950","2,975","2,985","2,870","119.58K","-1.34%"
"2024- 03- 06","2,990","2,945","3,015","2,920","113.21K","1.18%"
"2024- 03- 05","2,955","2,905","3,035","2,865","121.62K","1.72%"
"2024- 03- 04","2,905","2,830","2,910","2,830","66.06K","1.93%"
"2024- 02- 29","2,850","2,850","2,875","2,810","101.18K","-0.52%"
"2024- 02- 28","2,865","2,870","2,900","2,850","74.96K","-1.21%"
"2024- 02- 27","2,900","2,945","2,950","2,860","99.37K","-1.02%"
"2024- 02- 26","2,930","2,930","2,970","2,890","61.56K","0.00%"
"2024- 02- 23","2,930","2,970","2,995","2,905","102.68K","-1.35%"
"2024- 02- 22","2,970","2,990","2,990","2,950","76.72K","-0.67%"
"2024- 02- 21","2,990","3,025","3,025","2,960","81.10K","-0.83%"
"2024- 02- 20","3,015","3,030","3,060","2,990","79.21K","-0.82%"
"2024- 02- 19","3,040","3,040","3,060","2,950","103.01K","0.16%"
"2024- 02- 16","3,035","3,030","3,060","2,820","116.57K","0.66%"
"2024- 02- 15","3,015","3,010","3,055","2,990","103.59K","0.17%"
"2024- 02- 14","3,010","3,000","3,010","2,935","55.20K","0.33%"
"2024- 02- 13","3,000","2,915","3,005","2,895","120.91K","2.92%"
"2024- 02- 08","2,915","2,915","2,950","2,895","49.00K","0.34%"
"2024- 02- 07","2,905","2,900","2,950","2,860","52.17K","0.17%"
"2024- 02- 06","2,900","2,950","2,950","2,855","93.78K","-1.69%"
"2024- 02- 05","2,950","2,975","3,005","2,920","76.57K","-0.84%"
"2024- 02- 02","2,975","2,955","3,055","2,945","68.47K","0.68%"
"2024- 02- 01","2,955","2,990","2,990","2,910","107.82K","-0.84%"
"2024- 01- 31","2,980","3,030","3,050","2,940","129.02K","-1.65%"
"2024- 01- 30","3,030","3,030","3,090","3,005","81.69K","0.00%"
"2024- 01- 29","3,030","3,120","3,140","3,030","120.04K","-2.88%"
"2024- 01- 26","3,120","3,045","3,135","3,005","74.55K","2.46%"
"2024- 01- 25","3,045","3,135","3,135","2,970","274.29K","-2.87%"
"2024- 01- 24","3,135","3,130","3,170","3,095","121.12K","1.13%"
"2024- 01- 23","3,100","3,050","3,150","3,035","110.19K","0.65%"
"2024- 01- 22","3,080","3,130","3,130","3,000","158.40K","-0.48%"
"2024- 01- 19","3,095","3,080","3,205","3,060","163.30K","0.81%"
"2024- 01- 18","3,070","3,080","3,120","3,055","108.81K","-1.44%"
"2024- 01- 17","3,115","3,115","3,135","3,045","127.87K","0.00%"
"2024- 01- 16","3,115","3,130","3,160","3,065","95.48K","-1.42%"
"2024- 01- 15","3,160","3,170","3,200","3,085","179.88K","-0.63%"
"2024- 01- 12","3,180","3,360","3,360","3,025","401.72K","-5.36%"
"2024- 01- 11","3,360","3,155","3,475","3,155","1.35M","7.18%"
"2024- 01- 10","3,135","3,200","3,245","3,135","136.38K","-2.94%"
"2024- 01- 09","3,230","3,255","3,265","3,170","106.05K","0.31%"
"2024- 01- 08","3,220","3,170","3,240","3,125","137.14K","1.10%"
"2024- 01- 07","3,185","3,185","3,185","3,185","","0.00%"
"2024- 01- 05","3,185","3,215","3,220","3,120","151.77K","-0.78%"
"2024- 01- 04","3,210","3,230","3,250","3,150","188.03K","-1.83%"
"2024- 01- 03","3,270","3,365","3,395","3,245","225.93K","-2.82%"
"2024- 01- 02","3,365","3,290","3,460","3,275","446.36K","3.38%"
