"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,080","6,980","7,130","7,000","60.62K","0.14%"
"2024- 05- 07","7,070","7,170","7,120","6,980","80.29K","-0.70%"
"2024- 05- 03","7,120","6,880","7,150","6,880","170.14K","3.64%"
"2024- 05- 02","6,870","6,800","6,910","6,730","54.15K","0.15%"
"2024- 04- 30","6,860","6,830","6,900","6,760","55.54K","0.29%"
"2024- 04- 29","6,840","6,750","6,870","6,730","63.75K","1.48%"
"2024- 04- 26","6,740","6,830","6,870","6,670","78.88K","-1.03%"
"2024- 04- 25","6,810","6,790","6,870","6,730","48.88K","0.29%"
"2024- 04- 24","6,790","6,750","6,890","6,700","63.48K","1.80%"
"2024- 04- 23","6,670","6,670","6,760","6,640","67.07K","0.00%"
"2024- 04- 22","6,670","6,800","6,900","6,630","102.30K","-1.33%"
"2024- 04- 19","6,760","6,910","6,970","6,530","226.77K","-2.73%"
"2024- 04- 18","6,950","6,830","7,450","6,760","789.14K","-0.43%"
"2024- 04- 17","6,980","6,650","8,200","6,580","4.35M","6.08%"
"2024- 04- 16","6,580","6,660","6,690","6,510","51.89K","-1.64%"
"2024- 04- 15","6,690","6,750","6,750","6,530","68.20K","-1.62%"
"2024- 04- 12","6,800","6,730","6,900","6,730","24.52K","0.89%"
"2024- 04- 11","6,740","6,900","6,950","6,630","72.52K","-2.32%"
"2024- 04- 09","6,900","6,820","6,950","6,780","47.81K","1.02%"
"2024- 04- 08","6,830","7,000","7,050","6,830","41.76K","-2.43%"
"2024- 04- 05","7,000","7,030","7,110","6,870","63.41K","-1.13%"
"2024- 04- 04","7,080","7,150","7,210","7,030","66.14K","-0.98%"
"2024- 04- 03","7,150","7,400","7,420","7,150","66.58K","-3.64%"
"2024- 04- 02","7,420","7,480","7,650","7,320","64.19K","-0.80%"
"2024- 04- 01","7,480","7,320","7,520","7,300","52.97K","2.19%"
"2024- 03- 29","7,320","7,520","7,580","7,320","72.77K","-2.79%"
"2024- 03- 28","7,530","7,480","7,570","7,450","48.50K","-0.13%"
"2024- 03- 27","7,540","7,620","7,700","7,410","83.31K","-1.44%"
"2024- 03- 26","7,650","7,820","7,820","7,580","72.55K","-1.54%"
"2024- 03- 25","7,770","7,750","7,830","7,680","85.55K","0.91%"
"2024- 03- 22","7,700","7,600","7,720","7,520","84.68K","1.32%"
"2024- 03- 21","7,600","7,450","7,710","7,430","103.19K","1.88%"
"2024- 03- 20","7,460","7,380","7,500","7,350","41.59K","1.08%"
"2024- 03- 19","7,380","7,450","7,470","7,290","52.65K","-0.54%"
"2024- 03- 18","7,420","7,410","7,550","7,390","55.23K","-0.54%"
"2024- 03- 15","7,460","7,410","7,480","7,330","10.30K","0.81%"
"2024- 03- 14","7,400","7,450","7,570","7,290","76.70K","-0.54%"
"2024- 03- 13","7,440","7,440","7,470","7,310","65.96K","0.40%"
"2024- 03- 12","7,410","7,380","7,560","7,330","81.75K","0.68%"
"2024- 03- 11","7,360","7,350","7,450","7,250","45.72K","-0.14%"
"2024- 03- 10","7,370","7,370","7,370","7,370","","0.00%"
"2024- 03- 08","7,370","7,250","7,430","7,250","63.37K","1.66%"
"2024- 03- 07","7,250","7,380","7,430","7,230","0.08K","-0.55%"
"2024- 03- 06","7,290","7,280","7,400","7,150","63.26K","-0.41%"
"2024- 03- 05","7,320","7,580","7,580","7,290","78.61K","-3.05%"
"2024- 03- 04","7,550","7,510","7,740","7,470","91.60K","0.67%"
"2024- 02- 29","7,500","7,680","7,710","7,460","82.07K","-2.34%"
"2024- 02- 28","7,680","7,770","7,860","7,660","0.22K","-0.90%"
"2024- 02- 27","7,750","7,860","7,950","7,650","0.01K","-1.40%"
"2024- 02- 26","7,860","7,980","8,100","7,800","86.34K","-1.26%"
"2024- 02- 25","7,960","7,960","7,960","7,960","","0.00%"
"2024- 02- 23","7,960","8,110","8,110","7,890","108.82K","-1.85%"
"2024- 02- 22","8,110","8,020","8,110","7,960","0.05K","2.40%"
"2024- 02- 21","7,920","8,230","8,330","7,890","241.85K","-5.04%"
"2024- 02- 20","8,340","8,530","8,580","8,160","197.88K","-1.42%"
"2024- 02- 19","8,460","8,380","8,500","8,260","0.03K","0.59%"
"2024- 02- 18","8,410","8,410","8,410","8,410","","0.00%"
"2024- 02- 16","8,410","8,050","8,640","8,050","697.76K","4.73%"
"2024- 02- 15","8,030","8,200","8,200","7,950","0.11K","-1.11%"
"2024- 02- 14","8,120","8,000","8,170","7,910","189.72K","-0.98%"
"2024- 02- 13","8,200","8,380","8,380","8,110","478.88K","-1.91%"
"2024- 02- 12","8,360","8,360","8,360","8,360","","0.00%"
"2024- 02- 08","8,360","7,830","8,410","7,740","625.89K","8.15%"
"2024- 02- 07","7,730","7,880","7,960","7,700","175.72K","-1.02%"
"2024- 02- 06","7,810","7,940","8,030","7,600","294.02K","-3.22%"
"2024- 02- 05","8,070","8,740","8,740","7,950","0.25K","-6.16%"
"2024- 02- 04","8,600","8,600","8,600","8,600","","0.00%"
"2024- 02- 02","8,600","8,420","8,870","8,420","508.20K","2.14%"
"2024- 02- 01","8,420","9,020","9,240","8,260","1.00M","-6.76%"
"2024- 01- 31","9,030","9,820","10,000","9,030","1.82K","-9.15%"
"2024- 01- 30","9,940","10,230","10,230","9,940","311.47K","-1.58%"
"2024- 01- 29","10,100","10,050","10,190","9,930","650.34K","-0.79%"
"2024- 01- 28","10,180","10,180","10,180","10,180","","0.00%"
"2024- 01- 26","10,180","9,150","11,200","8,700","13.92M","12.99%"
"2024- 01- 25","9,010","8,810","9,620","8,560","1.07K","0.67%"
"2024- 01- 24","8,950","9,480","9,750","8,850","3.76M","-2.19%"
"2024- 01- 23","9,150","9,100","10,130","8,490","0.06K","1.89%"
"2024- 01- 22","8,980","6,980","8,980","6,980","4.72M","29.96%"
"2024- 01- 19","6,910","6,990","7,070","6,910","44.16K","-0.43%"
"2024- 01- 18","6,940","6,750","7,020","6,700","58.97K","3.58%"
"2024- 01- 17","6,700","6,900","6,910","6,560","54.07K","-2.76%"
"2024- 01- 16","6,890","6,940","7,040","6,830","22.15K","-1.15%"
"2024- 01- 15","6,970","6,970","7,110","6,930","25.36K","-0.71%"
"2024- 01- 12","7,020","7,090","7,090","6,920","46.94K","0.00%"
"2024- 01- 11","7,020","7,030","7,050","6,960","30.93K","0.57%"
"2024- 01- 10","6,980","7,010","7,080","6,900","43.78K","-0.71%"
"2024- 01- 09","7,030","6,740","7,400","6,740","509.77K","4.77%"
"2024- 01- 08","6,710","6,670","6,790","6,600","18.17K","-0.30%"
"2024- 01- 05","6,730","6,750","6,800","6,690","10.36K","-0.30%"
"2024- 01- 04","6,750","6,830","6,840","6,690","24.30K","-1.03%"
"2024- 01- 03","6,820","6,870","6,870","6,720","22.12K","-1.16%"
"2024- 01- 02","6,900","6,730","6,900","6,700","35.11K","2.53%"
