"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,050","7,930","8,120","7,930","23.64K","0.75%"
"2024- 05- 07","7,990","8,020","8,050","7,930","22.26K","-0.50%"
"2024- 05- 03","8,030","8,080","8,210","7,990","29.37K","-0.62%"
"2024- 05- 02","8,080","8,110","8,230","8,060","21.99K","-0.86%"
"2024- 04- 30","8,150","8,050","8,220","7,990","27.31K","1.24%"
"2024- 04- 29","8,050","7,780","8,080","7,760","47.52K","3.47%"
"2024- 04- 26","7,780","7,980","7,980","7,750","22.43K","-1.14%"
"2024- 04- 25","7,870","7,980","7,980","7,790","30.16K","-1.63%"
"2024- 04- 24","8,000","7,940","8,040","7,900","28.39K","0.76%"
"2024- 04- 23","7,940","7,980","8,090","7,830","37.34K","0.76%"
"2024- 04- 22","7,880","7,790","7,990","7,790","32.35K","0.13%"
"2024- 04- 19","7,870","7,990","8,070","7,710","47.16K","-1.50%"
"2024- 04- 18","7,990","7,820","8,030","7,810","41.56K","1.27%"
"2024- 04- 17","7,890","7,960","8,010","7,890","39.44K","-1.25%"
"2024- 04- 16","7,990","8,250","8,250","7,860","118.77K","-2.92%"
"2024- 04- 15","8,230","8,250","8,290","8,150","38.63K","-1.91%"
"2024- 04- 12","8,390","8,230","8,440","8,150","41.77K","1.94%"
"2024- 04- 11","8,230","8,220","8,310","8,150","31.92K","-0.96%"
"2024- 04- 09","8,310","8,370","8,500","8,190","66.43K","-1.42%"
"2024- 04- 08","8,430","8,530","8,580","8,330","50.99K","-1.17%"
"2024- 04- 05","8,530","8,500","8,630","8,440","55.29K","0.24%"
"2024- 04- 04","8,510","8,520","8,680","8,460","43.87K","0.00%"
"2024- 04- 03","8,510","8,510","8,660","8,430","68.02K","-0.93%"
"2024- 04- 02","8,590","8,730","8,790","8,550","76.84K","-1.49%"
"2024- 04- 01","8,720","8,680","8,800","8,380","111.12K","0.46%"
"2024- 03- 29","8,680","9,070","9,170","8,620","204.22K","-5.55%"
"2024- 03- 28","9,190","9,200","9,420","9,050","333.18K","1.77%"
"2024- 03- 27","9,030","9,000","9,120","8,850","85.80K","-0.11%"
"2024- 03- 26","9,040","9,070","9,300","8,890","84.23K","-0.33%"
"2024- 03- 25","9,070","8,660","9,440","8,660","222.75K","4.86%"
"2024- 03- 22","8,650","8,640","8,750","8,600","58.40K","-0.69%"
"2024- 03- 21","8,710","8,810","8,840","8,570","75.26K","-0.23%"
"2024- 03- 20","8,730","8,910","9,060","8,710","71.80K","-2.02%"
"2024- 03- 19","8,910","9,000","9,390","8,880","120.79K","-2.52%"
"2024- 03- 18","9,140","8,980","9,190","8,850","113.62K","0.22%"
"2024- 03- 17","9,120","9,120","9,120","9,120","","1.11%"
"2024- 03- 15","9,020","8,980","9,850","8,860","50.18K","-8.33%"
"2024- 03- 14","9,840","9,940","10,010","9,500","209.45K","-1.60%"
"2024- 03- 13","10,000","9,200","10,200","9,000","915.23K","11.23%"
"2024- 03- 12","8,990","9,140","9,290","8,880","104.79K","-0.22%"
"2024- 03- 11","9,010","9,290","9,420","8,830","0.38K","-2.07%"
"2024- 03- 10","9,200","9,200","9,200","9,200","","0.00%"
"2024- 03- 08","9,200","8,580","9,500","8,470","595.34K","10.31%"
"2024- 03- 07","8,340","8,480","8,480","8,180","64.19K","-0.12%"
