"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","103,600","103,800","103,900","102,700","14.20K","0.48%"
"2024- 05- 07","103,100","103,400","105,600","102,600","29.12K","1.18%"
"2024- 05- 03","101,900","103,900","104,500","101,600","35.05K","-1.55%"
"2024- 05- 02","103,500","103,400","105,800","103,300","36.95K","-0.77%"
"2024- 04- 30","104,300","104,800","105,200","103,400","41.82K","-1.42%"
"2024- 04- 29","105,800","101,000","106,600","100,500","50.45K","4.65%"
"2024- 04- 26","101,100","100,600","101,300","100,200","14.11K","0.50%"
"2024- 04- 25","100,600","101,000","101,500","100,400","27.58K","-1.18%"
"2024- 04- 24","101,800","104,100","104,000","100,900","19.77K","-1.26%"
"2024- 04- 23","103,100","101,000","103,100","100,800","18.09K","1.08%"
"2024- 04- 22","102,000","101,200","102,000","99,800","24.26K","2.82%"
"2024- 04- 19","99,200","100,200","101,300","99,200","44.04K","-2.36%"
"2024- 04- 18","101,600","99,600","101,800","99,500","17.43K","2.52%"
"2024- 04- 17","99,100","100,200","100,600","98,900","30.48K","-1.00%"
"2024- 04- 16","100,100","98,700","101,000","98,300","42.99K","0.50%"
"2024- 04- 15","99,600","102,000","101,700","98,700","34.66K","-3.11%"
"2024- 04- 12","102,800","101,200","103,400","100,600","27.14K","1.48%"
"2024- 04- 11","101,300","102,000","103,000","100,500","29.56K","-1.94%"
"2024- 04- 09","103,300","103,600","105,100","102,500","35.95K","-0.86%"
"2024- 04- 08","104,200","104,200","104,500","101,100","31.54K","0.00%"
"2024- 04- 05","104,200","103,500","104,900","103,000","29.31K","-0.38%"
"2024- 04- 04","104,600","108,000","108,100","104,300","49.38K","-2.15%"
"2024- 04- 03","106,900","107,400","108,000","105,600","34.09K","-0.74%"
"2024- 04- 02","107,700","110,200","112,600","107,700","52.48K","-3.23%"
"2024- 04- 01","111,300","111,100","114,500","110,600","31.84K","1.00%"
"2024- 03- 29","110,200","114,600","114,700","110,200","28.55K","-2.91%"
"2024- 03- 28","113,500","113,100","116,800","113,100","46.43K","-0.44%"
"2024- 03- 27","114,000","112,500","115,300","112,500","36.92K","0.44%"
"2024- 03- 26","113,500","114,500","116,000","113,000","48.46K","-0.44%"
"2024- 03- 25","114,000","108,600","114,800","108,600","92.90K","4.30%"
"2024- 03- 22","109,300","109,600","110,900","109,000","28.60K","0.28%"
"2024- 03- 21","109,000","108,600","110,500","107,800","41.05K","1.58%"
"2024- 03- 20","107,300","109,500","110,100","106,900","27.83K","-1.11%"
"2024- 03- 19","108,500","109,500","110,600","107,700","20.34K","-1.00%"
"2024- 03- 18","109,600","106,300","110,300","105,700","38.24K","3.79%"
"2024- 03- 17","105,600","108,500","105,600","105,600","0.00K","0.00%"
"2024- 03- 15","105,600","108,500","109,000","105,500","72.54K","-3.12%"
"2024- 03- 14","109,000","111,700","112,200","109,000","0.00K","-1.71%"
"2024- 03- 13","110,900","112,200","112,500","110,300","25.41K","-0.18%"
"2024- 03- 12","111,100","112,100","112,500","109,300","27.07K","0.09%"
"2024- 03- 11","111,000","110,900","113,200","110,800","34.31K","0.09%"
"2024- 03- 10","110,900","110,900","110,900","110,900","","0.00%"
"2024- 03- 08","110,900","105,900","111,700","105,100","74.41K","6.23%"
"2024- 03- 07","104,400","107,600","108,100","103,800","0.00K","-2.52%"
"2024- 03- 06","107,100","106,200","109,200","105,800","26.43K","-0.37%"
"2024- 03- 05","107,500","106,100","107,900","105,600","43.75K","0.47%"
"2024- 03- 04","107,000","109,100","109,300","106,200","47.77K","-1.11%"
"2024- 02- 29","108,200","110,100","110,300","107,000","42.94K","-1.81%"
"2024- 02- 28","110,200","110,300","110,800","108,500","30.04K","0.09%"
"2024- 02- 27","110,100","114,000","114,000","109,300","42.89K","-2.65%"
"2024- 02- 26","113,100","112,000","115,500","110,500","72.74K","1.80%"
"2024- 02- 23","111,100","110,000","113,300","110,000","47.08K","0.82%"
"2024- 02- 22","110,200","112,100","112,200","109,200","31.45K","-0.90%"
"2024- 02- 21","111,200","112,600","113,500","110,900","27.41K","-0.45%"
"2024- 02- 20","111,700","112,100","113,800","111,200","0.00K","-0.53%"
"2024- 02- 19","112,300","111,300","112,900","111,100","24.88K","1.08%"
"2024- 02- 16","111,100","113,100","113,200","110,600","27.16K","-0.80%"
"2024- 02- 15","112,000","114,000","114,000","111,500","28.39K","-0.53%"
"2024- 02- 14","112,600","112,700","114,000","110,400","35.29K","-1.23%"
"2024- 02- 13","114,000","112,100","114,800","110,200","0.00K","2.89%"
"2024- 02- 08","110,800","112,200","113,300","110,100","42.42K","-1.34%"
"2024- 02- 07","112,300","112,300","113,500","110,700","37.06K","0.90%"
"2024- 02- 06","111,300","110,800","115,000","110,400","67.51K","1.74%"
"2024- 02- 05","109,400","108,900","110,700","107,500","0.08K","-0.09%"
"2024- 02- 02","109,500","107,000","109,900","106,800","48.48K","2.34%"
"2024- 02- 01","107,000","109,200","112,400","106,000","89.13K","-2.73%"
"2024- 01- 31","110,000","113,300","113,900","107,400","79.32K","-3.68%"
"2024- 01- 30","114,200","115,400","116,300","113,800","42.17K","-1.04%"
"2024- 01- 29","115,400","117,700","117,700","115,000","72.23K","-1.95%"
"2024- 01- 26","117,700","114,900","119,100","114,000","71.19K","3.25%"
"2024- 01- 25","114,000","112,600","114,900","111,400","46.80K","1.24%"
"2024- 01- 24","112,600","113,800","115,400","112,200","56.80K","-2.09%"
"2024- 01- 23","115,000","111,000","117,500","111,000","0.04K","5.31%"
"2024- 01- 22","109,200","107,500","111,100","106,700","51.47K","2.34%"
"2024- 01- 21","106,700","106,700","106,700","106,700","","0.00%"
"2024- 01- 19","106,700","108,800","109,800","105,800","69.24K","-1.20%"
"2024- 01- 18","108,000","107,500","108,400","106,400","45.15K","0.75%"
"2024- 01- 17","107,200","111,000","111,200","106,400","0.00K","-4.03%"
"2024- 01- 16","111,700","112,400","113,800","110,300","0.01K","-1.15%"
"2024- 01- 15","113,000","114,900","115,500","112,000","54.09K","-1.65%"
"2024- 01- 12","114,900","117,000","118,400","113,700","69.96K","-0.78%"
"2024- 01- 11","115,800","118,600","118,600","115,600","0.00K","-2.28%"
"2024- 01- 10","118,500","119,100","119,800","117,500","53.81K","-0.34%"
