"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,150","3,100","3,155","3,100","55.82K","0.80%"
"2024- 05- 07","3,125","3,100","3,165","3,100","27.70K","0.32%"
"2024- 05- 03","3,115","3,110","3,145","3,095","17.69K","-0.16%"
"2024- 05- 02","3,120","3,105","3,175","3,070","71.72K","-0.48%"
"2024- 04- 30","3,135","3,135","3,165","3,115","32.48K","-0.16%"
"2024- 04- 29","3,140","3,085","3,150","3,085","45.49K","1.95%"
"2024- 04- 26","3,080","3,120","3,175","3,060","87.27K","-1.28%"
"2024- 04- 25","3,120","3,100","3,130","3,070","51.79K","1.13%"
"2024- 04- 24","3,085","3,050","3,150","3,035","100.80K","1.82%"
"2024- 04- 23","3,030","3,050","3,100","3,005","37.54K","-0.66%"
"2024- 04- 22","3,050","3,020","3,090","2,995","59.64K","0.83%"
"2024- 04- 19","3,025","3,010","3,205","2,960","369.88K","1.34%"
"2024- 04- 18","2,985","2,905","2,985","2,890","32.66K","2.75%"
"2024- 04- 17","2,905","2,945","2,990","2,905","66.20K","-1.69%"
"2024- 04- 16","2,955","3,005","3,020","2,935","177.43K","-2.96%"
"2024- 04- 15","3,045","3,025","3,045","2,995","79.61K","0.00%"
"2024- 04- 12","3,045","3,060","3,080","3,045","29.67K","-0.49%"
"2024- 04- 11","3,060","3,070","3,090","3,015","36.47K","-0.33%"
"2024- 04- 09","3,070","3,015","3,080","3,000","70.55K","1.82%"
"2024- 04- 08","3,015","3,085","3,125","3,010","99.79K","-2.58%"
"2024- 04- 05","3,095","3,110","3,120","3,065","50.17K","-0.80%"
"2024- 04- 04","3,120","3,105","3,135","3,090","51.03K","0.48%"
"2024- 04- 03","3,105","3,115","3,120","3,080","76.09K","-1.11%"
"2024- 04- 02","3,140","3,165","3,165","3,080","182.20K","-0.63%"
"2024- 04- 01","3,160","3,135","3,160","3,115","89.14K","0.48%"
"2024- 03- 29","3,145","3,125","3,150","3,110","48.63K","0.00%"
"2024- 03- 28","3,145","3,145","3,160","3,110","62.99K","0.16%"
"2024- 03- 27","3,140","3,145","3,175","3,130","77.25K","-0.63%"
"2024- 03- 26","3,160","3,135","3,170","3,115","65.03K","0.80%"
"2024- 03- 25","3,135","3,160","3,160","3,100","71.37K","0.16%"
"2024- 03- 22","3,130","3,135","3,135","3,085","67.29K","-0.16%"
"2024- 03- 21","3,135","3,090","3,145","3,090","80.77K","1.62%"
"2024- 03- 20","3,085","3,225","3,255","3,060","362.75K","-4.49%"
"2024- 03- 19","3,230","3,280","3,295","3,230","72.62K","-1.52%"
"2024- 03- 18","3,280","3,240","3,335","3,240","66.28K","-0.30%"
"2024- 03- 15","3,290","3,240","3,300","3,240","15.36K","-0.45%"
"2024- 03- 14","3,305","3,325","3,335","3,275","107.79K","-0.60%"
"2024- 03- 13","3,325","3,300","3,325","3,255","131.66K","1.06%"
"2024- 03- 12","3,290","3,285","3,310","3,235","99.38K","0.00%"
"2024- 03- 11","3,290","3,300","3,325","3,285","57.10K","-0.30%"
"2024- 03- 08","3,300","3,285","3,340","3,245","68.55K","0.46%"
"2024- 03- 07","3,285","3,270","3,310","3,255","80.17K","0.46%"
"2024- 03- 06","3,270","3,260","3,350","3,255","66.31K","-0.15%"
"2024- 03- 05","3,275","3,310","3,380","3,260","253.92K","-0.61%"
"2024- 03- 04","3,295","3,330","3,380","3,290","92.84K","-0.75%"
"2024- 03- 03","3,320","3,320","3,320","3,320","","0.00%"
"2024- 02- 29","3,320","3,360","3,360","3,305","58.31K","-0.45%"
"2024- 02- 28","3,335","3,275","3,440","3,275","228.05K","1.21%"
"2024- 02- 27","3,295","3,380","3,405","3,295","131.33K","-2.95%"
"2024- 02- 26","3,395","3,390","3,445","3,375","85.76K","0.15%"
"2024- 02- 23","3,390","3,415","3,440","3,370","72.82K","-0.59%"
"2024- 02- 22","3,410","3,430","3,450","3,365","361.82K","-0.58%"
"2024- 02- 21","3,430","3,405","3,470","3,400","78.16K","0.00%"
"2024- 02- 20","3,430","3,430","3,510","3,390","224.89K","0.44%"
"2024- 02- 19","3,415","3,395","3,435","3,390","58.69K","1.04%"
"2024- 02- 18","3,380","3,380","3,380","3,380","","0.00%"
"2024- 02- 16","3,380","3,470","3,490","3,375","230.40K","-0.15%"
"2024- 02- 15","3,385","3,400","3,420","3,370","118.78K","0.15%"
"2024- 02- 14","3,380","3,310","3,395","3,310","65.25K","0.75%"
"2024- 02- 13","3,355","3,370","3,390","3,345","95.62K","0.15%"
"2024- 02- 08","3,350","3,360","3,370","3,330","33.08K","-0.30%"
"2024- 02- 07","3,360","3,345","3,390","3,330","66.50K","0.00%"
"2024- 02- 06","3,360","3,325","3,370","3,275","109.20K","1.05%"
"2024- 02- 05","3,325","3,375","3,375","3,315","60.10K","-0.89%"
"2024- 02- 02","3,355","3,290","3,365","3,290","80.87K","1.98%"
"2024- 02- 01","3,290","3,300","3,315","3,245","96.00K","-0.30%"
"2024- 01- 31","3,300","3,365","3,425","3,300","0.10K","-1.93%"
"2024- 01- 30","3,365","3,435","3,450","3,355","106.25K","-1.90%"
"2024- 01- 29","3,430","3,490","3,500","3,400","146.30K","-1.58%"
"2024- 01- 26","3,485","3,455","3,500","3,430","148.82K","0.29%"
"2024- 01- 25","3,475","3,460","3,525","3,425","161.68K","-0.71%"
"2024- 01- 24","3,500","3,560","3,560","3,440","155.26K","-0.99%"
"2024- 01- 23","3,535","3,475","3,550","3,440","243.15K","1.73%"
"2024- 01- 22","3,475","3,505","3,535","3,470","201.46K","-0.43%"
"2024- 01- 19","3,490","3,415","3,600","3,370","998.10K","3.71%"
"2024- 01- 18","3,365","3,280","3,420","3,255","147.99K","2.91%"
"2024- 01- 17","3,270","3,370","3,380","3,230","150.42K","-2.97%"
"2024- 01- 16","3,370","3,420","3,490","3,360","0.00K","-1.46%"
"2024- 01- 15","3,420","3,425","3,565","3,405","274.01K","-0.29%"
"2024- 01- 12","3,430","3,540","3,545","3,415","254.00K","-2.70%"
