"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,000","3,800","4,000","3,770","1.01M","4.85%"
"2024- 05- 07","3,815","3,785","3,850","3,715","130.80K","1.19%"
"2024- 05- 03","3,770","3,825","3,845","3,750","123.94K","-0.66%"
"2024- 05- 02","3,795","3,845","3,890","3,790","264.92K","-0.26%"
"2024- 04- 30","3,805","3,745","3,855","3,700","189.84K","1.60%"
"2024- 04- 29","3,745","3,670","3,765","3,640","139.10K","2.88%"
"2024- 04- 26","3,640","3,715","3,755","3,635","149.69K","-2.02%"
"2024- 04- 25","3,715","3,760","3,805","3,700","121.44K","-0.93%"
"2024- 04- 24","3,750","3,930","3,950","3,715","831.33K","2.04%"
"2024- 04- 23","3,675","3,620","3,680","3,595","91.64K","1.80%"
"2024- 04- 22","3,610","3,685","3,740","3,580","130.31K","-2.04%"
"2024- 04- 19","3,685","3,715","3,755","3,575","194.20K","0.00%"
"2024- 04- 18","3,685","3,630","3,730","3,625","118.16K","0.96%"
"2024- 04- 17","3,650","3,625","3,740","3,605","227.22K","1.25%"
"2024- 04- 16","3,605","3,670","3,685","3,565","171.48K","-2.57%"
"2024- 04- 15","3,700","3,610","3,700","3,480","258.97K","1.79%"
"2024- 04- 12","3,635","3,480","3,715","3,480","241.91K","4.60%"
"2024- 04- 11","3,475","3,615","3,650","3,420","274.19K","-4.01%"
"2024- 04- 09","3,620","3,660","3,735","3,590","283.88K","-2.95%"
"2024- 04- 08","3,730","3,655","3,870","3,630","502.38K","2.05%"
"2024- 04- 05","3,655","3,765","3,780","3,615","324.34K","-5.06%"
"2024- 04- 04","3,850","3,740","3,915","3,700","740.05K","1.58%"
"2024- 04- 03","3,790","3,995","4,390","3,725","5.87M","4.26%"
"2024- 04- 02","3,635","3,605","3,660","3,565","304.58K","-1.62%"
"2024- 04- 01","3,695","3,705","3,785","3,650","337.44K","0.82%"
"2024- 03- 29","3,665","3,955","4,060","3,630","2.28M","-1.61%"
"2024- 03- 28","3,725","3,505","4,250","3,470","5.24M","6.28%"
"2024- 03- 27","3,505","3,475","3,585","3,455","84.75K","0.86%"
"2024- 03- 26","3,475","3,435","3,490","3,425","66.85K","0.29%"
"2024- 03- 25","3,465","3,475","3,490","3,425","57.64K","-0.29%"
"2024- 03- 22","3,475","3,460","3,500","3,405","76.01K","-0.14%"
"2024- 03- 21","3,480","3,365","3,485","3,365","101.80K","3.57%"
"2024- 03- 20","3,360","3,415","3,445","3,360","68.95K","-1.61%"
"2024- 03- 19","3,415","3,345","3,440","3,345","64.32K","1.34%"
"2024- 03- 18","3,370","3,320","3,385","3,300","66.64K","1.20%"
"2024- 03- 15","3,330","3,320","3,400","3,290","5.06K","-1.62%"
"2024- 03- 14","3,385","3,375","3,420","3,320","92.46K","-0.29%"
"2024- 03- 13","3,395","3,395","3,450","3,320","69.50K","-0.15%"
"2024- 03- 12","3,400","3,330","3,465","3,280","274.45K","1.64%"
"2024- 03- 11","3,345","3,390","3,410","3,325","53.35K","-0.89%"
"2024- 03- 10","3,375","3,375","3,375","3,375","","0.00%"
"2024- 03- 08","3,375","3,380","3,460","3,340","67.05K","0.00%"
"2024- 03- 07","3,375","3,400","3,430","3,280","118.88K","-0.88%"
"2024- 03- 06","3,405","3,350","3,420","3,350","59.13K","0.15%"
"2024- 03- 05","3,400","3,470","3,480","3,365","83.16K","-2.02%"
"2024- 03- 04","3,470","3,420","3,500","3,400","92.68K","3.12%"
"2024- 03- 03","3,365","3,365","3,365","3,365","","0.00%"
"2024- 02- 29","3,365","3,455","3,470","3,310","182.44K","-2.60%"
"2024- 02- 28","3,455","3,435","3,475","3,400","101.81K","0.14%"
"2024- 02- 27","3,450","3,500","3,510","3,385","149.35K","-1.43%"
"2024- 02- 26","3,500","3,540","3,555","3,470","71.33K","-1.69%"
"2024- 02- 23","3,560","3,615","3,670","3,535","111.90K","-1.52%"
"2024- 02- 22","3,615","3,560","3,655","3,560","65.87K","0.70%"
