"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,240","8,210","8,260","8,060","138.92K","0.49%"
"2024- 05- 07","8,200","8,400","8,400","8,150","129.92K","-1.56%"
"2024- 05- 03","8,330","8,280","8,520","8,120","532.44K","1.22%"
"2024- 05- 02","8,230","7,980","8,280","7,950","184.41K","2.62%"
"2024- 04- 30","8,020","8,000","8,090","7,890","93.15K","0.25%"
"2024- 04- 29","8,000","7,830","8,040","7,830","77.62K","1.65%"
"2024- 04- 26","7,870","7,720","7,930","7,650","123.34K","2.47%"
"2024- 04- 25","7,680","7,800","7,890","7,650","98.83K","-1.29%"
"2024- 04- 24","7,780","7,780","7,870","7,680","87.15K","0.39%"
"2024- 04- 23","7,750","8,040","8,090","7,740","124.18K","-1.77%"
"2024- 04- 22","7,890","8,200","8,340","7,860","279.28K","-3.78%"
"2024- 04- 19","8,200","8,270","8,520","7,900","287.84K","-0.85%"
"2024- 04- 18","8,270","7,980","8,440","7,980","238.36K","3.63%"
"2024- 04- 17","7,980","7,850","8,070","7,800","78.08K","1.66%"
"2024- 04- 16","7,850","7,980","8,070","7,800","99.28K","-2.73%"
"2024- 04- 15","8,070","7,980","8,140","7,840","100.41K","-0.49%"
"2024- 04- 12","8,110","8,180","8,320","8,070","118.58K","0.25%"
"2024- 04- 11","8,090","8,200","8,200","7,960","100.57K","-0.74%"
"2024- 04- 09","8,150","8,100","8,440","8,100","237.04K","0.87%"
"2024- 04- 08","8,080","8,440","8,450","8,040","205.66K","-3.23%"
"2024- 04- 05","8,350","8,690","8,700","8,250","334.30K","-2.79%"
"2024- 04- 04","8,590","8,090","8,850","7,910","894.81K","6.44%"
"2024- 04- 03","8,070","7,830","8,130","7,680","247.92K","3.07%"
"2024- 04- 02","7,830","7,880","8,490","7,720","327.16K","-0.63%"
"2024- 04- 01","7,880","7,690","7,990","7,670","149.82K","2.20%"
"2024- 03- 29","7,710","7,880","7,880","7,610","110.33K","-0.90%"
"2024- 03- 28","7,780","7,800","7,970","7,710","222.28K","1.04%"
"2024- 03- 27","7,700","7,630","7,840","7,570","246.71K","0.39%"
"2024- 03- 26","7,670","7,780","7,780","7,540","173.86K","-1.41%"
"2024- 03- 25","7,780","7,530","7,800","7,410","295.52K","3.32%"
"2024- 03- 22","7,530","7,390","7,590","7,320","110.28K","1.62%"
"2024- 03- 21","7,410","7,200","7,610","7,140","387.88K","6.16%"
"2024- 03- 20","6,980","7,000","7,180","6,830","171.50K","-1.41%"
"2024- 03- 19","7,080","7,310","7,310","6,990","154.95K","-1.67%"
"2024- 03- 18","7,200","7,400","7,420","7,190","97.40K","-2.17%"
"2024- 03- 15","7,360","7,400","7,620","7,300","3.37K","-3.03%"
"2024- 03- 14","7,590","7,650","7,730","7,440","189.14K","0.66%"
"2024- 03- 13","7,540","7,700","7,730","7,530","0.00K","-2.96%"
"2024- 03- 12","7,770","7,760","7,810","7,650","125.48K","1.04%"
"2024- 03- 11","7,690","7,390","7,750","7,350","217.64K","3.92%"
"2024- 03- 08","7,400","7,360","7,540","7,200","118.96K","1.37%"
"2024- 03- 07","7,300","7,700","7,800","7,290","211.10K","-4.20%"
"2024- 03- 06","7,620","7,290","7,690","7,200","250.62K","4.53%"
"2024- 03- 05","7,290","7,180","7,310","7,140","135.95K","0.28%"
"2024- 03- 04","7,270","7,390","7,470","7,190","284.74K","-2.81%"
"2024- 02- 29","7,480","7,690","7,740","7,400","305.30K","-2.98%"
"2024- 02- 28","7,710","7,750","7,790","7,600","0.00K","0.78%"
"2024- 02- 27","7,650","8,750","8,750","7,630","1.16M","-14.24%"
"2024- 02- 26","8,920","8,970","9,190","8,810","2.73K","0.45%"
"2024- 02- 23","8,880","8,650","9,050","8,570","277.75K","0.79%"
"2024- 02- 22","8,810","8,890","9,040","8,650","1.20K","-0.56%"
"2024- 02- 21","8,860","8,980","9,130","8,800","0.02K","-1.66%"
"2024- 02- 20","9,010","9,190","9,380","9,010","0.03K","-2.07%"
"2024- 02- 19","9,200","9,540","9,580","9,120","266.56K","-4.17%"
"2024- 02- 18","9,600","9,600","9,600","9,600","","0.00%"
"2024- 02- 16","9,600","9,300","9,940","9,120","820.21K","2.24%"
"2024- 02- 15","9,390","8,560","9,650","8,500","0.67K","11.79%"
"2024- 02- 14","8,400","8,600","8,600","8,250","207.97K","-2.33%"
"2024- 02- 13","8,600","8,260","8,600","8,040","0.10K","5.91%"
"2024- 02- 08","8,120","8,070","8,140","7,920","89.79K","0.62%"
"2024- 02- 07","8,070","8,450","8,460","8,010","306.86K","-2.67%"
"2024- 02- 06","8,292","7,792","8,292","7,758","331.47K","-11.13%"
"2024- 02- 05","9,330","9,660","10,090","9,250","302.33K","-2.81%"
"2024- 02- 04","9,600","9,600","9,600","9,600","","0.00%"
"2024- 02- 02","9,600","9,610","10,570","9,470","667.29K","1.91%"
"2024- 02- 01","9,420","9,090","9,650","9,090","0.37K","2.28%"
"2024- 01- 31","9,210","9,630","9,840","9,200","181.30K","-5.25%"
"2024- 01- 30","9,720","9,410","9,740","9,400","104.58K","4.29%"
"2024- 01- 29","9,320","9,680","9,680","9,240","169.31K","-2.82%"
"2024- 01- 28","9,590","9,590","9,590","9,590","","0.00%"
"2024- 01- 26","9,590","9,860","9,890","9,340","252.20K","-1.13%"
"2024- 01- 25","9,700","10,500","10,510","9,600","387.97K","-7.62%"
"2024- 01- 24","10,500","10,180","10,580","9,930","223.24K","2.94%"
"2024- 01- 23","10,200","9,880","10,310","9,770","238.61K","2.51%"
"2024- 01- 22","9,950","10,100","10,420","9,850","278.48K","-0.10%"
"2024- 01- 19","9,960","9,740","10,080","9,610","236.58K","3.75%"
"2024- 01- 18","9,600","9,470","9,950","9,360","300.69K","1.37%"
"2024- 01- 17","9,470","9,870","10,350","9,450","283.28K","-3.86%"
"2024- 01- 16","9,850","10,370","10,700","9,850","0.18K","-5.01%"
"2024- 01- 15","10,370","10,600","10,600","10,110","0.10K","-1.05%"
"2024- 01- 12","10,480","10,330","10,800","10,090","215.27K","1.35%"
"2024- 01- 11","10,340","10,840","10,840","10,200","206.38K","-1.80%"
"2024- 01- 10","10,530","10,530","10,990","10,310","352.27K","0.57%"
"2024- 01- 09","10,470","10,130","10,600","9,980","0.01K","4.39%"
"2024- 01- 08","10,030","9,820","10,120","9,520","239.43K","2.14%"
"2024- 01- 05","9,820","10,230","10,240","9,540","201.34K","-2.09%"
"2024- 01- 04","10,030","10,130","10,590","9,770","355.59K","-0.99%"
"2024- 01- 03","10,130","9,850","10,300","9,660","0.05K","2.84%"
"2024- 01- 02","9,850","9,330","10,380","9,330","752.97K","5.57%"
