"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","12,140","12,280","12,420","11,920","86.23K","-0.08%"
"2024- 05- 07","12,150","12,200","12,200","11,740","137.55K","-0.41%"
"2024- 05- 03","12,200","10,820","12,290","10,860","495.30K","12.44%"
"2024- 05- 02","10,850","10,560","10,920","10,510","45.91K","2.75%"
"2024- 04- 30","10,560","10,470","10,730","10,450","14.13K","0.00%"
"2024- 04- 29","10,560","10,570","10,640","10,350","25.13K","-0.09%"
"2024- 04- 26","10,570","10,750","10,790","10,090","23.06K","-1.67%"
"2024- 04- 25","10,750","10,850","10,980","10,600","26.76K","-0.92%"
"2024- 04- 24","10,850","10,570","10,930","10,570","64.62K","2.65%"
"2024- 04- 23","10,570","10,160","10,790","10,100","159.13K","3.42%"
"2024- 04- 22","10,220","10,280","10,380","10,090","15.26K","-0.10%"
"2024- 04- 19","10,230","10,230","10,360","9,700","64.65K","0.00%"
"2024- 04- 18","10,230","9,980","10,390","9,910","35.44K","2.51%"
"2024- 04- 17","9,980","9,440","10,590","9,320","178.61K","5.83%"
"2024- 04- 16","9,430","9,530","9,640","9,240","10.12K","-1.05%"
"2024- 04- 15","9,530","9,510","9,680","9,430","16.53K","-2.16%"
"2024- 04- 12","9,740","9,790","9,800","9,300","13.19K","1.46%"
"2024- 04- 11","9,600","9,510","9,660","9,450","3.60K","-0.72%"
"2024- 04- 09","9,670","9,900","9,900","9,430","10.08K","-0.72%"
"2024- 04- 08","9,740","9,800","10,000","9,600","18.39K","-0.92%"
"2024- 04- 05","9,830","9,800","9,850","9,710","8.25K","-0.41%"
"2024- 04- 04","9,870","9,560","9,970","9,560","16.00K","2.28%"
"2024- 04- 03","9,650","9,800","9,800","9,350","29.12K","-2.23%"
"2024- 04- 02","9,870","9,810","9,980","9,680","36.30K","-1.30%"
"2024- 04- 01","10,000","10,050","10,150","9,830","15.05K","-1.38%"
"2024- 03- 29","10,140","10,300","10,300","10,090","13.25K","-0.59%"
"2024- 03- 28","10,200","9,890","10,210","9,890","26.20K","3.13%"
"2024- 03- 27","9,890","9,970","9,970","9,620","46.64K","-1.79%"
"2024- 03- 26","10,070","10,270","10,460","9,890","44.27K","-3.64%"
"2024- 03- 25","10,450","10,190","10,590","10,100","64.21K","2.55%"
"2024- 03- 22","10,190","10,110","10,190","9,950","37.26K","0.79%"
"2024- 03- 21","10,110","9,890","10,130","9,790","59.83K","2.43%"
"2024- 03- 20","9,870","9,680","9,970","9,680","24.24K","1.02%"
"2024- 03- 19","9,770","9,860","9,870","9,470","47.04K","-1.01%"
"2024- 03- 18","9,870","9,370","9,890","9,310","83.54K","5.22%"
