"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,240","4,215","4,260","4,170","57.16K","0.47%"
"2024- 05- 07","4,220","4,390","4,450","4,200","171.93K","-3.87%"
"2024- 05- 03","4,390","4,410","4,505","4,380","47.47K","-0.90%"
"2024- 05- 02","4,430","4,410","4,550","4,370","75.85K","0.45%"
"2024- 04- 30","4,410","4,330","4,480","4,290","86.25K","3.04%"
"2024- 04- 29","4,280","4,260","4,320","4,215","61.55K","0.47%"
"2024- 04- 26","4,260","4,400","4,420","4,200","115.35K","-3.40%"
"2024- 04- 25","4,410","4,425","4,450","4,355","56.47K","-0.34%"
"2024- 04- 24","4,425","4,685","4,750","4,420","148.09K","-5.75%"
"2024- 04- 23","4,695","4,570","4,735","4,570","134.27K","2.18%"
"2024- 04- 22","4,595","4,465","4,650","4,465","189.07K","2.68%"
"2024- 04- 19","4,475","4,410","4,505","4,330","138.03K","1.47%"
"2024- 04- 18","4,410","4,300","4,455","4,265","112.19K","4.01%"
"2024- 04- 17","4,240","4,170","4,390","4,165","101.86K","1.80%"
"2024- 04- 16","4,165","4,235","4,290","4,165","97.62K","-2.23%"
"2024- 04- 15","4,260","4,260","4,345","4,190","131.39K","-0.70%"
"2024- 04- 12","4,290","4,320","4,370","4,230","89.83K","-0.69%"
"2024- 04- 11","4,320","4,295","4,325","4,195","72.70K","1.29%"
"2024- 04- 09","4,265","4,220","4,365","4,210","130.75K","-0.12%"
"2024- 04- 08","4,270","4,320","4,355","4,175","80.97K","0.12%"
"2024- 04- 05","4,265","4,300","4,370","4,240","74.88K","-1.84%"
"2024- 04- 04","4,345","4,295","4,375","4,180","126.81K","0.46%"
"2024- 04- 03","4,325","4,290","4,385","4,170","180.32K","0.00%"
"2024- 04- 02","4,325","4,465","4,470","4,285","180.17K","-3.78%"
"2024- 04- 01","4,495","4,460","4,530","4,355","130.18K","0.90%"
"2024- 03- 29","4,455","4,615","4,740","4,380","259.79K","-4.91%"
"2024- 03- 28","4,685","4,410","4,850","4,300","541.41K","4.81%"
"2024- 03- 27","4,470","4,125","5,040","4,125","1.45M","8.50%"
"2024- 03- 26","4,120","4,140","4,235","4,085","202.46K","-3.06%"
"2024- 03- 25","4,250","4,175","4,260","4,110","226.07K","1.55%"
"2024- 03- 22","4,185","4,120","4,245","4,060","177.84K","1.70%"
"2024- 03- 21","4,115","4,035","4,275","4,035","116.16K","1.86%"
"2024- 03- 20","4,040","4,060","4,130","4,010","155.93K","-3.23%"
"2024- 03- 19","4,175","4,105","4,175","4,030","152.67K","-0.60%"
"2024- 03- 18","4,200","4,170","4,410","4,125","237.25K","0.72%"
"2024- 03- 15","4,170","4,070","4,215","4,005","276.03K","1.96%"
"2024- 03- 14","4,090","3,995","4,140","3,995","177.35K","2.12%"
"2024- 03- 13","4,005","3,980","4,045","3,915","176.09K","0.63%"
"2024- 03- 12","3,980","3,990","4,055","3,940","170.65K","-0.25%"
"2024- 03- 11","3,990","4,170","4,235","3,990","219.52K","-5.00%"
"2024- 03- 08","4,200","3,970","4,200","3,965","207.24K","5.79%"
"2024- 03- 07","3,970","4,105","4,150","3,970","0.03K","-3.76%"
"2024- 03- 06","4,125","4,035","4,135","4,015","126.05K","2.23%"
"2024- 03- 05","4,035","4,085","4,150","4,015","158.20K","-1.22%"
"2024- 03- 04","4,085","4,160","4,230","4,080","0.01K","-2.74%"
"2024- 03- 03","4,200","4,200","4,200","4,200","","0.00%"
"2024- 02- 29","4,200","4,340","4,490","4,175","286.16K","-3.23%"
"2024- 02- 28","4,340","4,400","4,500","4,270","211.78K","-1.25%"
"2024- 02- 27","4,395","4,585","4,600","4,385","381.64K","-5.08%"
"2024- 02- 26","4,630","4,605","4,750","4,540","329.14K","-0.43%"
"2024- 02- 25","4,650","4,650","4,650","4,650","","0.00%"
