"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","111,200","107,100","114,100","107,000","2.04M","1.65%"
"2024- 04- 29","109,400","110,100","110,500","106,500","1.16M","-0.64%"
"2024- 04- 26","110,100","109,600","111,700","101,200","2.37M","0.46%"
"2024- 04- 25","109,600","107,300","112,500","107,100","1.68M","1.01%"
"2024- 04- 24","108,500","107,600","109,500","105,500","1.20M","1.69%"
"2024- 04- 23","106,700","106,400","108,900","104,400","1.38M","0.38%"
"2024- 04- 22","106,300","103,200","109,200","102,000","3.02M","6.30%"
"2024- 04- 19","100,000","97,300","100,000","93,000","2.02M","2.77%"
"2024- 04- 18","97,300","92,900","98,400","91,800","1.46M","4.40%"
"2024- 04- 17","93,200","97,900","98,200","91,200","1.76M","-2.00%"
"2024- 04- 16","95,100","97,700","99,200","92,700","1.68M","-3.45%"
"2024- 04- 15","98,500","92,000","99,900","90,300","2.47M","5.91%"
"2024- 04- 12","93,000","90,700","93,800","89,200","1.31M","2.76%"
"2024- 04- 11","90,500","91,200","95,600","90,100","1.53M","-1.63%"
"2024- 04- 09","92,000","95,700","97,300","88,800","2.50M","-0.97%"
"2024- 04- 08","92,900","88,000","94,400","86,100","3.99M","7.90%"
"2024- 04- 05","86,100","89,100","90,600","85,100","3.33M","-5.80%"
"2024- 04- 04","91,400","97,500","99,600","89,500","3.28M","-5.77%"
"2024- 04- 03","97,000","99,200","100,400","89,300","4.33M","-3.58%"
"2024- 04- 02","100,600","106,400","106,900","98,700","2.78M","-3.64%"
"2024- 04- 01","104,400","105,100","108,400","103,000","1.52M","-0.76%"
"2024- 03- 29","105,200","111,000","114,100","103,400","2.81M","-4.10%"
"2024- 03- 28","109,700","109,000","112,200","106,600","2.55M","0.09%"
"2024- 03- 27","109,600","120,800","122,300","109,600","3.44M","-9.27%"
"2024- 03- 26","120,800","122,000","129,000","110,000","7.25M","1.68%"
"2024- 03- 25","118,800","114,900","120,000","113,800","2.76M","6.26%"
"2024- 03- 22","111,800","109,100","112,500","106,100","2.87M","-0.80%"
"2024- 03- 21","112,700","104,700","114,600","104,500","4.31M","8.57%"
"2024- 03- 20","103,800","102,900","105,000","100,800","1.40M","0.97%"
"2024- 03- 19","102,800","100,100","103,300","98,800","1.33M","1.78%"
"2024- 03- 18","101,000","102,500","104,300","98,100","2.06M","-1.37%"
"2024- 03- 17","102,400","102,500","103,100","101,700","220.10K","0.00%"
"2024- 03- 15","102,400","104,200","106,300","100,600","2.53M","-0.10%"
"2024- 03- 14","102,500","98,300","106,300","98,300","0.16K","5.67%"
"2024- 03- 13","97,000","100,600","104,200","86,400","0.10K","-3.10%"
"2024- 03- 12","100,100","99,200","102,200","98,200","0.00K","-0.50%"
"2024- 03- 11","100,600","98,800","101,700","95,600","1.18K","2.65%"
"2024- 03- 10","98,000","98,000","98,000","98,000","","0.00%"
"2024- 03- 08","98,000","80,000","98,900","79,300","12.83M","22.65%"
"2024- 03- 07","79,900","80,000","81,600","78,100","1.20M","-0.25%"
"2024- 03- 06","80,100","78,600","80,600","76,900","1.54M","0.50%"
"2024- 03- 05","79,700","80,000","83,100","79,500","1.89M","-2.92%"
"2024- 03- 04","82,100","81,100","84,300","80,700","3.13K","0.74%"
"2024- 03- 03","81,500","81,500","81,500","81,500","","0.00%"
"2024- 02- 29","81,500","76,200","81,500","75,100","3.12M","5.43%"
"2024- 02- 28","77,300","74,800","77,300","73,500","1.23K","2.11%"
"2024- 02- 27","75,700","78,300","78,900","74,600","1.36K","-2.70%"
"2024- 02- 26","77,800","79,900","81,900","77,800","0.46K","-1.14%"
"2024- 02- 25","78,700","78,700","78,700","78,700","","0.00%"
"2024- 02- 23","78,700","78,200","83,500","77,500","2.96M","0.90%"
"2024- 02- 22","78,000","78,700","81,800","77,900","2.54K","-3.35%"
"2024- 02- 21","80,700","83,300","84,900","79,400","4.85M","1.64%"
"2024- 02- 20","79,400","79,200","83,000","78,600","0.01K","0.76%"
"2024- 02- 19","78,800","69,600","79,400","69,600","0.13K","14.87%"
"2024- 02- 18","68,600","68,600","68,600","68,600","","0.00%"
"2024- 02- 16","68,600","67,600","68,800","66,100","1.70M","1.48%"
"2024- 02- 15","67,600","69,300","71,300","67,600","3.58K","-3.84%"
"2024- 02- 14","70,300","72,600","73,600","69,500","0.28K","-5.64%"
"2024- 02- 13","74,500","73,400","75,000","70,300","2.09M","2.34%"
"2024- 02- 12","72,800","72,800","72,800","72,800","","0.00%"
"2024- 02- 08","72,800","74,200","76,300","72,100","2.39M","-3.83%"
"2024- 02- 07","75,700","73,800","77,900","73,800","1.51K","2.30%"
"2024- 02- 06","74,000","70,000","74,100","67,000","3.15M","4.37%"
"2024- 02- 05","70,900","70,700","71,200","69,000","0.92K","1.00%"
"2024- 02- 04","70,200","70,200","70,200","70,200","","0.00%"
"2024- 02- 02","70,200","64,100","70,600","64,000","4.31M","8.17%"
"2024- 02- 01","64,900","66,000","67,400","63,200","0.87K","-4.28%"
"2024- 01- 31","67,800","70,600","71,800","66,400","0.21K","-2.87%"
"2024- 01- 30","69,800","66,400","70,800","64,400","16.51K","10.62%"
"2024- 01- 29","63,100","66,400","72,200","60,300","0.03K","-3.22%"
"2024- 01- 28","65,200","65,200","65,200","65,200","","0.00%"
"2024- 01- 26","65,200","55,400","65,200","54,500","16.37M","19.20%"
"2024- 01- 25","54,700","49,700","54,900","49,700","7.40K","10.51%"
"2024- 01- 24","49,500","50,000","50,600","48,000","2.29M","-3.13%"
"2024- 01- 23","51,100","48,600","58,500","46,850","1.22K","7.02%"
"2024- 01- 22","47,750","46,800","48,750","46,300","1.50M","4.03%"
"2024- 01- 21","45,900","45,900","45,900","45,900","","0.00%"
"2024- 01- 19","45,900","47,000","48,250","45,500","1.46M","-0.65%"
"2024- 01- 18","46,200","43,500","47,300","43,500","0.79K","7.32%"
"2024- 01- 17","43,050","43,850","43,850","42,150","0.17K","-1.26%"
"2024- 01- 16","43,600","44,000","44,600","42,450","5.48K","-1.13%"
"2024- 01- 15","44,100","46,000","46,000","43,600","1.92K","-4.34%"
"2024- 01- 14","46,100","46,100","46,100","46,100","","0.00%"
"2024- 01- 12","46,100","46,150","47,100","45,450","1.27M","-2.54%"
"2024- 01- 11","47,300","47,350","48,200","45,600","0.09K","-0.94%"
"2024- 01- 10","47,750","49,250","49,450","47,500","0.32K","-2.35%"
"2024- 01- 09","48,900","48,250","49,850","48,150","0.16K","1.88%"
"2024- 01- 08","48,000","48,700","50,400","47,750","0.00K","0.73%"
"2024- 01- 07","47,650","47,650","47,650","47,650","","0.00%"
"2024- 01- 05","47,650","46,850","48,450","46,100","1.91M","3.59%"
"2024- 01- 04","46,000","50,800","51,700","45,350","4.92M","-12.38%"
"2024- 01- 03","52,500","52,400","52,900","51,100","1.40M","-1.32%"
"2024- 01- 02","53,200","50,700","54,400","50,500","3.42K","4.93%"
