"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","17,210","16,400","17,730","16,370","1.21M","2.44%"
"2024- 04- 29","16,800","17,100","17,130","16,620","516.39K","-0.88%"
"2024- 04- 26","16,950","17,260","17,460","15,540","1.31M","-3.03%"
"2024- 04- 25","17,480","17,440","18,000","17,320","741.58K","-0.68%"
"2024- 04- 24","17,600","17,660","17,760","17,240","603.60K","0.28%"
"2024- 04- 23","17,550","17,310","17,780","17,040","757.84K","1.39%"
"2024- 04- 22","17,310","16,990","17,830","16,990","1.47M","3.34%"
"2024- 04- 19","16,750","16,680","16,790","16,100","644.32K","0.42%"
"2024- 04- 18","16,680","16,380","16,740","16,200","554.10K","2.52%"
"2024- 04- 17","16,270","16,960","16,960","15,960","918.69K","-2.57%"
"2024- 04- 16","16,700","16,640","16,910","16,220","703.51K","-0.54%"
"2024- 04- 15","16,790","16,100","16,970","15,820","1.01M","3.13%"
"2024- 04- 12","16,280","16,100","16,450","15,940","776.47K","1.12%"
"2024- 04- 11","16,100","16,410","16,830","16,060","899.46K","-2.42%"
"2024- 04- 09","16,500","17,650","17,850","16,010","2.40M","-2.94%"
"2024- 04- 08","17,000","16,280","17,340","15,900","3.57M","6.92%"
"2024- 04- 05","15,900","16,860","16,860","15,800","2.58M","-5.92%"
"2024- 04- 04","16,900","18,020","18,240","16,700","2.42M","-5.27%"
"2024- 04- 03","17,840","18,600","18,600","17,050","3.46M","-4.80%"
"2024- 04- 02","18,740","19,790","19,810","18,320","2.78M","-4.34%"
"2024- 04- 01","19,590","20,450","20,500","19,500","2.19M","-4.21%"
"2024- 03- 29","20,450","21,500","22,150","20,150","2.93M","-4.44%"
"2024- 03- 28","21,400","21,750","21,900","20,800","3.12M","-1.15%"
"2024- 03- 27","21,650","23,700","23,700","21,400","4.48M","-9.03%"
"2024- 03- 26","23,800","24,600","25,000","22,450","9.29M","-2.06%"
"2024- 03- 25","24,300","20,500","24,600","20,300","13.88M","21.93%"
"2024- 03- 22","19,930","19,090","20,100","18,840","9.80M","-5.99%"
"2024- 03- 21","21,200","18,830","21,900","18,830","10.86M","12.59%"
"2024- 03- 20","18,830","19,170","19,240","18,570","1.64M","-2.64%"
"2024- 03- 19","19,340","19,200","19,450","18,770","1.55M","0.99%"
"2024- 03- 18","19,150","19,530","20,250","18,500","4.39M","-1.49%"
"2024- 03- 17","19,440","19,530","19,620","19,290","441.56K","0.78%"
"2024- 03- 15","19,290","19,700","19,870","19,000","3.71M","0.00%"
"2024- 03- 14","19,290","19,270","20,300","18,820","0.00K","2.39%"
"2024- 03- 13","18,840","16,080","20,500","16,080","0.19K","16.44%"
"2024- 03- 12","16,180","16,290","16,400","15,830","2.13M","-0.37%"
"2024- 03- 11","16,240","15,990","16,410","15,400","1.41K","5.73%"
"2024- 03- 10","15,360","15,360","15,360","15,360","","0.00%"
"2024- 03- 08","15,360","14,230","15,890","14,010","5.85M","8.25%"
