"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,847","1,834","1,847","1,818","105.94K","1.15%"
"2024- 05- 07","1,826","1,832","1,866","1,819","70.08K","-0.33%"
"2024- 05- 03","1,832","1,831","1,844","1,826","42.63K","0.05%"
"2024- 05- 02","1,831","1,825","1,833","1,815","52.82K","0.44%"
"2024- 04- 30","1,823","1,823","1,842","1,820","50.47K","0.05%"
"2024- 04- 29","1,822","1,798","1,825","1,793","47.24K","1.28%"
"2024- 04- 26","1,799","1,800","1,800","1,778","23.58K","1.01%"
"2024- 04- 25","1,781","1,814","1,814","1,777","77.35K","-1.49%"
"2024- 04- 24","1,808","1,788","1,817","1,787","69.60K","1.12%"
"2024- 04- 23","1,788","1,803","1,803","1,779","66.29K","0.51%"
"2024- 04- 22","1,779","1,773","1,812","1,773","47.21K","0.17%"
"2024- 04- 19","1,776","1,798","1,820","1,760","105.90K","-2.15%"
"2024- 04- 18","1,815","1,705","1,880","1,705","415.64K","5.52%"
"2024- 04- 17","1,720","1,730","1,772","1,716","111.86K","-1.15%"
"2024- 04- 16","1,740","1,794","1,794","1,731","174.74K","-3.28%"
"2024- 04- 15","1,799","1,859","1,859","1,786","196.90K","-3.23%"
"2024- 04- 12","1,859","1,872","1,881","1,858","65.07K","-0.69%"
"2024- 04- 11","1,872","1,889","1,889","1,868","55.72K","-1.06%"
"2024- 04- 09","1,892","1,892","1,920","1,881","105.93K","0.05%"
"2024- 04- 08","1,891","1,961","1,965","1,861","246.52K","-3.47%"
"2024- 04- 05","1,959","1,984","1,992","1,959","176.86K","-1.26%"
"2024- 04- 04","1,984","1,998","2,005","1,982","189.12K","-0.70%"
"2024- 04- 03","1,998","1,999","2,035","1,986","288.10K","-0.05%"
"2024- 04- 02","1,999","2,025","2,040","1,992","216.95K","-2.01%"
"2024- 04- 01","2,040","1,996","2,060","1,996","144.86K","1.75%"
"2024- 03- 29","2,005","2,090","2,090","2,000","340.43K","-4.07%"
"2024- 03- 28","2,090","2,090","2,120","2,080","219.05K","0.24%"
"2024- 03- 27","2,085","2,125","2,125","2,080","146.34K","-1.42%"
"2024- 03- 26","2,115","2,145","2,160","2,100","152.78K","-1.40%"
"2024- 03- 25","2,145","2,120","2,195","2,080","386.71K","2.14%"
"2024- 03- 22","2,100","2,075","2,160","2,030","459.33K","1.45%"
"2024- 03- 21","2,070","2,080","2,120","2,000","440.70K","-2.59%"
"2024- 03- 20","2,125","1,998","2,145","1,993","945.08K","6.41%"
"2024- 03- 19","1,997","2,015","2,030","1,987","188.11K","-0.89%"
"2024- 03- 18","2,015","2,020","2,040","1,998","115.24K","0.00%"
"2024- 03- 15","2,015","2,020","2,030","1,999","15.17K","0.25%"
"2024- 03- 14","2,010","2,030","2,040","2,000","114.40K","-0.50%"
"2024- 03- 13","2,020","2,045","2,055","2,000","117.07K","-1.46%"
"2024- 03- 12","2,050","2,055","2,070","2,025","104.74K","-0.73%"
"2024- 03- 11","2,065","2,030","2,075","2,020","10.00K","1.72%"
"2024- 03- 10","2,030","2,030","2,030","2,030","","0.00%"
