"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","66,700","67,700","68,000","66,500","256.51K","-1.48%"
"2024- 04- 29","67,700","66,700","68,300","66,700","233.14K","1.50%"
"2024- 04- 26","66,700","66,600","67,500","66,600","198.78K","0.15%"
"2024- 04- 25","66,600","67,500","68,000","66,300","230.72K","-2.20%"
"2024- 04- 24","68,100","67,900","68,500","67,500","243.48K","-0.15%"
"2024- 04- 23","68,200","67,700","69,000","66,800","483.34K","1.04%"
"2024- 04- 22","67,500","65,500","68,700","65,800","745.77K","3.69%"
"2024- 04- 19","65,100","64,000","65,500","63,200","398.71K","0.93%"
"2024- 04- 18","64,500","63,100","64,700","62,900","235.03K","3.04%"
"2024- 04- 17","62,600","63,600","63,900","62,600","279.89K","-1.26%"
"2024- 04- 16","63,400","63,600","65,000","62,800","426.92K","-1.71%"
"2024- 04- 15","64,500","63,900","64,700","63,700","233.21K","-0.62%"
"2024- 04- 12","64,900","65,700","66,800","64,100","375.11K","-1.07%"
"2024- 04- 11","65,600","64,800","66,200","64,500","381.59K","-1.50%"
"2024- 04- 09","66,600","67,100","68,000","66,500","278.26K","-0.89%"
"2024- 04- 08","67,200","68,400","68,400","67,200","298.11K","-1.90%"
"2024- 04- 05","68,500","67,900","68,800","67,700","355.44K","0.29%"
"2024- 04- 04","68,300","70,700","70,800","68,200","886.54K","-4.21%"
"2024- 04- 03","71,300","69,600","72,000","69,600","647.62K","1.57%"
"2024- 04- 02","70,200","70,600","71,000","69,500","447.30K","-1.40%"
"2024- 04- 01","71,200","73,200","73,200","70,900","402.52K","-1.25%"
"2024- 03- 29","72,100","71,500","73,000","70,100","489.12K","1.55%"
"2024- 03- 28","71,000","72,500","73,000","70,700","597.77K","-2.07%"
"2024- 03- 27","72,500","71,200","74,900","71,000","1.49M","2.40%"
"2024- 03- 26","70,800","68,900","71,800","67,900","960.61K","3.36%"
"2024- 03- 25","68,500","67,500","69,000","67,300","338.49K","1.48%"
