"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","75,600","76,000","76,700","74,200","1.73M","-1.31%"
"2024- 04- 29","76,600","74,100","78,000","74,000","1.74M","0.79%"
"2024- 04- 26","76,000","73,000","76,900","72,000","2.38M","9.67%"
"2024- 04- 25","69,300","68,300","70,600","68,200","706.52K","0.58%"
"2024- 04- 24","68,900","69,900","71,600","68,700","995.60K","-1.85%"
"2024- 04- 23","70,200","70,500","73,200","69,800","2.25M","1.01%"
"2024- 04- 22","69,500","65,700","70,200","65,700","1.57M","9.11%"
"2024- 04- 19","63,700","63,300","63,900","62,000","972.89K","-0.47%"
"2024- 04- 18","64,000","63,500","64,800","63,100","1.29M","1.43%"
"2024- 04- 17","63,100","64,400","65,100","63,000","973.07K","-2.02%"
"2024- 04- 16","64,400","65,300","65,600","63,600","1.39M","-2.72%"
"2024- 04- 15","66,200","66,200","66,900","64,200","1.29M","-0.15%"
"2024- 04- 12","66,300","67,400","67,400","65,400","1.76M","-2.93%"
"2024- 04- 11","68,300","64,500","69,200","64,500","2.65M","-1.16%"
"2024- 04- 09","69,100","70,700","70,700","69,000","716.13K","-0.29%"
"2024- 04- 08","69,300","68,900","70,700","68,700","813.26K","0.29%"
"2024- 04- 05","69,100","68,400","70,000","68,400","848.37K","-0.58%"
"2024- 04- 04","69,500","68,100","70,600","67,700","1.01M","3.27%"
"2024- 04- 03","67,300","68,900","69,300","67,300","1.46M","-2.32%"
"2024- 04- 02","68,900","67,500","70,000","67,100","1.33M","0.73%"
"2024- 04- 01","68,400","69,100","70,000","68,000","721.04K","-1.58%"
"2024- 03- 29","69,500","71,300","71,800","69,500","1.00M","-1.14%"
"2024- 03- 28","70,300","70,000","70,900","69,500","1.60M","1.88%"
"2024- 03- 27","69,000","71,700","72,000","68,700","2.10M","-3.90%"
"2024- 03- 26","71,800","72,300","74,400","71,800","1.71M","-0.28%"
"2024- 03- 25","72,000","74,200","75,100","71,000","2.05M","-3.87%"
"2024- 03- 22","74,900","75,000","76,000","74,300","1.24M","-1.58%"
"2024- 03- 21","76,100","73,600","76,800","73,600","1.78M","3.12%"
