"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","34,600","34,500","34,850","34,500","549.22K","0.00%"
"2024- 04- 29","34,600","34,800","34,950","34,500","433.18K","0.29%"
"2024- 04- 26","34,500","34,200","34,600","33,850","474.93K","1.17%"
"2024- 04- 25","34,100","34,250","34,400","33,950","459.67K","-1.59%"
"2024- 04- 24","34,650","34,950","35,200","34,500","486.83K","0.29%"
"2024- 04- 23","34,550","34,350","34,850","34,200","475.86K","0.73%"
"2024- 04- 22","34,300","33,850","34,650","33,750","695.16K","3.00%"
"2024- 04- 19","33,300","33,350","33,650","33,000","699.89K","-1.04%"
"2024- 04- 18","33,650","34,000","34,200","33,350","590.07K","0.15%"
"2024- 04- 17","33,600","34,300","34,550","33,400","641.49K","-1.90%"
"2024- 04- 16","34,250","34,400","34,900","34,000","663.74K","-0.58%"
"2024- 04- 15","34,450","34,300","34,600","34,050","459.15K","-0.43%"
"2024- 04- 12","34,600","35,050","35,450","34,300","911.53K","-2.26%"
"2024- 04- 11","35,400","35,100","35,750","34,550","1.06M","-2.75%"
"2024- 04- 09","36,400","36,950","37,100","36,300","272.25K","-1.22%"
"2024- 04- 08","36,850","36,150","37,050","35,700","517.08K","1.94%"
"2024- 04- 05","36,150","36,000","36,550","35,900","450.52K","-0.55%"
"2024- 04- 04","36,350","36,400","36,650","36,200","408.19K","0.83%"
"2024- 04- 03","36,050","36,950","37,000","36,000","667.45K","-2.57%"
"2024- 04- 02","37,000","37,300","37,550","36,900","703.57K","-1.86%"
"2024- 04- 01","37,700","38,150","38,150","37,600","225.52K","0.00%"
"2024- 03- 29","37,700","38,300","38,450","37,700","277.72K","-0.66%"
"2024- 03- 28","37,950","38,400","38,650","37,950","443.34K","-1.81%"
"2024- 03- 27","38,650","38,150","38,850","38,150","327.78K","-0.39%"
"2024- 03- 26","38,800","38,250","39,100","38,000","514.62K","2.51%"
"2024- 03- 25","37,850","38,750","38,750","37,850","491.82K","-2.32%"
"2024- 03- 22","38,750","38,450","39,400","38,450","568.05K","1.04%"
"2024- 03- 21","38,350","37,750","38,650","37,600","643.52K","2.82%"
"2024- 03- 20","37,300","37,600","37,750","37,150","338.90K","-0.13%"
"2024- 03- 19","37,350","37,650","37,900","37,300","462.07K","-1.71%"
"2024- 03- 18","38,000","38,650","38,700","37,900","300.59K","-0.65%"
"2024- 03- 15","38,250","38,350","38,600","37,850","721.75K","-0.78%"
"2024- 03- 14","38,550","38,450","38,900","38,250","0.01K","1.45%"
"2024- 03- 13","38,000","38,150","38,300","37,800","407.40K","0.13%"
"2024- 03- 12","37,950","38,600","38,750","37,650","558.74K","-0.78%"
"2024- 03- 11","38,250","38,500","38,700","38,200","433.77K","-1.29%"
"2024- 03- 10","38,750","38,750","38,750","38,750","","0.00%"
"2024- 03- 08","38,750","39,050","39,500","38,600","564.88K","-0.77%"
"2024- 03- 07","39,050","38,900","39,200","38,700","0.05K","0.13%"
"2024- 03- 06","39,000","38,800","39,350","38,650","468.44K","0.26%"
"2024- 03- 05","38,900","38,600","39,450","38,550","0.01K","0.78%"
"2024- 03- 04","38,600","39,250","39,750","38,600","0.00K","-1.28%"
"2024- 03- 03","39,100","39,100","39,100","39,100","","0.00%"
"2024- 02- 29","39,100","38,200","39,100","38,200","871.44K","1.82%"
"2024- 02- 28","38,400","38,000","38,650","37,250","0.01K","0.79%"
"2024- 02- 27","38,100","38,750","39,100","37,650","0.00K","-1.55%"
"2024- 02- 26","38,700","39,750","39,800","38,500","590.16K","-1.78%"
"2024- 02- 25","39,400","39,400","39,400","39,400","","0.00%"
"2024- 02- 23","39,400","40,000","40,350","39,300","557.62K","-1.25%"
"2024- 02- 22","39,900","39,700","40,200","39,150","0.00K","1.01%"
"2024- 02- 21","39,500","41,000","41,000","39,000","0.13K","-4.70%"
"2024- 02- 20","41,450","42,150","42,150","41,100","0.53K","-1.78%"
"2024- 02- 19","42,200","39,700","42,400","39,700","0.46K","6.97%"
"2024- 02- 18","39,450","39,450","39,450","39,450","","0.00%"
"2024- 02- 16","39,450","38,750","39,450","38,500","1.04M","2.60%"
"2024- 02- 15","38,450","38,250","38,500","38,050","0.00K","1.59%"
"2024- 02- 14","37,850","37,900","38,300","37,650","0.03K","-1.30%"
"2024- 02- 13","38,350","37,900","38,700","37,800","0.64K","1.86%"
"2024- 02- 12","37,650","37,650","37,650","37,650","","0.00%"
"2024- 02- 08","37,650","38,150","38,200","37,000","1.20M","-1.31%"
"2024- 02- 07","38,150","38,300","38,850","38,050","1.05K","0.79%"
"2024- 02- 06","37,850","37,650","38,200","37,550","903.58K","-0.39%"
"2024- 02- 05","38,000","38,200","38,400","37,300","0.16K","-1.43%"
"2024- 02- 04","38,550","38,550","38,550","38,550","","0.00%"
"2024- 02- 02","38,550","37,800","39,100","37,350","2.43M","4.47%"
"2024- 02- 01","36,900","35,100","37,000","35,100","0.18K","4.24%"
"2024- 01- 31","35,400","35,100","35,400","34,950","0.02K","0.85%"
"2024- 01- 30","35,100","35,000","35,250","34,850","0.02K","1.01%"
"2024- 01- 29","34,750","35,050","35,200","34,750","0.02K","-0.14%"
"2024- 01- 26","34,800","34,300","35,100","34,200","716.42K","1.75%"
"2024- 01- 25","34,200","33,550","34,500","33,500","530.64K","1.48%"
"2024- 01- 24","33,700","33,600","33,700","33,250","444.83K","0.15%"
"2024- 01- 23","33,650","33,800","33,800","33,300","342.96K","-0.15%"
"2024- 01- 22","33,700","33,850","33,850","33,500","278.78K","-0.15%"
"2024- 01- 21","33,750","33,750","33,750","33,750","","0.00%"
"2024- 01- 19","33,750","33,950","33,950","33,600","352.08K","-0.15%"
"2024- 01- 18","33,800","33,400","33,800","33,200","484.16K","1.50%"
"2024- 01- 17","33,300","33,300","33,400","32,950","362.14K","0.45%"
"2024- 01- 16","33,150","33,450","33,550","33,000","342.34K","-1.19%"
"2024- 01- 15","33,550","33,600","33,650","33,400","266.04K","0.00%"
"2024- 01- 12","33,550","33,500","33,750","33,300","262.12K","0.30%"
"2024- 01- 11","33,450","33,650","33,850","33,450","0.02K","-0.74%"
"2024- 01- 10","33,700","33,700","33,700","33,450","271.20K","0.00%"
"2024- 01- 09","33,700","33,850","33,950","33,500","0.01K","0.15%"
"2024- 01- 08","33,650","33,500","33,850","33,300","368.10K","0.45%"
"2024- 01- 05","33,500","33,250","33,550","33,250","329.94K","-0.15%"
"2024- 01- 04","33,550","33,700","33,900","33,300","0.00K","-0.15%"
"2024- 01- 03","33,600","33,950","34,250","33,500","0.03K","-1.61%"
"2024- 01- 02","34,150","34,400","34,400","33,800","1.27K","-0.73%"
