"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","4,725","4,705","4,780","4,700","12.93K","-0.74%"
"2024- 04- 29","4,760","4,780","4,810","4,730","20.04K","-1.55%"
"2024- 04- 26","4,835","4,750","4,835","4,710","31.95K","1.79%"
"2024- 04- 25","4,750","4,755","4,755","4,710","10.07K","0.32%"
"2024- 04- 24","4,735","4,700","4,760","4,655","12.08K","1.83%"
"2024- 04- 23","4,650","4,665","4,785","4,635","9.40K","0.22%"
"2024- 04- 22","4,640","4,660","4,755","4,605","17.37K","-0.11%"
"2024- 04- 19","4,645","4,705","4,705","4,635","11.89K","-1.80%"
"2024- 04- 18","4,730","4,650","4,745","4,640","8.28K","0.75%"
"2024- 04- 17","4,695","4,665","4,700","4,650","5.31K","-0.11%"
"2024- 04- 16","4,700","4,655","4,745","4,645","17.05K","-0.63%"
"2024- 04- 15","4,730","4,675","4,750","4,675","10.99K","0.11%"
"2024- 04- 12","4,725","4,720","4,760","4,650","19.92K","0.53%"
"2024- 04- 11","4,700","4,760","4,790","4,670","9.37K","-1.26%"
"2024- 04- 09","4,760","4,700","4,770","4,695","11.67K","0.42%"
"2024- 04- 08","4,740","4,720","4,755","4,700","10.49K","-0.32%"
"2024- 04- 05","4,755","4,800","4,800","4,700","13.38K","-0.73%"
"2024- 04- 04","4,790","4,770","4,815","4,705","32.42K","-0.52%"
"2024- 04- 03","4,815","4,820","4,820","4,735","18.06K","0.00%"
"2024- 04- 02","4,815","4,840","4,875","4,770","29.21K","-0.52%"
"2024- 04- 01","4,840","4,870","4,920","4,755","61.23K","-0.41%"
"2024- 03- 29","4,860","4,810","4,900","4,785","69.20K","1.04%"
"2024- 03- 28","4,810","4,785","5,010","4,730","93.51K","0.52%"
"2024- 03- 27","4,785","4,735","4,785","4,665","24.15K","1.06%"
"2024- 03- 26","4,735","4,705","4,785","4,695","22.16K","0.64%"
"2024- 03- 25","4,705","4,715","4,730","4,635","51.06K","0.11%"
"2024- 03- 22","4,700","4,700","4,750","4,680","30.74K","-1.05%"
"2024- 03- 21","4,750","4,800","4,830","4,665","79.56K","-0.73%"
"2024- 03- 20","4,785","4,780","4,850","4,750","13.00K","0.10%"
"2024- 03- 19","4,780","4,775","4,840","4,735","33.72K","-1.44%"
"2024- 03- 18","4,850","4,900","4,980","4,810","25.76K","-1.02%"
"2024- 03- 15","4,900","4,900","4,910","4,855","0.00K","0.31%"
"2024- 03- 14","4,885","4,890","4,975","4,840","16.65K","-0.10%"
"2024- 03- 13","4,890","4,900","4,910","4,865","5.45K","-0.41%"
"2024- 03- 12","4,910","4,930","4,930","4,850","12.84K","-0.30%"
"2024- 03- 11","4,925","4,930","4,990","4,850","8.64K","0.61%"
