"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","10,540","10,510","10,650","10,510","884.40K","-0.66%"
"2024- 04- 29","10,610","10,350","10,620","10,350","1.62M","2.81%"
"2024- 04- 26","10,320","10,280","10,380","10,110","882.72K","0.39%"
"2024- 04- 25","10,280","10,140","10,490","10,070","1.17M","0.39%"
"2024- 04- 24","10,240","10,220","10,310","10,100","968.41K","1.09%"
"2024- 04- 23","10,130","10,080","10,230","10,060","573.25K","0.00%"
"2024- 04- 22","10,130","10,020","10,160","9,940","654.89K","2.01%"
"2024- 04- 19","9,930","9,990","10,070","9,820","961.08K","-1.19%"
"2024- 04- 18","10,050","9,900","10,150","9,830","1.17M","2.34%"
"2024- 04- 17","9,820","9,800","9,930","9,770","1.05M","0.72%"
"2024- 04- 16","9,750","9,950","9,980","9,650","2.01M","-2.50%"
"2024- 04- 15","10,000","9,990","10,100","9,980","1.20M","-0.20%"
"2024- 04- 12","10,020","10,070","10,190","10,020","1.11M","-0.40%"
"2024- 04- 11","10,060","10,300","10,310","10,010","3.18M","-2.42%"
"2024- 04- 09","10,310","10,400","10,540","10,310","1.12M","-0.48%"
"2024- 04- 08","10,360","10,270","10,400","10,140","1.03M","0.97%"
"2024- 04- 05","10,260","10,300","10,350","10,170","1.25M","-1.82%"
"2024- 04- 04","10,450","10,300","10,520","10,290","1.32M","2.15%"
"2024- 04- 03","10,230","10,500","10,540","10,150","2.17M","-3.03%"
"2024- 04- 02","10,550","10,730","10,860","10,520","1.77M","-2.59%"
"2024- 04- 01","10,830","10,780","10,870","10,700","1.09M","0.74%"
"2024- 03- 29","10,750","10,640","10,840","10,590","1.59M","1.61%"
"2024- 03- 28","10,580","10,600","10,740","10,560","1.31M","-0.47%"
"2024- 03- 27","10,630","10,770","10,840","10,470","3.09M","-1.94%"
"2024- 03- 26","10,840","10,790","10,970","10,750","1.57M","0.37%"
"2024- 03- 25","10,800","10,750","10,840","10,690","900.49K","0.47%"
"2024- 03- 22","10,750","11,000","11,040","10,680","3.97M","-4.10%"
"2024- 03- 21","11,210","11,070","11,290","11,060","1.12M","1.91%"
"2024- 03- 20","11,000","10,950","11,010","10,900","599.74K","0.55%"
"2024- 03- 19","10,940","10,980","10,990","10,860","727.55K","-0.73%"
