"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","222,000","218,000","225,000","217,000","404.66K","3.26%"
"2024- 04- 29","215,000","215,000","216,500","211,500","106.18K","0.70%"
"2024- 04- 26","213,500","213,000","215,000","210,500","144.23K","0.47%"
"2024- 04- 25","212,500","207,000","215,500","205,000","412.57K","1.67%"
"2024- 04- 24","209,000","188,900","210,000","188,900","512.60K","11.65%"
"2024- 04- 23","187,200","184,700","189,100","184,500","79.72K","1.46%"
"2024- 04- 22","184,500","182,500","185,000","182,300","67.61K","1.77%"
"2024- 04- 19","181,300","184,700","186,400","179,500","133.46K","-2.84%"
"2024- 04- 18","186,600","184,000","187,700","184,000","110.77K","1.36%"
"2024- 04- 17","184,100","188,700","190,500","184,100","132.38K","-2.44%"
"2024- 04- 16","188,700","193,000","194,000","188,300","170.01K","-4.07%"
"2024- 04- 15","196,700","200,000","201,500","196,300","110.01K","-2.62%"
"2024- 04- 12","202,000","199,400","204,000","196,100","191.53K","3.27%"
"2024- 04- 11","195,600","194,200","197,700","191,000","144.16K","-1.26%"
"2024- 04- 09","198,100","205,000","207,000","197,600","148.02K","-3.37%"
"2024- 04- 08","205,000","199,700","206,500","195,900","182.05K","3.85%"
"2024- 04- 05","197,400","195,700","199,500","192,700","112.38K","-0.55%"
"2024- 04- 04","198,500","201,000","202,500","196,200","125.93K","0.10%"
"2024- 04- 03","198,300","202,500","202,500","198,200","118.46K","-3.03%"
"2024- 04- 02","204,500","205,000","207,500","203,000","114.83K","-0.73%"
"2024- 04- 01","206,000","198,800","207,500","198,700","243.93K","4.73%"
"2024- 03- 29","196,700","197,900","198,300","194,200","87.31K","-0.41%"
"2024- 03- 28","197,500","196,000","198,800","194,900","146.81K","1.39%"
"2024- 03- 27","194,800","191,000","194,800","190,700","91.34K","1.67%"
"2024- 03- 26","191,600","192,200","195,300","191,500","131.32K","0.16%"
"2024- 03- 25","191,300","192,700","195,500","190,800","116.03K","-0.57%"
"2024- 03- 22","192,400","190,800","193,500","189,900","135.47K","-0.77%"
"2024- 03- 21","193,900","193,800","194,300","191,400","141.52K","0.83%"
"2024- 03- 20","192,300","191,200","193,100","189,800","138.82K","1.37%"
"2024- 03- 19","189,700","190,900","191,400","188,400","119.45K","-0.32%"
"2024- 03- 18","190,300","189,800","190,500","188,300","67.89K","1.06%"
"2024- 03- 17","188,300","188,300","188,300","188,300","","0.00%"
"2024- 03- 15","188,300","192,400","193,600","188,300","0.03K","-1.88%"
"2024- 03- 14","191,900","194,400","194,600","191,500","0.07K","-1.54%"
"2024- 03- 13","194,900","197,600","198,300","194,900","0.05K","-0.81%"
"2024- 03- 12","196,500","195,100","196,900","191,000","128.65K","0.82%"
"2024- 03- 11","194,900","188,700","196,000","188,200","0.02K","3.23%"
"2024- 03- 10","188,800","188,800","188,800","188,800","","0.00%"
"2024- 03- 08","188,800","189,200","190,300","188,100","177.80K","-0.16%"
"2024- 03- 07","189,100","187,600","189,300","186,700","0.03K","1.39%"
"2024- 03- 06","186,500","201,500","202,500","186,500","0.35K","-8.80%"
"2024- 03- 05","204,500","203,000","209,000","203,000","0.03K","-0.24%"
"2024- 03- 04","205,000","204,500","205,500","202,000","0.04K","1.49%"
"2024- 02- 29","202,000","203,500","204,000","200,000","122.43K","-1.46%"
"2024- 02- 28","205,000","201,500","205,500","201,000","0.23K","0.74%"
"2024- 02- 27","203,500","206,500","207,000","202,000","0.00K","-1.45%"
"2024- 02- 26","206,500","209,000","209,500","205,000","0.03K","-0.48%"
"2024- 02- 25","207,500","207,500","207,500","207,500","","0.00%"
"2024- 02- 23","207,500","210,000","210,000","204,500","117.76K","-0.24%"
"2024- 02- 22","208,000","204,500","209,500","202,000","199.75K","2.97%"
"2024- 02- 21","202,000","199,000","206,000","198,800","0.01K","2.38%"
"2024- 02- 20","197,300","196,100","199,300","195,500","0.10K","0.97%"
"2024- 02- 19","195,400","195,000","196,000","194,100","0.02K","0.10%"
"2024- 02- 18","195,200","195,200","195,200","195,200","","0.00%"
"2024- 02- 16","195,200","195,000","196,400","194,000","110.02K","0.67%"
"2024- 02- 15","193,900","199,100","199,100","193,700","0.01K","-1.82%"
"2024- 02- 14","197,500","197,900","197,900","194,900","0.00K","-1.74%"
"2024- 02- 13","201,000","201,500","202,500","200,000","92.99K","0.55%"
"2024- 02- 12","199,900","199,900","199,900","199,900","","0.00%"
"2024- 02- 08","199,900","202,500","203,500","199,900","113.13K","-0.30%"
"2024- 02- 07","200,500","199,500","203,000","199,300","87.62K","1.31%"
"2024- 02- 06","197,900","197,600","199,900","196,800","86.77K","0.46%"
"2024- 02- 05","197,000","200,000","200,500","195,800","0.06K","-1.25%"
"2024- 02- 04","199,500","199,500","199,500","199,500","","0.00%"
"2024- 02- 02","199,500","192,600","200,000","192,200","150.53K","3.42%"
"2024- 02- 01","192,900","190,400","193,500","189,100","0.23K","0.99%"
"2024- 01- 31","191,000","197,300","199,300","190,400","0.00K","-3.92%"
"2024- 01- 30","198,800","198,800","201,000","198,100","147.92K","0.15%"
"2024- 01- 29","198,500","200,000","200,500","198,100","0.02K","-0.75%"
"2024- 01- 28","200,000","200,000","200,000","200,000","","0.00%"
"2024- 01- 26","200,000","205,500","205,500","198,100","322.34K","-3.38%"
"2024- 01- 25","207,000","213,000","213,000","205,500","0.23K","-3.04%"
"2024- 01- 24","213,500","215,500","216,000","212,000","70.51K","-0.47%"
"2024- 01- 23","214,500","215,500","218,000","212,000","0.16K","0.70%"
"2024- 01- 22","213,000","221,000","221,500","213,000","91.16K","-1.84%"
"2024- 01- 19","217,000","206,000","217,500","206,000","188.63K","7.69%"
"2024- 01- 18","201,500","204,500","207,000","200,000","132.93K","-1.47%"
"2024- 01- 17","204,500","216,000","217,000","204,000","0.02K","-5.54%"
"2024- 01- 16","216,500","219,000","221,000","216,500","0.01K","-1.59%"
"2024- 01- 15","220,000","221,000","223,000","218,000","67.63K","-0.23%"
"2024- 01- 14","220,500","220,500","220,500","220,500","","0.00%"
"2024- 01- 12","220,500","225,500","225,500","219,500","95.16K","-2.22%"
"2024- 01- 11","225,500","226,000","227,000","223,000","0.01K","0.22%"
"2024- 01- 10","225,000","227,500","227,500","224,500","62.35K","-0.44%"
"2024- 01- 09","226,000","226,500","228,500","226,000","0.04K","1.35%"
"2024- 01- 08","223,000","224,500","227,000","222,500","67.68K","-0.67%"
"2024- 01- 07","224,500","224,500","224,500","224,500","","0.00%"
"2024- 01- 05","224,500","228,000","229,000","224,000","118.64K","-1.97%"
"2024- 01- 04","229,000","227,000","230,000","224,000","0.00K","0.88%"
"2024- 01- 03","227,000","235,000","235,500","227,000","0.01K","-5.61%"
"2024- 01- 02","240,500","239,500","241,500","236,000","0.11K","0.42%"
