"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","92,900","93,200","93,500","92,400","588.90K","0.11%"
"2024- 04- 29","92,800","91,200","92,800","91,200","570.93K","2.20%"
"2024- 04- 26","90,800","91,000","91,200","90,500","705.61K","0.22%"
"2024- 04- 25","90,600","91,900","92,600","90,500","786.87K","-1.74%"
"2024- 04- 24","92,200","93,300","93,400","92,200","484.64K","-0.65%"
"2024- 04- 23","92,800","92,100","92,900","91,800","336.91K","0.87%"
"2024- 04- 22","92,000","92,400","92,400","91,200","346.19K","0.88%"
"2024- 04- 19","91,200","91,800","92,500","90,300","453.40K","-1.51%"
"2024- 04- 18","92,600","91,400","93,200","91,100","328.28K","1.76%"
"2024- 04- 17","91,000","91,700","92,700","91,000","394.15K","-0.87%"
"2024- 04- 16","91,800","92,000","92,500","90,600","647.68K","-0.76%"
"2024- 04- 15","92,500","92,800","93,300","92,400","418.65K","-1.07%"
"2024- 04- 12","93,500","96,100","96,100","93,400","906.49K","-3.01%"
"2024- 04- 11","96,400","95,200","96,400","94,200","576.59K","0.21%"
"2024- 04- 09","96,200","95,300","97,300","95,100","570.60K","1.80%"
"2024- 04- 08","94,500","96,600","96,600","94,200","441.06K","-1.46%"
"2024- 04- 05","95,900","94,200","97,600","93,900","600.58K","1.70%"
"2024- 04- 04","94,300","94,900","95,300","94,000","286.56K","0.43%"
"2024- 04- 03","93,900","96,400","96,500","93,900","713.78K","-2.69%"
"2024- 04- 02","96,500","96,500","97,400","96,100","485.78K","0.00%"
"2024- 04- 01","96,500","95,500","96,700","95,500","312.71K","1.47%"
"2024- 03- 29","95,100","97,200","97,400","95,100","629.00K","-1.76%"
"2024- 03- 28","96,800","97,100","97,400","96,500","465.10K","-0.21%"
"2024- 03- 27","97,000","96,700","97,500","96,500","392.84K","0.21%"
"2024- 03- 26","96,800","99,500","100,700","96,700","1.14M","-2.12%"
"2024- 03- 25","98,900","99,500","100,200","98,600","294.76K","-0.50%"
"2024- 03- 22","99,400","98,400","100,200","98,200","572.65K","0.20%"
"2024- 03- 21","99,200","97,000","99,200","96,300","778.11K","3.33%"
"2024- 03- 20","96,000","96,800","97,400","95,800","303.02K","-0.21%"
"2024- 03- 19","96,200","96,000","96,700","94,900","390.91K","0.10%"
"2024- 03- 18","96,100","99,500","99,500","96,000","558.36K","-2.83%"
"2024- 03- 17","98,900","98,900","98,900","98,900","","0.00%"
"2024- 03- 15","98,900","99,100","99,400","98,000","614.97K","-0.40%"
"2024- 03- 14","99,300","98,100","99,300","97,800","0.22K","1.74%"
"2024- 03- 13","97,600","98,700","98,900","97,200","0.09K","-0.20%"
"2024- 03- 12","97,800","96,500","98,800","96,100","901.83K","2.41%"
"2024- 03- 11","95,500","96,000","96,900","94,900","0.00K","-0.10%"
"2024- 03- 10","95,600","95,600","95,600","95,600","","0.00%"
"2024- 03- 08","95,600","95,600","96,000","94,800","382.66K","0.74%"
"2024- 03- 07","94,900","94,700","95,300","93,900","335.60K","0.21%"
"2024- 03- 06","94,700","93,300","95,400","93,200","436.81K","1.39%"
"2024- 03- 05","93,400","93,300","94,500","92,900","0.60K","-0.53%"
"2024- 03- 04","93,900","95,200","95,600","93,800","0.21K","-1.05%"
"2024- 03- 03","94,900","94,900","94,900","94,900","","0.00%"
"2024- 02- 29","94,900","95,800","96,200","94,700","599.97K","-0.42%"
"2024- 02- 28","95,300","96,100","96,300","94,000","0.10K","-0.83%"
"2024- 02- 27","96,100","98,600","98,700","95,700","1.15K","-2.14%"
"2024- 02- 26","98,200","100,400","101,400","98,200","582.73K","0.31%"
"2024- 02- 25","97,900","97,900","97,900","97,900","","0.00%"
"2024- 02- 23","97,900","98,600","99,200","97,900","294.87K","0.10%"
"2024- 02- 22","97,800","98,200","98,400","97,600","0.00K","0.20%"
"2024- 02- 21","97,600","97,800","99,200","97,600","298.76K","-0.20%"
"2024- 02- 20","97,800","100,100","100,100","97,500","0.02K","-2.00%"
"2024- 02- 19","99,800","99,500","100,400","99,400","0.50K","0.50%"
"2024- 02- 18","99,300","99,300","99,300","99,300","","0.00%"
"2024- 02- 16","99,300","98,900","99,500","97,700","475.72K","1.43%"
"2024- 02- 15","97,900","100,100","100,200","97,800","0.00K","-1.11%"
"2024- 02- 14","99,000","98,300","100,500","97,600","504.56K","-0.40%"
"2024- 02- 13","99,400","99,000","100,500","98,700","0.01K","1.22%"
"2024- 02- 12","98,200","98,200","98,200","98,200","","0.00%"
"2024- 02- 08","98,200","99,500","99,800","98,000","600.88K","-0.71%"
"2024- 02- 07","98,900","97,300","99,300","96,800","0.00K","2.38%"
"2024- 02- 06","96,600","96,800","97,700","96,600","417.83K","-0.51%"
"2024- 02- 05","97,100","97,800","98,000","95,500","0.13K","-0.21%"
"2024- 02- 02","97,300","95,600","97,900","95,400","933.20K","2.31%"
"2024- 02- 01","95,100","92,600","95,600","92,500","646.33K","1.71%"
"2024- 01- 31","93,500","94,300","94,300","91,200","0.50K","-1.06%"
"2024- 01- 30","94,500","95,000","95,700","94,500","0.14K","0.21%"
"2024- 01- 29","94,300","93,600","95,400","93,600","0.15K","0.86%"
"2024- 01- 28","93,500","93,500","93,500","93,500","","0.00%"
"2024- 01- 26","93,500","94,000","94,100","92,700","355.95K","-0.53%"
"2024- 01- 25","94,000","93,900","94,300","92,700","274.48K","0.11%"
"2024- 01- 24","93,900","94,300","95,200","93,200","444.12K","0.11%"
"2024- 01- 23","93,800","91,900","94,900","91,200","0.14K","2.85%"
"2024- 01- 22","91,200","92,900","92,900","90,800","496.77K","-0.65%"
"2024- 01- 21","91,800","91,800","91,800","91,800","","0.00%"
"2024- 01- 19","91,800","92,200","92,400","90,900","434.24K","0.66%"
"2024- 01- 18","91,200","91,100","92,400","91,100","488.11K","-0.11%"
"2024- 01- 17","91,300","94,100","94,100","90,700","0.24K","-3.49%"
"2024- 01- 16","94,600","95,300","95,300","93,700","0.01K","-0.53%"
"2024- 01- 15","95,100","95,300","95,600","94,900","285.34K","0.42%"
"2024- 01- 14","94,700","94,700","94,700","94,700","","0.00%"
"2024- 01- 12","94,700","95,000","95,800","94,300","580.53K","-0.32%"
"2024- 01- 11","95,000","97,500","97,500","95,000","1.23M","-2.26%"
"2024- 01- 10","97,200","98,200","98,900","97,000","0.01K","-0.82%"
"2024- 01- 09","98,000","100,200","100,700","98,000","0.09K","-1.11%"
"2024- 01- 08","99,100","97,300","100,300","97,000","0.13K","2.06%"
"2024- 01- 07","97,100","97,100","97,100","97,100","","0.00%"
"2024- 01- 05","97,100","97,600","97,800","96,800","468.90K","-0.72%"
"2024- 01- 04","97,800","98,400","98,700","97,200","0.21K","-1.71%"
"2024- 01- 03","99,500","100,400","101,000","99,400","0.01K","-1.87%"
"2024- 01- 02","101,400","101,500","101,800","100,500","405.46K","-0.39%"
