"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","184,400","184,600","187,500","183,800","617.69K","-0.16%"
"2024- 04- 29","184,700","182,200","184,800","181,600","508.40K","1.76%"
"2024- 04- 26","181,500","184,100","184,500","181,500","415.98K","-0.66%"
"2024- 04- 25","182,700","181,500","184,600","180,200","436.42K","-0.54%"
"2024- 04- 24","183,700","181,400","184,400","181,300","588.83K","2.00%"
"2024- 04- 23","180,100","181,400","182,400","180,000","455.29K","-0.44%"
"2024- 04- 22","180,900","185,200","185,300","180,300","489.11K","-0.82%"
"2024- 04- 19","182,400","179,900","183,800","179,100","755.61K","0.94%"
"2024- 04- 18","180,700","180,000","181,500","179,800","595.92K","0.61%"
"2024- 04- 17","179,600","180,800","181,600","179,600","402.48K","0.06%"
"2024- 04- 16","179,500","181,600","181,700","179,500","791.67K","-1.81%"
"2024- 04- 15","182,800","183,800","184,600","182,600","622.37K","-1.67%"
"2024- 04- 12","185,900","184,700","189,300","184,600","831.74K","1.25%"
"2024- 04- 11","183,600","186,100","188,300","183,100","1.15M","-2.86%"
"2024- 04- 09","189,000","189,100","190,500","186,600","454.12K","-0.47%"
"2024- 04- 08","189,900","193,100","193,200","188,500","612.07K","-1.66%"
"2024- 04- 05","193,100","192,100","193,800","190,000","480.27K","-0.62%"
"2024- 04- 04","194,300","195,900","196,000","194,100","677.48K","0.47%"
"2024- 04- 03","193,400","191,000","197,300","190,600","1.10M","0.73%"
"2024- 04- 02","192,000","192,500","193,100","190,500","914.63K","-1.18%"
"2024- 04- 01","194,300","188,000","194,500","188,000","1.39M","3.68%"
"2024- 03- 29","187,400","187,300","188,900","185,100","627.75K","0.16%"
"2024- 03- 28","187,100","190,000","190,200","187,100","657.85K","-1.16%"
"2024- 03- 27","189,300","188,900","191,200","188,400","587.38K","0.21%"
"2024- 03- 26","188,900","188,000","191,000","187,300","740.50K","0.48%"
"2024- 03- 25","188,000","187,300","189,400","185,400","650.93K","-0.48%"
"2024- 03- 22","188,900","184,600","190,800","184,600","1.27M","2.44%"
"2024- 03- 21","184,400","184,700","187,800","184,400","1.04M","0.71%"
"2024- 03- 20","183,100","183,000","184,400","182,600","558.72K","0.27%"
"2024- 03- 19","182,600","183,200","183,800","182,100","721.71K","-0.81%"
"2024- 03- 18","184,100","186,200","186,500","183,200","1.05M","-1.07%"
"2024- 03- 17","186,100","186,100","186,100","186,100","0.12K","0.00%"
"2024- 03- 15","186,100","186,100","188,500","186,000","1.01M","-0.37%"
"2024- 03- 14","186,800","188,800","189,400","186,800","0.15K","-0.85%"
"2024- 03- 13","188,400","191,100","191,200","188,300","0.15K","-1.10%"
"2024- 03- 12","190,500","190,700","191,200","188,400","701.35K","0.32%"
"2024- 03- 11","189,900","188,900","190,800","188,200","0.02K","1.01%"
"2024- 03- 10","188,000","188,000","188,000","188,000","","0.00%"
"2024- 03- 08","188,000","190,000","190,700","188,000","744.34K","-0.53%"
"2024- 03- 07","189,000","191,200","191,500","188,200","750.05K","-0.42%"
"2024- 03- 06","189,800","189,000","192,700","189,000","0.00K","0.58%"
"2024- 03- 05","188,700","192,500","192,700","188,700","0.33K","-1.72%"
"2024- 03- 04","192,000","194,500","197,400","192,000","0.39K","-1.54%"
"2024- 03- 03","195,000","195,000","195,000","195,000","","0.00%"
"2024- 02- 29","195,000","200,000","200,500","195,000","2.01M","-4.41%"
"2024- 02- 28","204,000","200,500","204,000","199,700","0.03K","2.00%"
"2024- 02- 27","200,000","199,900","200,500","198,700","0.00K","0.05%"
"2024- 02- 26","199,900","200,500","201,500","199,600","0.23K","-0.30%"
"2024- 02- 25","200,500","200,500","200,500","200,500","","0.00%"
"2024- 02- 23","200,500","202,500","203,000","200,000","684.18K","-0.74%"
"2024- 02- 22","202,000","204,000","204,000","200,500","0.06K","-0.25%"
"2024- 02- 21","202,500","202,000","203,500","201,000","0.03K","0.00%"
"2024- 02- 20","202,500","203,500","205,500","202,000","0.04K","-0.49%"
"2024- 02- 19","203,500","206,500","206,500","203,000","0.00K","-0.73%"
"2024- 02- 18","205,000","205,000","205,000","205,000","","0.00%"
"2024- 02- 16","205,000","205,500","209,000","204,000","830.39K","0.74%"
"2024- 02- 15","203,500","205,000","209,500","203,500","0.02K","0.49%"
"2024- 02- 14","202,500","201,000","203,500","199,500","0.03K","-1.22%"
"2024- 02- 13","205,000","207,000","208,000","204,500","0.13K","-0.49%"
"2024- 02- 12","206,000","206,000","206,000","206,000","","0.00%"
"2024- 02- 08","206,000","206,500","208,000","205,000","626.15K","0.73%"
"2024- 02- 07","204,500","208,000","209,500","204,000","0.40K","-0.49%"
"2024- 02- 06","205,500","208,000","209,000","203,500","891.70K","-1.20%"
"2024- 02- 05","208,000","220,000","221,000","208,000","0.13K","-6.09%"
"2024- 02- 04","221,500","221,500","221,500","221,500","","0.00%"
"2024- 02- 02","221,500","209,500","221,500","208,000","1.82M","9.38%"
"2024- 02- 01","202,500","199,400","202,500","198,900","0.00K","1.00%"
"2024- 01- 31","200,500","208,500","209,500","200,000","1.12K","-4.30%"
"2024- 01- 30","209,500","213,500","214,500","208,000","0.09K","-1.18%"
"2024- 01- 29","212,000","216,500","218,000","211,500","0.04K","-2.08%"
"2024- 01- 28","216,500","216,500","216,500","216,500","","0.00%"
"2024- 01- 26","216,500","211,500","218,500","211,500","405.16K","1.41%"
"2024- 01- 25","213,500","217,000","217,000","212,500","0.13K","-2.06%"
"2024- 01- 24","218,000","219,000","219,500","215,500","378.77K","0.00%"
"2024- 01- 23","218,000","218,000","219,500","215,500","384.74K","0.46%"
"2024- 01- 22","217,000","219,000","222,500","217,000","514.38K","0.70%"
"2024- 01- 21","215,500","215,500","215,500","215,500","","0.00%"
"2024- 01- 19","215,500","219,000","221,500","213,500","899.01K","-0.46%"
"2024- 01- 18","216,500","217,500","219,500","215,000","0.01K","-1.14%"
"2024- 01- 17","219,000","228,500","230,500","218,500","0.68K","-4.78%"
"2024- 01- 16","230,000","227,000","235,500","227,000","0.04K","0.22%"
"2024- 01- 15","229,500","230,000","230,500","223,500","534.59K","-0.43%"
"2024- 01- 14","230,500","230,500","230,500","230,500","","0.00%"
"2024- 01- 12","230,500","232,000","232,500","228,000","513.34K","-0.43%"
"2024- 01- 11","231,500","230,500","234,500","229,500","0.44K","0.22%"
"2024- 01- 10","231,000","229,500","233,500","227,000","0.00K","0.65%"
"2024- 01- 09","229,500","230,000","233,000","228,500","0.08K","1.32%"
"2024- 01- 08","226,500","222,000","231,500","222,000","0.00K","2.72%"
"2024- 01- 07","220,500","220,500","220,500","220,500","","0.00%"
"2024- 01- 05","220,500","222,500","224,000","219,500","385.77K","-1.12%"
"2024- 01- 04","223,000","221,000","225,500","221,000","0.15K","0.45%"
"2024- 01- 03","222,000","223,500","224,000","220,000","0.07K","-2.42%"
"2024- 01- 02","227,500","224,000","229,000","221,500","0.49K","1.56%"
