"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","12,490","12,310","12,490","12,290","767.75K","0.73%"
"2024- 04- 29","12,400","12,320","12,400","12,270","549.59K","0.65%"
"2024- 04- 26","12,320","11,990","12,390","11,880","1.32M","3.44%"
"2024- 04- 25","11,910","11,610","11,970","11,600","766.90K","1.62%"
"2024- 04- 24","11,720","11,770","11,810","11,550","550.74K","0.43%"
"2024- 04- 23","11,670","11,610","11,820","11,510","654.65K","0.43%"
"2024- 04- 22","11,620","11,320","11,630","11,210","684.83K","4.12%"
"2024- 04- 19","11,160","11,140","11,390","11,100","522.95K","-1.59%"
"2024- 04- 18","11,340","11,140","11,390","11,020","656.74K","3.18%"
"2024- 04- 17","10,990","10,960","11,130","10,910","350.11K","0.00%"
"2024- 04- 16","10,990","11,010","11,200","10,920","367.84K","-1.17%"
"2024- 04- 15","11,120","10,940","11,130","10,800","492.59K","0.72%"
"2024- 04- 12","11,040","11,210","11,210","10,970","445.42K","-1.52%"
"2024- 04- 11","11,210","11,220","11,300","11,000","966.70K","-1.92%"
"2024- 04- 09","11,430","11,700","11,730","11,430","240.21K","-1.80%"
"2024- 04- 08","11,640","11,620","11,930","11,560","862.86K","0.26%"
"2024- 04- 05","11,610","11,410","11,750","11,410","587.60K","0.61%"
"2024- 04- 04","11,540","11,600","11,640","11,480","494.58K","0.70%"
"2024- 04- 03","11,460","11,450","11,590","11,440","811.08K","-0.78%"
"2024- 04- 02","11,550","11,220","11,640","11,150","1.29M","2.39%"
"2024- 04- 01","11,280","11,780","11,780","11,190","1.76M","-3.59%"
"2024- 03- 29","11,700","11,790","11,880","11,680","745.63K","-0.76%"
"2024- 03- 28","11,790","11,740","11,920","11,560","1.81M","-4.53%"
"2024- 03- 27","12,350","12,650","12,680","12,350","1.37M","-3.14%"
"2024- 03- 26","12,750","12,830","12,840","12,700","911.27K","-0.31%"
"2024- 03- 25","12,790","12,930","12,940","12,630","923.87K","-1.08%"
"2024- 03- 22","12,930","12,820","13,080","12,820","1.24M","0.47%"
"2024- 03- 21","12,870","12,900","12,920","12,750","1.18M","0.55%"
