"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","44,850","45,050","45,050","44,400","13.73K","-0.33%"
"2024- 05- 07","45,000","44,600","45,050","44,400","12.75K","0.45%"
"2024- 05- 03","44,800","45,250","45,250","44,500","14.61K","-0.99%"
"2024- 05- 02","45,250","45,300","45,600","45,200","12.92K","-0.55%"
"2024- 04- 30","45,500","45,400","45,500","45,000","11.82K","0.22%"
"2024- 04- 29","45,400","44,750","45,400","44,750","28.02K","1.00%"
"2024- 04- 26","44,950","45,200","45,250","44,750","11.09K","-0.11%"
"2024- 04- 25","45,000","44,900","45,350","44,700","19.14K","0.22%"
"2024- 04- 24","44,900","44,500","45,000","44,400","14.75K","1.13%"
"2024- 04- 23","44,400","44,200","44,600","43,900","14.63K","0.45%"
"2024- 04- 22","44,200","43,250","44,500","42,850","17.92K","3.15%"
"2024- 04- 19","42,850","42,650","43,200","41,950","19.88K","0.47%"
"2024- 04- 18","42,650","42,300","43,000","42,200","20.67K","1.07%"
"2024- 04- 17","42,200","41,900","42,500","41,700","17.65K","0.48%"
"2024- 04- 16","42,000","43,950","43,950","41,700","41.02K","-4.55%"
"2024- 04- 15","44,000","43,600","44,200","43,100","22.62K","0.00%"
"2024- 04- 12","44,000","45,100","45,200","43,850","38.23K","-2.00%"
"2024- 04- 11","44,900","44,500","45,200","43,650","35.58K","0.11%"
"2024- 04- 09","44,850","45,150","45,750","44,700","21.36K","-1.43%"
"2024- 04- 08","45,500","47,000","47,000","45,150","36.85K","-2.57%"
"2024- 04- 05","46,700","45,600","46,850","45,400","63.21K","2.41%"
"2024- 04- 04","45,600","44,750","45,850","44,650","33.43K","1.90%"
"2024- 04- 03","44,750","45,500","45,500","44,650","35.60K","-1.32%"
"2024- 04- 02","45,350","43,800","45,500","43,750","78.63K","3.19%"
"2024- 04- 01","43,950","43,900","44,350","43,700","17.19K","-0.57%"
"2024- 03- 29","44,200","44,650","45,000","43,800","23.26K","-1.23%"
"2024- 03- 28","44,750","44,750","45,100","44,500","17.44K","0.00%"
"2024- 03- 27","44,750","44,100","45,150","43,850","31.41K","1.59%"
"2024- 03- 26","44,050","43,550","44,250","43,550","16.26K","1.15%"
"2024- 03- 25","43,550","44,550","44,600","43,350","23.50K","-2.24%"
"2024- 03- 22","44,550","44,300","44,750","44,050","16.23K","0.56%"
"2024- 03- 21","44,300","43,950","44,600","43,700","21.95K","0.91%"
"2024- 03- 20","43,900","44,050","44,600","43,800","18.09K","-0.34%"
"2024- 03- 19","44,050","44,050","44,550","44,000","16.52K","0.00%"
"2024- 03- 18","44,050","44,250","44,750","43,750","17.02K","-0.23%"
"2024- 03- 15","44,150","45,450","45,750","44,150","32.89K","-2.32%"
"2024- 03- 14","45,200","44,300","45,600","44,100","37.24K","3.20%"
"2024- 03- 13","43,800","43,250","44,150","42,950","29.07K","1.39%"
"2024- 03- 12","43,200","44,350","44,350","43,100","32.09K","-2.04%"
"2024- 03- 11","44,100","44,300","44,600","43,900","16.00K","-0.45%"
"2024- 03- 08","44,300","44,900","45,250","44,250","26.48K","-1.34%"
"2024- 03- 07","44,900","45,150","45,350","44,550","36.33K","0.11%"
"2024- 03- 06","44,850","44,400","45,350","43,900","0.01K","3.94%"
"2024- 03- 05","43,150","43,300","44,100","42,950","25.42K","-0.92%"
"2024- 03- 04","43,550","43,750","43,950","43,050","41.54K","-0.34%"
"2024- 02- 29","43,700","44,700","45,500","43,350","48.74K","-2.02%"
"2024- 02- 28","44,600","45,050","45,250","44,150","33.31K","-0.89%"
"2024- 02- 27","45,000","45,150","46,150","44,600","51.92K","-0.44%"
"2024- 02- 26","45,200","47,100","47,100","44,800","73.00K","-5.24%"
"2024- 02- 23","47,700","47,250","47,750","46,750","54.62K","0.85%"
"2024- 02- 22","47,300","46,700","47,500","46,600","0.01K","0.64%"
"2024- 02- 21","47,000","46,150","47,250","46,100","41.47K","0.11%"
"2024- 02- 20","46,950","47,250","47,600","46,300","0.00K","-0.95%"
"2024- 02- 19","47,400","43,700","47,450","43,550","198.76K","8.47%"
"2024- 02- 16","43,700","43,350","43,700","42,750","25.71K","1.16%"
"2024- 02- 15","43,200","44,000","44,350","42,650","45.45K","-1.93%"
"2024- 02- 14","44,050","44,000","44,600","43,950","0.01K","-1.56%"
"2024- 02- 13","44,750","44,850","45,250","44,350","0.00K","0.11%"
"2024- 02- 08","44,700","45,000","45,500","44,250","61.45K","-0.45%"
"2024- 02- 07","44,900","43,650","45,250","43,400","0.01K","4.54%"
"2024- 02- 06","42,950","43,550","43,950","42,800","51.10K","-1.38%"
"2024- 02- 05","43,550","42,300","43,750","41,550","119.06K","3.44%"
"2024- 02- 04","42,100","42,100","42,100","42,100","","0.00%"
"2024- 02- 02","42,100","41,400","42,300","40,700","111.32K","2.43%"
"2024- 02- 01","41,100","39,200","41,150","38,950","127.33K","5.66%"
"2024- 01- 31","38,900","38,450","39,050","38,450","25.53K","1.17%"
"2024- 01- 30","38,450","38,550","39,100","38,300","28.43K","0.52%"
"2024- 01- 29","38,250","37,200","38,250","36,750","24.26K","3.52%"
"2024- 01- 26","36,950","36,650","37,300","36,650","12.44K","0.68%"
"2024- 01- 25","36,700","36,700","37,100","36,400","10.77K","-0.41%"
