"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","58,600","58,300","59,200","58,300","56.04K","-0.34%"
"2024- 04- 29","58,800","57,900","58,800","57,400","65.81K","2.44%"
"2024- 04- 26","57,400","57,500","57,600","57,100","44.11K","-0.17%"
"2024- 04- 25","57,500","57,900","58,200","57,500","43.75K","-1.37%"
"2024- 04- 24","58,300","58,800","59,000","58,300","38.21K","0.00%"
"2024- 04- 23","58,300","58,200","58,800","58,200","43.85K","-0.34%"
"2024- 04- 22","58,500","58,300","58,900","58,000","41.07K","1.92%"
"2024- 04- 19","57,400","57,600","58,700","56,900","71.62K","-1.37%"
"2024- 04- 18","58,200","57,200","58,900","56,900","66.35K","2.65%"
"2024- 04- 17","56,700","57,000","57,500","56,700","58.53K","-0.53%"
"2024- 04- 16","57,000","58,000","58,300","57,000","111.76K","-2.90%"
"2024- 04- 15","58,700","59,200","59,800","58,700","75.90K","-2.33%"
"2024- 04- 12","60,100","59,500","60,200","59,100","56.53K","0.67%"
"2024- 04- 11","59,700","59,300","59,700","58,800","76.53K","-0.33%"
"2024- 04- 09","59,900","59,700","60,700","59,600","48.21K","-0.33%"
"2024- 04- 08","60,100","59,700","60,600","58,800","71.25K","0.67%"
"2024- 04- 05","59,700","59,400","59,900","58,900","57.03K","0.51%"
"2024- 04- 04","59,400","59,900","60,000","59,400","61.67K","-0.17%"
"2024- 04- 03","59,500","60,500","60,600","59,500","116.33K","-1.65%"
"2024- 04- 02","60,500","61,900","62,100","60,500","124.18K","-2.10%"
"2024- 04- 01","61,800","61,700","62,200","61,300","70.51K","0.82%"
"2024- 03- 29","61,300","61,600","61,900","61,100","59.08K","-0.65%"
"2024- 03- 28","61,700","61,600","62,600","61,500","59.15K","-0.48%"
"2024- 03- 27","62,000","62,900","62,900","61,900","68.48K","-1.43%"
"2024- 03- 26","62,900","63,000","63,100","62,200","66.57K","0.64%"
"2024- 03- 25","62,500","63,000","63,000","62,100","60.06K","-0.79%"
"2024- 03- 22","63,000","62,700","63,100","62,200","101.05K","0.48%"
"2024- 03- 21","62,700","61,900","62,800","61,600","117.48K","1.79%"
"2024- 03- 20","61,600","60,800","62,000","60,400","100.86K","1.99%"
"2024- 03- 19","60,400","61,000","61,100","60,200","74.34K","-1.31%"
"2024- 03- 18","61,200","60,800","61,400","60,600","61.60K","1.16%"
"2024- 03- 17","60,500","60,500","60,500","60,500","","0.00%"
"2024- 03- 15","60,500","61,200","61,300","60,500","104.96K","-1.31%"
"2024- 03- 14","61,300","61,400","61,600","60,900","100.15K","0.00%"
"2024- 03- 13","61,300","62,600","62,700","61,200","96.90K","-1.92%"
"2024- 03- 12","62,500","62,300","62,900","61,400","87.38K","1.13%"
"2024- 03- 11","61,800","62,500","62,900","61,700","66.65K","-1.12%"
"2024- 03- 10","62,500","62,500","62,500","62,500","","0.00%"
"2024- 03- 08","62,500","62,000","62,500","61,300","125.95K","1.79%"
"2024- 03- 07","61,400","60,600","61,700","60,600","70.91K","1.32%"
"2024- 03- 06","60,600","60,500","61,300","60,400","62.17K","-0.98%"
"2024- 03- 05","61,200","60,300","61,400","60,200","80.64K","0.66%"
"2024- 03- 04","60,800","61,400","61,900","60,600","92.40K","-0.98%"
"2024- 03- 03","61,400","61,400","61,400","61,400","","0.00%"
"2024- 02- 29","61,400","61,800","62,400","60,800","142.34K","-1.60%"
"2024- 02- 28","62,400","63,100","63,500","62,400","98.80K","-1.11%"
"2024- 02- 27","63,100","64,400","64,500","63,100","81.75K","-1.56%"
"2024- 02- 26","64,100","64,300","64,600","63,900","52.73K","0.31%"
"2024- 02- 23","63,900","64,800","65,300","63,900","88.72K","-0.31%"
"2024- 02- 22","64,100","65,400","65,700","63,800","99.14K","-1.38%"
"2024- 02- 21","65,000","65,000","65,600","64,600","73.74K","0.00%"
"2024- 02- 20","65,000","64,600","65,000","64,200","51.35K","0.31%"
"2024- 02- 19","64,800","64,600","65,200","64,400","57.16K","0.00%"
"2024- 02- 18","64,800","64,800","64,800","64,800","","0.00%"
"2024- 02- 16","64,800","64,800","65,000","64,200","56.61K","1.09%"
"2024- 02- 15","64,100","65,300","65,300","64,100","47.40K","-0.93%"
"2024- 02- 14","64,700","64,600","64,900","63,800","58.33K","-0.77%"
"2024- 02- 13","65,200","65,500","65,500","64,500","65.90K","0.46%"
"2024- 02- 12","64,900","64,900","64,900","64,900","","0.00%"
"2024- 02- 08","64,900","64,900","65,300","64,300","76.30K","0.15%"
"2024- 02- 07","64,800","64,400","65,400","63,900","81.18K","1.89%"
"2024- 02- 06","63,600","63,400","65,000","63,300","55.64K","-0.47%"
"2024- 02- 05","63,900","64,100","64,600","62,900","100.58K","-1.24%"
"2024- 02- 02","64,700","64,100","65,000","63,300","78.58K","0.94%"
"2024- 02- 01","64,100","62,900","64,600","62,700","80.02K","0.94%"
"2024- 01- 31","63,500","64,200","64,900","63,500","55.17K","-1.70%"
"2024- 01- 30","64,600","65,000","65,500","64,600","60.67K","0.00%"
"2024- 01- 29","64,600","64,200","65,500","63,800","90.12K","1.73%"
"2024- 01- 26","63,500","63,100","64,500","63,100","73.75K","-0.16%"
"2024- 01- 25","63,600","63,400","63,700","62,900","41.19K","0.32%"
"2024- 01- 24","63,400","64,000","64,300","63,300","38.43K","-0.63%"
"2024- 01- 23","63,800","63,000","64,100","62,900","66.06K","1.59%"
"2024- 01- 22","62,800","63,200","63,600","62,600","70.73K","-0.32%"
"2024- 01- 19","63,000","63,000","63,700","62,500","69.77K","0.80%"
"2024- 01- 18","62,500","63,200","63,900","62,500","79.50K","-1.42%"
"2024- 01- 17","63,400","65,800","66,300","63,400","126.86K","-3.65%"
"2024- 01- 16","65,800","65,400","66,900","65,400","58.72K","0.00%"
"2024- 01- 15","65,800","66,600","67,000","65,500","90.22K","-1.50%"
"2024- 01- 14","66,800","66,800","66,800","66,800","","0.00%"
"2024- 01- 12","66,800","68,200","68,700","66,700","95.93K","-2.05%"
"2024- 01- 11","68,200","68,500","68,800","67,500","85.11K","0.15%"
"2024- 01- 10","68,100","68,700","68,700","67,600","56.90K","-0.15%"
"2024- 01- 09","68,200","68,500","69,400","68,000","64.19K","0.44%"
"2024- 01- 08","67,900","68,900","69,800","67,600","103.82K","-1.45%"
"2024- 01- 07","68,900","68,900","68,900","68,900","","0.00%"
"2024- 01- 05","68,900","69,500","70,800","68,700","106.17K","-1.57%"
"2024- 01- 04","70,000","72,600","72,700","69,800","165.41K","-3.98%"
"2024- 01- 03","72,900","73,300","73,700","72,100","127.44K","-0.55%"
"2024- 01- 02","73,300","71,700","73,700","71,500","219.42K","1.81%"
