"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","87,600","85,200","90,500","85,200","174.45K","1.98%"
"2024- 04- 29","85,900","84,000","86,000","83,800","91.45K","2.87%"
"2024- 04- 26","83,500","83,700","83,800","82,600","37.14K","0.24%"
"2024- 04- 25","83,300","84,100","85,000","83,000","80.08K","-2.00%"
"2024- 04- 24","85,000","85,200","85,300","83,900","58.07K","1.19%"
"2024- 04- 23","84,000","84,200","86,100","83,700","65.64K","-0.24%"
"2024- 04- 22","84,200","84,700","85,400","83,200","70.47K","1.81%"
"2024- 04- 19","82,700","83,200","84,400","81,000","93.59K","-2.01%"
"2024- 04- 18","84,400","81,500","85,600","81,000","90.61K","4.58%"
"2024- 04- 17","80,700","81,600","82,500","80,700","84.45K","-1.10%"
"2024- 04- 16","81,600","82,800","83,400","81,100","114.68K","-2.39%"
"2024- 04- 15","83,600","85,500","86,000","82,900","139.97K","-3.58%"
"2024- 04- 12","86,700","87,600","87,900","86,200","77.42K","-1.37%"
"2024- 04- 11","87,900","87,600","88,400","85,700","132.60K","-0.57%"
"2024- 04- 09","88,400","89,000","89,700","87,600","65.14K","-0.79%"
"2024- 04- 08","89,100","88,400","89,300","86,700","90.37K","0.79%"
"2024- 04- 05","88,400","88,700","89,500","87,800","69.11K","-1.23%"
"2024- 04- 04","89,500","89,100","92,200","88,900","121.57K","1.47%"
"2024- 04- 03","88,200","89,100","89,900","87,800","132.79K","-1.89%"
"2024- 04- 02","89,900","91,500","92,000","89,500","114.55K","-2.28%"
"2024- 04- 01","92,000","93,000","93,300","91,600","69.42K","0.33%"
"2024- 03- 29","91,700","93,200","93,400","91,400","110.71K","-0.86%"
"2024- 03- 28","92,500","93,800","94,800","92,400","99.89K","-2.32%"
"2024- 03- 27","94,700","93,300","95,600","92,000","119.68K","0.74%"
"2024- 03- 26","94,000","96,600","98,700","93,500","191.84K","-1.78%"
"2024- 03- 25","95,700","95,300","96,300","94,600","95.80K","1.16%"
"2024- 03- 22","94,600","95,400","95,800","94,500","70.91K","-1.46%"
"2024- 03- 21","96,000","94,200","96,400","94,100","146.48K","2.78%"
"2024- 03- 20","93,400","94,300","94,800","92,300","83.67K","0.00%"
"2024- 03- 19","93,400","93,900","94,700","92,700","81.55K","-1.06%"
"2024- 03- 18","94,400","94,000","95,500","93,500","87.70K","0.53%"
"2024- 03- 15","93,900","95,700","96,100","93,300","120.62K","-2.19%"
"2024- 03- 14","96,000","93,600","96,300","92,400","214.08K","3.11%"
"2024- 03- 13","93,100","95,100","95,500","92,000","114.89K","-1.69%"
"2024- 03- 12","94,700","95,000","96,400","93,500","97.68K","-0.42%"
"2024- 03- 11","95,100","94,100","96,700","94,100","147.00K","1.28%"
"2024- 03- 10","93,900","93,900","93,900","93,900","","0.00%"
"2024- 03- 08","93,900","91,000","93,900","90,500","121.41K","3.76%"
"2024- 03- 07","90,500","92,600","92,700","90,000","61.59K","-1.31%"
"2024- 03- 06","91,700","90,200","92,500","90,000","95.81K","0.77%"
"2024- 03- 05","91,000","91,500","93,300","90,900","98.34K","-1.09%"
"2024- 03- 04","92,000","96,800","96,800","91,700","195.93K","-5.06%"
"2024- 02- 29","96,900","93,200","97,900","92,200","827.30K","2.98%"
"2024- 02- 28","94,100","93,900","94,500","91,700","119.14K","0.32%"
"2024- 02- 27","93,800","93,300","94,500","91,800","142.83K","0.75%"
"2024- 02- 26","93,100","93,600","95,200","93,000","180.46K","0.54%"
"2024- 02- 23","92,600","90,900","94,000","90,900","212.28K","1.87%"
"2024- 02- 22","90,900","90,900","93,300","90,000","181.65K","0.78%"
"2024- 02- 21","90,200","89,000","90,900","88,200","140.63K","1.35%"
"2024- 02- 20","89,000","86,200","89,600","86,100","222.03K","2.89%"
"2024- 02- 19","86,500","86,000","86,700","85,000","98.55K","1.29%"
"2024- 02- 18","85,400","85,400","85,400","85,400","","0.00%"
"2024- 02- 16","85,400","86,500","87,200","84,700","125.11K","0.00%"
"2024- 02- 15","85,400","87,200","87,400","85,100","59.17K","-0.93%"
"2024- 02- 14","86,200","85,700","86,400","84,700","72.49K","-0.69%"
"2024- 02- 13","86,800","86,300","87,100","85,400","120.51K","1.64%"
"2024- 02- 12","85,400","85,400","85,400","85,400","","0.00%"
"2024- 02- 08","85,400","85,400","86,700","84,700","167.17K","0.23%"
"2024- 02- 07","85,200","89,700","89,800","84,400","307.44K","-4.16%"
"2024- 02- 06","88,900","89,300","90,800","88,500","111.05K","-1.44%"
"2024- 02- 05","90,200","91,500","92,000","89,300","113.34K","-2.38%"
"2024- 02- 04","92,400","92,400","92,400","92,400","","0.00%"
"2024- 02- 02","92,400","89,400","92,700","89,400","99.57K","2.67%"
"2024- 02- 01","90,000","92,100","92,300","88,500","180.66K","-3.23%"
"2024- 01- 31","93,000","91,600","93,900","91,000","151.43K","1.20%"
"2024- 01- 30","91,900","94,800","94,900","91,400","176.04K","-2.13%"
"2024- 01- 29","93,900","88,900","94,900","88,900","290.81K","6.70%"
"2024- 01- 28","88,000","88,000","88,000","88,000","","0.00%"
"2024- 01- 26","88,000","88,600","89,000","87,600","131.51K","-1.46%"
"2024- 01- 25","89,300","90,400","90,400","89,000","71.32K","-0.78%"
"2024- 01- 24","90,000","91,600","91,700","89,800","56.88K","-1.75%"
