"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","76,500","78,300","79,100","76,000","396.80K","-2.92%"
"2024- 04- 29","78,800","81,500","82,500","78,300","242.07K","-2.23%"
"2024- 04- 26","80,600","78,900","81,600","78,300","241.15K","3.60%"
"2024- 04- 25","77,800","82,700","85,500","77,400","833.07K","-9.01%"
"2024- 04- 24","85,500","83,400","86,500","82,600","516.97K","3.51%"
"2024- 04- 23","82,600","80,100","82,900","79,700","472.75K","3.64%"
"2024- 04- 22","79,700","77,100","81,500","75,600","515.18K","4.73%"
"2024- 04- 19","76,100","82,000","83,400","74,900","731.39K","-9.08%"
"2024- 04- 18","83,700","78,800","83,900","78,300","482.47K","6.22%"
"2024- 04- 17","78,800","80,100","81,100","78,700","380.11K","-1.50%"
"2024- 04- 16","80,000","79,300","82,000","78,900","863.28K","0.25%"
"2024- 04- 15","79,800","77,700","79,900","76,200","487.51K","2.44%"
"2024- 04- 12","77,900","72,700","79,300","72,300","642.16K","6.57%"
"2024- 04- 11","73,100","71,800","74,000","70,700","487.92K","-1.35%"
"2024- 04- 09","74,100","74,400","75,000","72,800","309.08K","0.27%"
"2024- 04- 08","73,900","74,800","76,300","73,700","319.50K","-2.12%"
"2024- 04- 05","75,500","75,700","77,100","73,100","391.58K","-3.21%"
"2024- 04- 04","78,000","77,900","78,200","75,900","402.93K","1.96%"
"2024- 04- 03","76,500","75,200","77,700","74,400","354.22K","-0.91%"
"2024- 04- 02","77,200","75,100","77,600","71,500","568.33K","2.25%"
"2024- 04- 01","75,500","79,900","81,600","75,100","409.41K","-4.43%"
"2024- 03- 29","79,000","78,700","79,600","77,900","193.13K","0.51%"
"2024- 03- 28","78,600","78,600","79,900","77,900","406.66K","-0.88%"
"2024- 03- 27","79,300","77,900","80,100","77,700","399.46K","0.76%"
"2024- 03- 26","78,700","77,300","79,800","76,200","481.98K","2.61%"
"2024- 03- 25","76,700","79,300","79,300","75,400","416.70K","-4.13%"
"2024- 03- 22","80,000","77,000","81,000","77,000","1.07M","3.90%"
"2024- 03- 21","77,000","70,900","77,000","70,300","894.36K","10.95%"
"2024- 03- 20","69,400","69,700","70,800","68,600","329.75K","1.02%"
"2024- 03- 19","68,700","68,200","70,000","68,200","271.29K","-0.43%"
"2024- 03- 18","69,000","69,000","69,900","68,300","264.29K","0.58%"
"2024- 03- 17","68,600","68,600","68,600","68,600","","0.00%"
"2024- 03- 15","68,600","69,100","69,400","66,200","635.77K","-1.01%"
"2024- 03- 14","69,300","71,000","71,400","68,300","622.69K","-1.42%"
"2024- 03- 13","70,300","72,600","72,700","70,000","274.13K","-2.23%"
"2024- 03- 12","71,900","73,400","73,700","70,700","434.65K","-1.10%"
"2024- 03- 11","72,700","72,100","74,700","72,000","421.49K","-3.07%"
"2024- 03- 10","75,000","75,000","75,000","75,000","","0.00%"
"2024- 03- 08","75,000","73,100","75,300","73,000","785.54K","3.73%"
"2024- 03- 07","72,300","71,800","72,700","70,700","419.33K","1.26%"
"2024- 03- 06","71,400","70,500","72,400","69,600","358.85K","0.99%"
"2024- 03- 05","70,700","69,900","71,500","69,500","389.36K","0.71%"
"2024- 03- 04","70,200","70,500","71,000","69,100","559.75K","0.43%"
"2024- 03- 03","69,900","69,900","69,900","69,900","","0.00%"
"2024- 02- 29","69,900","68,600","70,000","66,500","815.69K","2.79%"
"2024- 02- 28","68,000","65,900","69,100","65,300","620.65K","4.13%"
"2024- 02- 27","65,300","68,500","68,500","64,200","645.20K","-2.97%"
"2024- 02- 26","67,300","69,200","70,000","66,000","825.33K","-2.89%"
"2024- 02- 25","69,300","69,300","69,300","69,300","","0.00%"
"2024- 02- 23","69,300","72,600","73,800","68,800","525.32K","-4.94%"
"2024- 02- 22","72,900","70,400","72,900","69,900","958.36K","5.19%"
"2024- 02- 21","69,300","69,000","70,200","66,800","457.16K","0.87%"
"2024- 02- 20","68,700","69,400","70,500","67,700","906.24K","-1.29%"
"2024- 02- 19","69,600","67,000","69,600","66,300","1.04M","6.26%"
"2024- 02- 18","65,500","65,500","65,500","65,500","","0.00%"
"2024- 02- 16","65,500","63,500","65,500","62,400","617.04K","4.97%"
"2024- 02- 15","62,400","64,000","64,100","60,900","599.82K","-1.58%"
"2024- 02- 14","63,400","64,300","65,700","62,500","537.66K","-3.50%"
"2024- 02- 13","65,700","64,700","66,300","62,400","675.06K","0.77%"
"2024- 02- 12","65,200","65,200","65,200","65,200","","0.00%"
"2024- 02- 08","65,200","65,400","66,700","63,600","853.32K","-1.51%"
"2024- 02- 07","66,200","64,000","66,900","63,000","1.68M","6.09%"
"2024- 02- 06","62,400","59,300","63,600","59,300","1.54M","5.23%"
"2024- 02- 05","59,300","59,600","61,000","58,600","1.09M","-0.34%"
"2024- 02- 04","59,500","59,500","59,500","59,500","","0.00%"
"2024- 02- 02","59,500","54,500","59,900","54,000","2.35M","11.01%"
"2024- 02- 01","53,600","52,000","54,000","51,500","948.86K","3.28%"
"2024- 01- 31","51,900","51,500","52,400","51,000","384.23K","0.78%"
"2024- 01- 30","51,500","50,500","52,000","50,500","229.45K","1.78%"
"2024- 01- 29","50,600","50,600","51,500","49,950","210.79K","0.60%"
"2024- 01- 26","50,300","49,000","50,500","48,750","107.77K","0.90%"
"2024- 01- 25","49,850","50,100","50,300","49,150","153.08K","-0.50%"
