"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","603","606","606","601","206.48K","-0.17%"
"2024- 04- 29","604","599","605","599","481.23K","0.83%"
"2024- 04- 26","599","597","600","592","405.16K","0.34%"
"2024- 04- 25","597","597","598","592","476.76K","-0.17%"
"2024- 04- 24","598","597","601","596","449.49K","0.34%"
"2024- 04- 23","596","596","602","595","498.52K","0.00%"
"2024- 04- 22","596","595","600","592","564.97K","0.68%"
"2024- 04- 19","592","591","595","587","755.74K","-0.34%"
"2024- 04- 18","594","590","606","589","929.61K","1.02%"
"2024- 04- 17","588","588","596","588","677.66K","-0.51%"
"2024- 04- 16","591","595","597","591","1.05M","-1.17%"
"2024- 04- 15","598","598","599","595","532.24K","-0.33%"
"2024- 04- 12","600","601","602","598","556.78K","-0.17%"
"2024- 04- 11","601","599","603","598","726.80K","0.00%"
"2024- 04- 09","601","601","607","601","744.16K","-0.33%"
"2024- 04- 08","603","602","605","599","445.97K","0.33%"
"2024- 04- 05","601","599","604","599","660.41K","-0.50%"
"2024- 04- 04","604","607","610","600","1.15M","-0.66%"
"2024- 04- 03","608","608","611","607","506.48K","-0.49%"
"2024- 04- 02","611","611","613","609","548.23K","-0.33%"
"2024- 04- 01","613","613","615","611","523.81K","0.16%"
"2024- 03- 29","612","616","619","609","857.03K","-0.65%"
"2024- 03- 28","616","619","620","614","893.52K","-0.16%"
"2024- 03- 27","617","620","621","617","545.67K","-0.48%"
"2024- 03- 26","620","621","626","619","765.59K","0.00%"
"2024- 03- 25","620","627","627","618","682.68K","-0.80%"
"2024- 03- 22","625","625","626","621","1.02M","0.32%"
"2024- 03- 21","623","620","625","619","730.75K","0.97%"
"2024- 03- 20","617","621","622","617","620.19K","-0.32%"
"2024- 03- 19","619","617","619","615","621.69K","0.00%"
"2024- 03- 18","619","622","623","615","656.69K","-0.16%"
"2024- 03- 17","620","620","620","620","","0.00%"
"2024- 03- 15","620","630","634","620","0.15K","-1.90%"
"2024- 03- 14","632","626","632","623","712.11K","1.12%"
"2024- 03- 13","625","618","628","617","1.08M","1.30%"
"2024- 03- 12","617","613","620","609","1.29M","0.00%"
"2024- 03- 11","617","624","624","611","1.04M","-1.12%"
"2024- 03- 10","624","624","624","624","","0.00%"
"2024- 03- 08","624","625","628","620","637.93K","0.16%"
"2024- 03- 07","623","632","633","619","0.02K","-0.95%"
"2024- 03- 06","629","630","635","627","827.05K","-0.63%"
"2024- 03- 05","633","635","641","632","717.46K","-0.31%"
"2024- 03- 04","635","640","642","634","0.16K","0.00%"
"2024- 02- 29","635","634","640","633","475.61K","-0.47%"
"2024- 02- 28","638","635","645","633","0.02K","0.63%"
"2024- 02- 27","634","635","636","629","809.99K","-0.16%"
"2024- 02- 26","635","652","652","631","0.40K","-2.61%"
"2024- 02- 23","652","659","659","648","692.38K","-0.46%"
"2024- 02- 22","655","657","660","651","0.10K","-0.46%"
"2024- 02- 21","658","655","669","645","1.18M","0.46%"
"2024- 02- 20","655","665","668","654","962.77K","-1.50%"
"2024- 02- 19","665","664","669","663","1.03M","0.30%"
"2024- 02- 16","663","661","666","651","1.42M","0.61%"
"2024- 02- 15","659","654","663","650","1.74M","0.76%"
"2024- 02- 14","654","646","659","641","1.48M","0.15%"
"2024- 02- 13","653","643","656","643","1.63M","2.03%"
"2024- 02- 12","640","640","640","640","","0.00%"
"2024- 02- 08","640","650","656","639","1.50M","-1.08%"
"2024- 02- 07","647","645","651","635","1.19M","0.62%"
"2024- 02- 06","643","646","655","643","1.10M","-1.38%"
"2024- 02- 05","652","656","656","644","0.02K","-0.46%"
"2024- 02- 04","655","655","655","655","","0.00%"
"2024- 02- 02","655","650","659","645","2.74M","1.24%"
"2024- 02- 01","647","625","655","624","0.10K","3.03%"
"2024- 01- 31","628","628","631","622","910.24K","0.16%"
"2024- 01- 30","627","624","632","624","0.10K","0.80%"
"2024- 01- 29","622","616","624","610","764.85K","1.14%"
"2024- 01- 26","615","609","620","608","851.60K","1.15%"
"2024- 01- 25","608","609","615","604","856.82K","0.16%"
"2024- 01- 24","607","609","610","605","351.58K","-0.33%"
"2024- 01- 23","609","600","611","600","608.86K","0.83%"
"2024- 01- 22","604","607","608","602","470.60K","-0.49%"
"2024- 01- 19","607","603","612","603","817.00K","0.83%"
"2024- 01- 18","602","595","604","595","1.32M","0.67%"
"2024- 01- 17","598","604","606","596","0.10K","-1.48%"
"2024- 01- 16","607","619","622","607","0.10K","-2.10%"
"2024- 01- 15","620","627","628","619","0.10K","-1.12%"
"2024- 01- 14","627","627","627","627","","0.00%"
"2024- 01- 12","627","634","640","625","1.64M","-1.88%"
"2024- 01- 11","639","630","652","626","0.04K","2.08%"
"2024- 01- 10","626","625","627","621","513.88K","0.16%"
"2024- 01- 09","625","626","627","621","0.05K","0.48%"
"2024- 01- 08","622","624","627","621","0.01K","-0.96%"
"2024- 01- 07","628","628","628","628","","0.00%"
"2024- 01- 05","628","632","643","627","1.11M","0.00%"
"2024- 01- 04","628","637","640","628","1.19M","-1.88%"
"2024- 01- 03","640","638","642","634","942.72K","-0.16%"
"2024- 01- 02","641","641","645","639","807.35K","0.00%"
