"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","174,200","175,900","179,000","173,800","3.19M","-0.97%"
"2024- 04- 29","175,900","179,100","180,400","175,600","2.83M","-1.07%"
"2024- 04- 26","177,800","176,200","178,300","174,900","5.39M","4.22%"
"2024- 04- 25","170,600","173,800","176,700","170,600","5.28M","-5.12%"
"2024- 04- 24","179,800","178,900","180,200","176,300","4.19M","5.15%"
"2024- 04- 23","171,000","172,600","173,700","169,700","3.90M","-0.35%"
"2024- 04- 22","171,600","170,700","172,400","167,000","5.78M","-0.98%"
"2024- 04- 19","173,300","177,200","178,500","169,500","7.40M","-4.94%"
"2024- 04- 18","182,300","176,000","183,300","175,400","4.10M","2.01%"
"2024- 04- 17","178,700","179,600","182,500","177,700","3.98M","-0.22%"
"2024- 04- 16","179,100","184,400","185,500","178,300","4.91M","-4.84%"
"2024- 04- 15","188,200","185,400","188,400","183,000","2.64M","0.43%"
"2024- 04- 12","187,400","188,700","191,400","187,000","3.04M","-0.53%"
"2024- 04- 11","188,400","182,900","188,400","182,400","4.02M","3.01%"
"2024- 04- 09","182,900","182,300","185,300","181,700","2.29M","0.94%"
"2024- 04- 08","181,200","183,900","183,900","180,000","3.21M","-0.88%"
"2024- 04- 05","182,800","184,800","187,600","181,800","4.01M","-2.77%"
"2024- 04- 04","188,000","184,400","188,500","184,000","4.61M","4.91%"
"2024- 04- 03","179,200","182,000","183,700","178,200","5.08M","-3.81%"
"2024- 04- 02","186,300","188,000","190,000","184,400","4.19M","0.43%"
"2024- 04- 01","185,500","186,400","190,500","185,000","2.68M","1.37%"
"2024- 03- 29","183,000","179,200","183,900","177,600","3.02M","2.69%"
"2024- 03- 28","178,200","178,000","182,100","178,000","3.39M","-1.66%"
"2024- 03- 27","181,200","176,700","183,000","175,600","5.59M","2.60%"
"2024- 03- 26","176,600","172,000","179,500","171,900","6.49M","4.25%"
"2024- 03- 25","169,400","170,500","174,800","168,500","3.41M","-0.24%"
"2024- 03- 22","169,800","169,000","173,900","167,400","5.35M","-0.12%"
"2024- 03- 21","170,000","165,200","171,400","162,600","9.06M","8.63%"
"2024- 03- 20","156,500","160,200","161,400","154,100","5.64M","-2.31%"
"2024- 03- 19","160,200","161,700","161,800","157,600","4.01M","-2.50%"
"2024- 03- 18","164,300","161,200","164,500","161,000","2.68M","1.92%"
"2024- 03- 17","161,200","161,200","161,200","161,200","","0.00%"
"2024- 03- 15","161,200","159,600","162,900","158,600","4.06M","-0.43%"
"2024- 03- 14","161,900","163,700","164,100","161,100","0.41K","-1.04%"
"2024- 03- 13","163,600","169,000","169,600","162,100","0.84K","-1.27%"
"2024- 03- 12","165,700","166,100","167,200","164,000","3.05M","-0.54%"
"2024- 03- 11","166,600","165,000","168,900","164,900","2.47K","-3.08%"
"2024- 03- 10","171,900","171,900","171,900","171,900","","0.00%"
"2024- 03- 08","171,900","169,800","174,900","169,300","4.93M","4.24%"
"2024- 03- 07","164,900","164,500","165,800","161,000","0.05K","1.23%"
"2024- 03- 06","162,900","164,100","165,500","162,700","0.01K","-1.75%"
"2024- 03- 05","165,800","165,000","168,900","164,300","0.23K","-0.42%"
"2024- 03- 04","166,500","161,100","168,100","160,700","0.46K","6.59%"
"2024- 03- 03","156,200","156,200","156,200","156,200","","0.00%"
"2024- 02- 29","156,200","154,900","158,400","154,500","3.21M","-1.14%"
"2024- 02- 28","158,000","154,400","159,100","153,800","0.38K","2.73%"
"2024- 02- 27","153,800","159,400","159,500","153,400","3.64K","-4.94%"
"2024- 02- 26","161,800","158,400","164,800","158,400","4.27M","0.25%"
"2024- 02- 25","161,400","161,400","161,400","161,400","","0.00%"
"2024- 02- 23","161,400","166,900","166,900","159,800","6.96M","3.13%"
"2024- 02- 22","156,500","154,400","156,500","152,700","0.02K","5.03%"
"2024- 02- 21","149,000","147,900","152,200","147,700","0.38K","-0.40%"
"2024- 02- 20","149,600","150,200","151,000","147,500","0.76K","-1.12%"
"2024- 02- 19","151,300","146,400","153,100","146,000","1.58K","3.07%"
"2024- 02- 18","146,800","146,800","146,800","146,800","","0.00%"
"2024- 02- 16","146,800","150,600","150,600","145,700","3.25M","-1.28%"
"2024- 02- 15","148,700","151,200","152,700","148,000","6.79K","0.00%"
"2024- 02- 14","148,700","146,300","149,100","145,000","0.09K","-0.87%"
"2024- 02- 13","150,000","145,100","150,000","145,100","0.14K","5.04%"
"2024- 02- 12","142,800","142,800","142,800","142,800","","0.00%"
"2024- 02- 08","142,800","139,000","143,000","137,900","5.40M","3.48%"
"2024- 02- 07","138,000","136,400","138,500","135,700","0.03K","0.00%"
"2024- 02- 06","138,000","133,700","138,400","132,000","4.46M","4.31%"
"2024- 02- 05","132,300","134,900","135,800","131,700","0.39K","-1.93%"
"2024- 02- 04","134,900","134,900","134,900","134,900","","0.00%"
"2024- 02- 02","134,900","132,300","135,300","132,200","3.57M","1.66%"
"2024- 02- 01","132,700","133,100","135,600","131,700","3.76M","-1.48%"
"2024- 01- 31","134,700","134,900","136,600","133,600","0.21K","-1.61%"
"2024- 01- 30","136,900","135,400","137,800","134,400","0.40K","1.41%"
"2024- 01- 29","135,000","135,500","137,000","135,000","2.29M","-0.74%"
"2024- 01- 28","136,000","136,000","136,000","136,000","","0.00%"
"2024- 01- 26","136,000","136,200","138,600","136,000","3.21M","-1.02%"
"2024- 01- 25","137,400","142,600","143,600","136,900","2.47K","-2.90%"
"2024- 01- 24","141,500","140,000","141,700","137,600","2.56M","0.50%"
"2024- 01- 23","140,800","142,500","142,700","138,400","0.99K","-1.26%"
"2024- 01- 22","142,600","145,200","145,400","142,300","3.72M","0.92%"
"2024- 01- 21","141,300","141,300","141,300","141,300","","0.00%"
"2024- 01- 19","141,300","138,700","141,300","137,400","4.82M","3.74%"
"2024- 01- 18","136,200","131,400","136,700","130,600","0.10K","3.97%"
"2024- 01- 17","131,000","133,800","134,400","129,000","1.48K","-0.83%"
"2024- 01- 16","132,100","132,500","133,700","131,100","0.40K","-1.49%"
"2024- 01- 15","134,100","134,800","135,100","133,300","1.85M","0.00%"
"2024- 01- 14","134,100","134,100","134,100","134,100","","0.00%"
"2024- 01- 12","134,100","136,400","137,300","133,400","1.87M","-1.40%"
"2024- 01- 11","136,000","132,900","137,100","132,800","0.12K","1.87%"
"2024- 01- 10","133,500","137,700","138,100","132,200","0.25K","-2.84%"
"2024- 01- 09","137,400","138,800","139,500","136,600","0.31K","1.03%"
"2024- 01- 08","136,000","137,500","137,900","135,400","0.01K","-1.09%"
