"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","112,800","118,200","117,800","112,700","201.22K","-4.65%"
"2024- 04- 29","118,300","125,900","125,900","115,400","296.32K","-3.19%"
"2024- 04- 26","122,200","119,500","123,800","118,400","131.22K","2.69%"
"2024- 04- 25","119,000","117,700","120,900","117,400","66.98K","0.00%"
"2024- 04- 24","119,000","121,700","121,800","116,900","84.96K","-0.50%"
"2024- 04- 23","119,600","115,000","122,500","114,700","174.39K","4.00%"
"2024- 04- 22","115,000","114,600","116,700","112,800","74.17K","2.13%"
"2024- 04- 19","112,600","113,000","116,600","112,000","85.87K","-1.14%"
"2024- 04- 18","113,900","111,700","114,300","109,700","76.08K","3.64%"
"2024- 04- 17","109,900","112,000","114,300","109,400","88.99K","-2.31%"
"2024- 04- 16","112,500","108,600","113,700","108,000","87.93K","1.99%"
"2024- 04- 15","110,300","108,400","111,100","106,800","72.14K","0.00%"
"2024- 04- 12","110,300","111,300","112,600","108,800","106.68K","-0.81%"
"2024- 04- 11","111,200","116,100","117,500","111,000","79.92K","-4.22%"
"2024- 04- 09","116,100","113,700","118,000","112,800","110.20K","3.11%"
"2024- 04- 08","112,600","110,500","114,200","110,400","131.44K","3.02%"
"2024- 04- 05","109,300","113,500","113,500","106,700","196.66K","-4.87%"
"2024- 04- 04","114,900","117,800","120,900","114,600","85.28K","-1.88%"
"2024- 04- 03","117,100","114,900","118,400","112,800","111.19K","-0.68%"
"2024- 04- 02","117,900","121,900","122,300","115,800","150.30K","-3.91%"
"2024- 04- 01","122,700","119,100","122,900","117,700","97.92K","4.25%"
"2024- 03- 29","117,700","122,600","123,800","117,100","154.11K","-4.39%"
"2024- 03- 28","123,100","124,600","124,800","121,900","64.32K","-1.76%"
"2024- 03- 27","125,300","125,600","126,900","123,300","112.38K","-0.16%"
"2024- 03- 26","125,500","123,700","126,500","123,600","76.90K","0.32%"
"2024- 03- 25","125,100","125,200","127,000","122,900","88.24K","-0.95%"
"2024- 03- 22","126,300","124,700","128,900","122,700","112.42K","0.24%"
"2024- 03- 21","126,000","122,700","128,300","122,500","130.63K","2.11%"
"2024- 03- 20","123,400","121,600","124,000","121,000","76.74K","1.48%"
"2024- 03- 19","121,600","124,600","125,600","121,500","68.72K","-3.34%"
"2024- 03- 18","125,800","124,000","125,900","121,000","120.13K","3.20%"
"2024- 03- 15","121,900","124,000","124,000","120,000","13.37K","-2.48%"
"2024- 03- 14","125,000","127,900","128,100","124,000","0.00K","-1.96%"
"2024- 03- 13","127,500","123,600","127,800","123,000","0.01K","4.42%"
"2024- 03- 12","122,100","121,900","124,400","120,400","124.51K","0.16%"
"2024- 03- 11","121,900","117,600","122,800","117,300","0.03K","5.09%"
"2024- 03- 10","116,000","116,000","116,000","116,000","","0.00%"
"2024- 03- 08","116,000","111,400","117,000","110,000","206.52K","4.04%"
"2024- 03- 07","111,500","115,700","116,600","109,300","0.35K","-6.07%"
"2024- 03- 06","118,700","120,000","122,700","117,200","176.83K","-2.30%"
"2024- 03- 05","121,500","121,100","124,100","119,500","0.22K","1.08%"
"2024- 03- 04","120,200","127,900","127,900","119,400","0.02K","-6.39%"
"2024- 03- 03","128,400","128,400","128,400","128,400","","0.00%"
"2024- 02- 29","128,400","128,600","130,900","125,500","195.76K","-1.15%"
"2024- 02- 28","129,900","130,500","139,300","125,400","0.22K","0.46%"
"2024- 02- 27","129,300","123,500","131,300","123,500","0.08K","5.21%"
"2024- 02- 26","122,900","127,000","127,900","122,300","175.63K","-2.46%"
"2024- 02- 25","126,000","126,000","126,000","126,000","","0.00%"
"2024- 02- 23","126,000","123,600","128,800","123,500","232.61K","0.80%"
"2024- 02- 22","125,000","118,100","125,900","118,100","0.02K","6.47%"
"2024- 02- 21","117,400","117,700","119,200","116,000","0.01K","-0.93%"
"2024- 02- 20","118,500","119,500","120,500","115,600","0.01K","-1.66%"
"2024- 02- 19","120,500","121,600","123,900","118,100","0.03K","-0.90%"
"2024- 02- 18","121,600","121,600","121,600","121,600","","0.00%"
"2024- 02- 16","121,600","122,400","125,300","120,100","260.42K","0.08%"
"2024- 02- 15","121,500","122,300","125,800","116,700","0.00K","2.97%"
"2024- 02- 14","118,000","113,300","119,800","112,800","0.06K","3.06%"
"2024- 02- 13","114,500","113,700","115,800","112,000","0.07K","3.43%"
"2024- 02- 12","110,700","110,700","110,700","110,700","","0.00%"
"2024- 02- 08","110,700","106,500","111,700","106,100","236.04K","5.13%"
"2024- 02- 07","105,300","107,600","107,600","104,200","0.00K","-2.59%"
"2024- 02- 06","108,100","111,900","113,100","106,800","250.84K","-3.40%"
"2024- 02- 05","111,900","108,300","115,400","106,100","0.29K","4.48%"
"2024- 02- 04","107,100","107,100","107,100","107,100","","0.00%"
"2024- 02- 02","107,100","101,800","107,600","100,400","302.04K","6.25%"
