"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","16,190","16,420","16,420","16,110","38.12K","-1.40%"
"2024- 05- 07","16,420","16,500","16,570","16,210","46.81K","-0.97%"
"2024- 05- 03","16,580","16,470","16,810","16,300","82.72K","2.41%"
"2024- 05- 02","16,190","16,300","16,690","16,150","60.69K","-0.55%"
"2024- 04- 30","16,280","16,150","16,360","16,000","44.76K","0.68%"
"2024- 04- 29","16,170","15,650","16,300","15,580","55.29K","3.99%"
"2024- 04- 26","15,550","15,600","15,800","15,510","26.52K","-0.32%"
"2024- 04- 25","15,600","15,560","15,730","15,490","18.52K","0.26%"
"2024- 04- 24","15,560","15,320","15,640","15,380","24.94K","1.83%"
"2024- 04- 23","15,280","15,500","15,720","15,280","44.39K","-1.55%"
"2024- 04- 22","15,520","15,240","15,600","15,090","42.65K","2.17%"
"2024- 04- 19","15,190","15,500","15,560","15,010","36.63K","-2.38%"
"2024- 04- 18","15,560","15,170","15,580","15,170","21.13K","2.57%"
"2024- 04- 17","15,170","15,320","15,560","15,170","32.85K","-0.98%"
"2024- 04- 16","15,320","15,550","15,550","15,220","51.56K","-2.05%"
"2024- 04- 15","15,640","15,610","15,900","15,450","37.65K","-2.01%"
"2024- 04- 12","15,960","16,140","16,240","15,890","40.30K","-1.18%"
"2024- 04- 11","16,150","15,840","16,180","15,450","49.28K","1.89%"
"2024- 04- 09","15,850","15,890","16,290","15,810","83.25K","-0.19%"
"2024- 04- 08","15,880","16,430","16,440","15,800","81.42K","-2.46%"
"2024- 04- 05","16,280","16,030","16,800","16,010","73.15K","0.62%"
"2024- 04- 04","16,180","16,550","16,950","16,120","128.90K","-2.82%"
"2024- 04- 03","16,650","16,700","16,970","16,020","176.66K","-1.94%"
"2024- 04- 02","16,980","17,340","17,440","16,620","308.98K","-3.69%"
"2024- 04- 01","17,630","15,400","18,640","15,390","3.57M","14.55%"
"2024- 03- 29","15,390","15,670","15,780","15,320","38.36K","-1.79%"
"2024- 03- 28","15,670","16,100","16,190","15,590","59.03K","-2.55%"
"2024- 03- 27","16,080","16,100","16,260","15,930","44.24K","-0.06%"
"2024- 03- 26","16,090","16,200","16,410","15,980","92.48K","-1.11%"
"2024- 03- 25","16,270","16,940","16,970","16,190","107.91K","-3.73%"
"2024- 03- 22","16,900","16,940","17,190","16,830","64.49K","-0.29%"
"2024- 03- 21","16,950","17,060","17,270","16,940","81.05K","-0.53%"
"2024- 03- 20","17,040","17,470","17,570","17,000","123.91K","-3.07%"
"2024- 03- 19","17,580","17,150","18,240","16,800","304.58K","1.91%"
"2024- 03- 18","17,250","17,230","17,390","16,500","164.86K","-0.06%"
"2024- 03- 17","17,260","17,260","17,260","17,260","","2.62%"
"2024- 03- 15","16,820","17,230","17,400","16,240","39.05K","-1.12%"
"2024- 03- 14","17,010","17,520","17,520","16,810","0.24K","-2.58%"
"2024- 03- 13","17,460","17,600","18,800","17,350","0.19K","3.74%"
"2024- 03- 12","16,830","16,900","17,500","16,710","3.14K","-1.69%"
"2024- 03- 11","17,120","16,000","18,720","15,550","1.40K","6.14%"
"2024- 03- 10","16,130","16,130","16,130","16,130","","0.00%"
"2024- 03- 08","16,130","13,860","16,960","13,840","2.82M","16.55%"
"2024- 03- 07","13,840","14,300","14,310","13,690","86.77K","-2.54%"
"2024- 03- 06","14,200","14,080","14,330","14,010","106.28K","1.43%"
"2024- 03- 05","14,000","13,910","14,180","13,660","112.35K","0.65%"
"2024- 03- 04","13,910","14,020","14,080","13,750","104.21K","0.29%"
"2024- 03- 03","13,870","13,870","13,870","13,870","","0.00%"
"2024- 02- 29","13,870","13,320","15,890","13,260","1.25M","3.58%"
"2024- 02- 28","13,390","13,200","13,420","13,160","24.57K","1.21%"
"2024- 02- 27","13,230","13,210","13,410","13,100","29.35K","-0.75%"
"2024- 02- 26","13,330","13,560","13,590","13,320","20.63K","-1.41%"
"2024- 02- 25","13,520","13,520","13,520","13,520","","0.00%"
"2024- 02- 23","13,520","13,640","13,640","13,440","22.33K","-0.37%"
"2024- 02- 22","13,570","13,550","13,620","13,480","19.72K","0.15%"
"2024- 02- 21","13,550","13,630","13,690","13,430","25.95K","-0.66%"
"2024- 02- 20","13,640","13,520","13,730","13,510","0.07K","0.59%"
"2024- 02- 19","13,560","13,520","13,740","13,510","31.14K","0.07%"
"2024- 02- 18","13,550","13,550","13,550","13,550","","0.00%"
"2024- 02- 16","13,550","13,400","13,590","13,240","48.00K","1.12%"
"2024- 02- 15","13,400","13,360","13,450","13,250","34.40K","0.45%"
"2024- 02- 14","13,340","13,110","13,340","12,940","37.89K","1.21%"
"2024- 02- 13","13,180","13,510","13,640","13,180","53.77K","-1.86%"
"2024- 02- 08","13,430","13,400","13,540","13,320","32.16K","0.07%"
"2024- 02- 07","13,420","13,350","13,500","13,200","30.40K","0.45%"
"2024- 02- 06","13,360","13,750","13,820","13,350","35.16K","-3.12%"
"2024- 02- 05","13,790","13,650","13,930","13,500","45.70K","1.03%"
"2024- 02- 02","13,650","13,650","13,830","13,540","35.31K","0.15%"
"2024- 02- 01","13,630","13,220","13,670","13,200","0.07K","2.71%"
"2024- 01- 31","13,270","13,140","13,400","13,050","31.44K","1.07%"
"2024- 01- 30","13,130","13,120","13,390","13,020","26.28K","0.08%"
"2024- 01- 29","13,120","13,430","13,450","13,110","31.01K","-1.72%"
"2024- 01- 26","13,350","13,260","13,450","13,110","19.95K","0.68%"
"2024- 01- 25","13,260","13,480","13,600","13,110","30.42K","-1.41%"
"2024- 01- 24","13,450","13,680","13,770","13,350","25.56K","-1.68%"
"2024- 01- 23","13,680","13,700","13,910","13,550","37.08K","0.00%"
"2024- 01- 22","13,680","13,450","13,680","13,370","36.90K","2.32%"
"2024- 01- 19","13,370","13,300","13,560","13,300","27.63K","0.00%"
"2024- 01- 18","13,370","13,120","13,430","13,120","29.35K","1.91%"
"2024- 01- 17","13,120","13,570","13,700","13,070","58.06K","-3.32%"
"2024- 01- 16","13,570","13,780","13,900","13,400","38.08K","-1.09%"
"2024- 01- 15","13,720","14,250","14,350","13,650","87.19K","-4.32%"
"2024- 01- 12","14,340","14,500","14,500","14,160","83.69K","-1.51%"
"2024- 01- 11","14,560","14,150","15,290","14,020","523.24K","2.90%"
"2024- 01- 10","14,150","13,860","14,540","13,760","196.65K","2.17%"
"2024- 01- 09","13,850","13,880","14,040","13,760","54.88K","0.22%"
"2024- 01- 08","13,820","13,850","13,970","13,710","57.38K","-0.22%"
"2024- 01- 07","13,850","13,850","13,850","13,850","","0.00%"
"2024- 01- 05","13,850","14,180","14,230","13,850","107.79K","-3.42%"
"2024- 01- 04","14,340","13,800","14,340","13,670","188.87K","3.39%"
"2024- 01- 03","13,870","13,690","13,870","13,510","82.42K","-0.07%"
"2024- 01- 02","13,880","13,250","14,240","13,150","259.63K","4.13%"
