"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,730","2,725","2,805","2,675","102.07K","0.18%"
"2024- 05- 07","2,725","2,720","2,725","2,655","60.99K","1.11%"
"2024- 05- 03","2,695","2,730","2,750","2,660","49.46K","-1.10%"
"2024- 05- 02","2,725","2,620","2,760","2,620","172.00K","4.01%"
"2024- 04- 30","2,620","2,580","2,630","2,565","67.93K","1.55%"
"2024- 04- 29","2,580","2,550","2,600","2,505","41.59K","0.98%"
"2024- 04- 26","2,555","2,585","2,600","2,500","47.77K","-1.35%"
"2024- 04- 25","2,590","2,625","2,640","2,520","113.76K","-1.15%"
"2024- 04- 24","2,620","2,600","2,670","2,555","51.09K","1.95%"
"2024- 04- 23","2,570","2,580","2,580","2,530","37.85K","0.98%"
"2024- 04- 22","2,545","2,450","2,560","2,415","77.61K","3.88%"
"2024- 04- 19","2,450","2,515","2,535","2,415","103.62K","-2.58%"
"2024- 04- 18","2,515","2,585","2,660","2,510","142.82K","-4.37%"
"2024- 04- 17","2,630","2,585","2,845","2,580","393.14K","1.94%"
"2024- 04- 16","2,580","2,545","2,580","2,455","101.18K","1.38%"
"2024- 04- 15","2,545","2,530","2,590","2,500","78.45K","-1.93%"
"2024- 04- 12","2,595","2,445","2,650","2,420","279.13K","5.92%"
"2024- 04- 11","2,450","2,400","2,480","2,375","77.69K","1.03%"
"2024- 04- 09","2,425","2,350","2,450","2,350","68.80K","3.19%"
"2024- 04- 08","2,350","2,365","2,395","2,330","56.55K","-2.29%"
"2024- 04- 05","2,405","2,420","2,420","2,350","56.40K","0.21%"
"2024- 04- 04","2,400","2,455","2,455","2,305","56.19K","-0.83%"
"2024- 04- 03","2,420","2,445","2,460","2,390","55.49K","0.00%"
"2024- 04- 02","2,420","2,390","2,465","2,365","75.17K","1.47%"
"2024- 04- 01","2,385","2,360","2,400","2,315","69.15K","0.21%"
"2024- 03- 29","2,380","2,400","2,405","2,330","84.13K","-1.65%"
"2024- 03- 28","2,420","2,435","2,460","2,345","184.91K","-1.63%"
"2024- 03- 27","2,460","2,400","2,500","2,360","284.02K","0.82%"
"2024- 03- 26","2,440","2,300","2,830","2,300","2.26M","5.86%"
"2024- 03- 25","2,305","2,285","2,315","2,240","26.60K","0.44%"
"2024- 03- 22","2,295","2,205","2,410","2,190","92.46K","4.32%"
"2024- 03- 21","2,200","2,190","2,225","2,175","22.52K","0.92%"
"2024- 03- 20","2,180","2,180","2,210","2,175","15.32K","-0.23%"
"2024- 03- 19","2,185","2,190","2,190","2,160","17.16K","-0.23%"
"2024- 03- 18","2,190","2,230","2,250","2,180","25.77K","-1.79%"
"2024- 03- 15","2,230","2,230","2,250","2,190","0.80K","0.68%"
"2024- 03- 14","2,215","2,225","2,255","2,195","31.83K","-0.45%"
"2024- 03- 13","2,225","2,220","2,280","2,220","35.24K","-0.22%"
"2024- 03- 12","2,230","2,300","2,320","2,195","58.69K","-3.04%"
"2024- 03- 11","2,300","2,255","2,315","2,245","27.36K","1.10%"
"2024- 03- 08","2,275","2,295","2,355","2,240","68.20K","-1.30%"
