"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,165","1,159","1,178","1,159","27.13K","-0.34%"
"2024- 05- 07","1,169","1,173","1,176","1,164","64.09K","-0.34%"
"2024- 05- 03","1,173","1,189","1,193","1,167","37.16K","-0.85%"
"2024- 05- 02","1,183","1,170","1,184","1,162","70.55K","-0.08%"
"2024- 04- 30","1,184","1,184","1,189","1,169","35.24K","0.00%"
"2024- 04- 29","1,184","1,180","1,195","1,175","25.31K","0.34%"
"2024- 04- 26","1,180","1,173","1,183","1,166","42.77K","0.08%"
"2024- 04- 25","1,179","1,186","1,186","1,173","26.48K","0.26%"
"2024- 04- 24","1,176","1,173","1,187","1,173","20.45K","0.34%"
"2024- 04- 23","1,172","1,177","1,198","1,172","44.13K","-0.42%"
"2024- 04- 22","1,177","1,200","1,200","1,177","26.48K","-1.01%"
"2024- 04- 19","1,189","1,200","1,210","1,175","63.92K","-0.92%"
"2024- 04- 18","1,200","1,183","1,214","1,180","43.47K","1.44%"
"2024- 04- 17","1,183","1,207","1,207","1,172","47.95K","0.77%"
"2024- 04- 16","1,174","1,172","1,209","1,172","72.08K","-1.92%"
"2024- 04- 15","1,197","1,190","1,214","1,176","104.61K","-1.72%"
"2024- 04- 12","1,218","1,228","1,228","1,206","54.96K","-0.65%"
"2024- 04- 11","1,226","1,272","1,272","1,210","58.03K","-1.53%"
"2024- 04- 09","1,245","1,248","1,260","1,223","117.27K","2.89%"
"2024- 04- 08","1,210","1,230","1,240","1,190","101.87K","0.33%"
"2024- 04- 05","1,206","1,200","1,249","1,196","97.17K","-2.43%"
"2024- 04- 04","1,236","1,250","1,290","1,220","102.37K","0.90%"
"2024- 04- 03","1,225","1,259","1,265","1,195","122.71K","-2.62%"
"2024- 04- 02","1,258","1,271","1,281","1,248","75.19K","-0.94%"
"2024- 04- 01","1,270","1,264","1,298","1,240","68.13K","0.47%"
"2024- 03- 29","1,264","1,270","1,280","1,252","78.04K","-0.47%"
"2024- 03- 28","1,270","1,287","1,308","1,269","128.97K","-1.32%"
"2024- 03- 27","1,287","1,289","1,301","1,265","118.77K","-1.30%"
"2024- 03- 26","1,304","1,280","1,312","1,271","314.75K","2.44%"
"2024- 03- 25","1,273","1,288","1,288","1,252","197.82K","0.32%"
"2024- 03- 22","1,269","1,388","1,390","1,256","873.57K","1.93%"
