"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,950","2,820","2,960","2,815","141.25K","3.51%"
"2024- 05- 07","2,850","2,885","2,895","2,845","25.69K","-1.21%"
"2024- 05- 03","2,885","2,830","2,885","2,820","36.45K","1.05%"
"2024- 05- 02","2,855","2,795","2,875","2,775","68.72K","1.96%"
"2024- 04- 30","2,800","2,765","2,880","2,765","87.44K","1.45%"
"2024- 04- 29","2,760","2,740","2,805","2,740","41.45K","-0.18%"
"2024- 04- 26","2,765","2,760","2,820","2,730","40.86K","0.55%"
"2024- 04- 25","2,750","2,825","2,825","2,750","49.45K","-3.00%"
"2024- 04- 24","2,835","2,725","2,840","2,725","69.33K","3.66%"
"2024- 04- 23","2,735","2,800","2,830","2,735","67.81K","-0.55%"
"2024- 04- 22","2,750","2,700","2,760","2,700","56.66K","0.36%"
"2024- 04- 19","2,740","2,785","2,800","2,690","72.99K","-1.62%"
"2024- 04- 18","2,785","2,690","2,795","2,690","32.37K","3.15%"
"2024- 04- 17","2,700","2,700","2,775","2,700","39.86K","0.19%"
"2024- 04- 16","2,695","2,740","2,790","2,690","85.36K","-1.64%"
"2024- 04- 15","2,740","2,775","2,800","2,735","56.72K","-3.18%"
"2024- 04- 12","2,830","2,785","2,855","2,785","41.41K","1.98%"
"2024- 04- 11","2,775","2,830","2,840","2,755","112.91K","-2.29%"
"2024- 04- 09","2,840","2,920","2,970","2,730","98.37K","-1.56%"
"2024- 04- 08","2,885","2,960","2,980","2,885","72.42K","-2.20%"
"2024- 04- 05","2,950","2,920","3,150","2,920","329.53K","0.00%"
"2024- 04- 04","2,950","2,945","3,000","2,945","50.73K","0.17%"
"2024- 04- 03","2,945","2,950","2,960","2,860","121.68K","-0.17%"
"2024- 04- 02","2,950","3,015","3,040","2,950","106.68K","-2.16%"
"2024- 04- 01","3,015","3,010","3,040","3,000","35.36K","0.33%"
"2024- 03- 29","3,005","3,000","3,085","2,965","208.62K","0.17%"
"2024- 03- 28","3,000","3,010","3,030","2,950","154.39K","-0.66%"
"2024- 03- 27","3,020","3,065","3,075","3,000","113.95K","-1.31%"
"2024- 03- 26","3,060","3,055","3,090","3,020","131.89K","-0.81%"
"2024- 03- 25","3,085","3,005","3,085","2,995","98.29K","2.66%"
"2024- 03- 22","3,005","3,015","3,095","2,950","138.61K","-0.50%"
"2024- 03- 21","3,020","3,075","3,090","3,000","138.39K","-1.63%"
"2024- 03- 20","3,070","3,125","3,150","3,000","252.05K","-1.92%"
"2024- 03- 19","3,130","3,235","3,235","3,130","122.76K","-2.34%"
"2024- 03- 18","3,205","3,230","3,245","3,190","83.63K","-0.31%"
"2024- 03- 15","3,215","3,230","3,295","3,140","3.10K","1.26%"
"2024- 03- 14","3,175","3,230","3,230","3,120","177.46K","-1.24%"
"2024- 03- 13","3,215","3,260","3,290","3,190","174.50K","-1.53%"
"2024- 03- 12","3,265","3,240","3,300","3,210","170.63K","0.77%"
"2024- 03- 11","3,240","3,260","3,275","3,160","157.62K","-0.31%"
"2024- 03- 08","3,250","3,180","3,275","3,180","173.30K","2.20%"
"2024- 03- 07","3,180","3,180","3,240","3,140","185.25K","0.32%"
"2024- 03- 06","3,170","3,215","3,290","3,160","204.19K","-2.91%"
"2024- 03- 05","3,265","3,310","3,435","3,210","1.44M","-1.21%"
"2024- 03- 04","3,305","3,140","3,345","3,135","500.09K","4.59%"
"2024- 03- 03","3,160","3,160","3,160","3,160","","0.00%"
"2024- 02- 29","3,160","3,200","3,200","3,110","110.19K","-1.10%"
"2024- 02- 28","3,195","3,225","3,275","3,195","206.42K","-1.54%"
"2024- 02- 27","3,245","3,290","3,300","3,165","0.03K","-3.28%"
"2024- 02- 26","3,355","3,315","3,395","3,210","1.00K","1.82%"
"2024- 02- 23","3,295","3,195","3,330","3,155","462.14K","2.81%"
"2024- 02- 22","3,205","3,230","3,265","3,200","131.40K","-1.23%"
"2024- 02- 21","3,245","3,240","3,290","3,205","175.52K","-0.92%"
"2024- 02- 20","3,275","3,290","3,320","3,190","235.34K","-0.76%"
"2024- 02- 19","3,300","3,200","3,315","3,180","286.02K","2.80%"
"2024- 02- 18","3,210","3,210","3,210","3,210","","0.00%"
"2024- 02- 16","3,210","3,250","3,330","3,180","376.14K","-1.08%"
"2024- 02- 15","3,245","3,180","3,245","3,150","0.47K","2.20%"
"2024- 02- 14","3,175","3,090","3,190","3,070","0.13K","1.44%"
"2024- 02- 13","3,130","3,115","3,155","3,090","155.98K","0.48%"
"2024- 02- 12","3,115","3,115","3,115","3,115","","0.00%"
"2024- 02- 08","3,115","3,000","3,115","3,000","171.95K","1.63%"
"2024- 02- 07","3,065","3,030","3,065","2,975","0.71K","0.82%"
"2024- 02- 06","3,040","3,050","3,110","3,030","191.55K","-1.62%"
"2024- 02- 05","3,090","3,225","3,225","3,070","0.00K","-4.48%"
"2024- 02- 02","3,235","3,200","3,285","3,200","303.65K","0.31%"
"2024- 02- 01","3,225","3,260","3,330","3,185","0.10K","-1.68%"
"2024- 01- 31","3,280","3,255","3,285","3,175","0.02K","-0.61%"
