"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,550.00","2,570.00","2,610.00","2,530.00","1.02M","-0.58%"
"2024- 05- 07","2,565.00","2,560.00","2,605.00","2,550.00","631.64K","0.20%"
"2024- 05- 03","2,560.00","2,610.00","2,610.00","2,545.00","576.31K","-0.97%"
"2024- 05- 02","2,585.00","2,690.00","2,685.00","2,550.00","809.10K","-3.00%"
"2024- 04- 30","2,665.00","2,740.00","2,740.00","2,640.00","1.04M","-2.74%"
"2024- 04- 29","2,740.00","2,760.00","2,790.00","2,725.00","1.83M","-0.54%"
"2024- 04- 26","2,755.00","2,640.00","2,795.00","2,625.00","4.62M","5.96%"
"2024- 04- 25","2,600.00","2,695.00","2,705.00","2,600.00","1.60M","-3.88%"
"2024- 04- 24","2,705.00","2,630.00","2,725.00","2,585.00","2.50M","4.24%"
"2024- 04- 23","2,595.00","2,550.00","2,645.00","2,550.00","1.30M","1.96%"
"2024- 04- 22","2,545.00","2,530.00","2,600.00","2,500.00","869.60K","0.39%"
"2024- 04- 19","2,535.00","2,600.00","2,620.00","2,435.00","1.11M","-3.98%"
"2024- 04- 18","2,640.00","2,505.00","2,665.00","2,475.00","1.60M","4.55%"
"2024- 04- 17","2,525.00","2,500.00","2,615.00","2,495.00","1.03M","0.00%"
"2024- 04- 16","2,525.00","2,650.00","2,745.00","2,525.00","4.77M","-1.17%"
"2024- 04- 15","2,555.00","2,530.00","2,590.00","2,400.00","1.47M","-1.35%"
"2024- 04- 12","2,590.00","2,600.00","2,780.00","2,555.00","7.26M","1.97%"
"2024- 04- 11","2,540.00","2,425.00","2,590.00","2,380.00","2.36M","2.83%"
"2024- 04- 09","2,470.00","2,450.00","2,550.00","2,425.00","2.07M","0.82%"
"2024- 04- 08","2,450.00","2,570.00","2,600.00","2,450.00","1.40M","-4.67%"
"2024- 04- 05","2,570.00","2,645.00","2,660.00","2,530.00","2.24M","-6.55%"
"2024- 04- 04","2,750.00","2,745.00","2,845.00","2,690.00","3.04M","-3.00%"
"2024- 04- 03","2,835.00","2,935.00","3,080.00","2,820.00","12.77M","-1.22%"
"2024- 04- 02","2,870.00","2,875.00","3,265.00","2,810.00","47.73M","2.50%"
"2024- 04- 01","2,800.00","2,290.00","2,815.00","2,285.00","37.55M","25.84%"
"2024- 03- 29","2,225.00","2,225.00","2,280.00","2,215.00","381.84K","0.00%"
"2024- 03- 28","2,225.00","2,230.00","2,265.00","2,205.00","333.25K","0.00%"
"2024- 03- 27","2,225.00","2,265.00","2,265.00","2,220.00","168.81K","-0.67%"
"2024- 03- 26","2,240.00","2,330.00","2,400.00","2,240.00","513.55K","-0.67%"
"2024- 03- 25","2,255.00","2,280.00","2,285.00","2,220.00","340.58K","0.22%"
"2024- 03- 22","2,250.00","2,265.00","2,280.00","2,235.00","216.59K","-1.10%"
"2024- 03- 21","2,275.00","2,305.00","2,320.00","2,275.00","198.34K","-0.66%"
"2024- 03- 20","2,290.00","2,335.00","2,335.00","2,290.00","423.27K","-3.78%"
"2024- 03- 19","2,380.00","2,250.00","2,380.00","2,215.00","969.45K","6.01%"
"2024- 03- 18","2,245.00","2,235.00","2,310.00","2,230.00","383.92K","0.45%"
"2024- 03- 15","2,235.00","2,265.00","2,290.00","2,215.00","172.17K","-2.19%"
"2024- 03- 14","2,285.00","2,305.00","2,305.00","2,235.00","204.35K","1.11%"
"2024- 03- 13","2,260.00","2,225.00","2,335.00","2,220.00","0.34K","1.57%"
"2024- 03- 12","2,225.00","2,200.00","2,235.00","2,195.00","166.11K","1.83%"
"2024- 03- 11","2,185.00","2,180.00","2,300.00","2,145.00","482.15K","0.00%"
"2024- 03- 10","2,185.00","2,185.00","2,185.00","2,185.00","","0.00%"
"2024- 03- 08","2,185.00","2,170.00","2,380.00","2,165.00","990.25K","0.69%"
"2024- 03- 07","2,170.00","2,185.00","2,215.00","2,155.00","179.88K","-0.69%"
"2024- 03- 06","2,185.00","2,175.00","2,200.00","2,150.00","146.60K","0.46%"
"2024- 03- 05","2,175.00","2,250.00","2,250.00","2,150.00","222.20K","-2.68%"
"2024- 03- 04","2,235.00","2,150.00","2,235.00","2,140.00","355.96K","3.47%"
"2024- 02- 29","2,160.00","2,210.00","2,235.00","2,155.00","320.66K","-2.26%"
"2024- 02- 28","2,210.00","2,225.00","2,250.00","2,210.00","185.11K","-0.45%"
"2024- 02- 27","2,220.00","2,310.00","2,325.00","2,220.00","521.72K","-4.10%"
"2024- 02- 26","2,315.00","2,325.00","2,330.00","2,300.00","231.65K","-0.43%"
"2024- 02- 23","2,325.00","2,345.00","2,345.00","2,320.00","240.68K","-1.06%"
"2024- 02- 22","2,350.00","2,385.00","2,385.00","2,325.00","260.51K","0.43%"
"2024- 02- 21","2,340.00","2,360.00","2,375.00","2,325.00","325.06K","-0.64%"
"2024- 02- 20","2,355.00","2,400.00","2,400.00","2,350.00","226.31K","-1.46%"
"2024- 02- 19","2,390.00","2,455.00","2,465.00","2,390.00","304.27K","-1.24%"
"2024- 02- 18","2,420.00","2,420.00","2,420.00","2,420.00","","0.00%"
"2024- 02- 16","2,420.00","2,420.00","2,435.00","2,400.00","277.21K","0.41%"
"2024- 02- 15","2,410.00","2,400.00","2,420.00","2,375.00","371.41K","1.26%"
"2024- 02- 14","2,380.00","2,365.00","2,385.00","2,335.00","229.12K","0.00%"
"2024- 02- 13","2,380.00","2,360.00","2,390.00","2,345.00","298.87K","2.15%"
"2024- 02- 08","2,330.00","2,330.00","2,365.00","2,325.00","236.18K","0.00%"
"2024- 02- 07","2,330.00","2,315.00","2,410.00","2,315.00","611.68K","-0.64%"
"2024- 02- 06","2,345.00","2,370.00","2,385.00","2,315.00","568.99K","-1.68%"
"2024- 02- 05","2,385.00","2,445.00","2,445.00","2,380.00","477.22K","-2.45%"
"2024- 02- 02","2,445.00","2,470.00","2,510.00","2,400.00","819.32K","-1.01%"
"2024- 02- 01","2,470.00","2,555.00","2,695.00","2,455.00","5.27K","1.02%"
"2024- 01- 31","2,445.00","2,475.00","2,500.00","2,375.00","734.11K","-2.40%"
"2024- 01- 30","2,505.00","2,410.00","2,590.00","2,360.00","0.19K","5.03%"
"2024- 01- 29","2,385.00","2,505.00","2,510.00","2,380.00","0.04K","-4.22%"
"2024- 01- 28","2,490.00","2,490.00","2,490.00","2,490.00","","0.00%"
"2024- 01- 26","2,490.00","2,380.00","2,515.00","2,370.00","454.06K","4.62%"
"2024- 01- 25","2,380.00","2,480.00","2,480.00","2,370.00","409.06K","-4.42%"
"2024- 01- 24","2,490.00","2,520.00","2,560.00","2,400.00","1.03K","-0.99%"
"2024- 01- 23","2,515.00","2,520.00","2,565.00","2,460.00","506.58K","-0.20%"
"2024- 01- 22","2,520.00","2,580.00","2,580.00","2,495.00","553.23K","0.40%"
"2024- 01- 19","2,510.00","2,480.00","2,535.00","2,450.00","573.31K","3.93%"
"2024- 01- 18","2,415.00","2,320.00","2,485.00","2,300.00","927.68K","3.87%"
"2024- 01- 17","2,325.00","2,450.00","2,505.00","2,315.00","590.94K","-4.71%"
"2024- 01- 16","2,440.00","2,495.00","2,515.00","2,420.00","417.24K","-2.59%"
"2024- 01- 15","2,505.00","2,480.00","2,520.00","2,440.00","1.00K","0.80%"
"2024- 01- 12","2,485.00","2,515.00","2,540.00","2,450.00","398.08K","-1.58%"
"2024- 01- 11","2,525.00","2,550.00","2,605.00","2,515.00","956.79K","-0.79%"
"2024- 01- 10","2,545.00","2,580.00","2,620.00","2,515.00","2.57K","-1.74%"
"2024- 01- 09","2,590.00","2,650.00","2,650.00","2,555.00","4.02K","1.17%"
"2024- 01- 08","2,560.00","2,395.00","2,560.00","2,390.00","0.02K","8.02%"
"2024- 01- 05","2,370.00","2,305.00","2,415.00","2,290.00","487.28K","3.04%"
"2024- 01- 04","2,300.00","2,370.00","2,370.00","2,280.00","466.36K","-3.16%"
"2024- 01- 03","2,375.00","2,430.00","2,435.00","2,375.00","257.25K","-2.26%"
"2024- 01- 02","2,430.00","2,410.00","2,440.00","2,405.00","312.79K","1.04%"
