"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","11,310","11,240","11,400","11,200","90.15K","0.62%"
"2024- 05- 07","11,240","11,150","11,360","11,150","137.86K","1.54%"
"2024- 05- 03","11,070","11,350","11,360","11,050","115.88K","-1.07%"
"2024- 05- 02","11,190","11,120","11,450","11,150","173.22K","0.36%"
"2024- 04- 30","11,150","11,150","11,270","11,120","95.17K","-0.62%"
"2024- 04- 29","11,220","10,910","11,220","10,880","141.19K","2.65%"
"2024- 04- 26","10,930","10,950","11,030","10,820","103.58K","-0.18%"
"2024- 04- 25","10,950","10,880","11,120","10,850","153.35K","0.37%"
"2024- 04- 24","10,910","11,210","11,210","10,820","240.57K","-1.80%"
"2024- 04- 23","11,110","11,200","11,250","11,070","103.12K","-0.09%"
"2024- 04- 22","11,120","11,050","11,190","10,960","141.03K","0.63%"
"2024- 04- 19","11,050","11,200","11,300","10,940","168.52K","-1.43%"
"2024- 04- 18","11,210","10,800","11,280","10,800","192.52K","3.60%"
"2024- 04- 17","10,820","11,030","11,150","10,820","123.96K","-1.46%"
"2024- 04- 16","10,980","11,080","11,160","10,890","213.20K","-1.88%"
"2024- 04- 15","11,190","11,290","11,510","11,090","213.36K","-2.61%"
"2024- 04- 12","11,490","11,430","11,600","11,330","188.42K","1.06%"
"2024- 04- 11","11,370","11,200","11,520","11,110","186.01K","0.62%"
"2024- 04- 09","11,300","11,470","11,550","11,280","150.23K","-1.48%"
"2024- 04- 08","11,470","11,640","11,650","11,410","179.41K","-1.46%"
"2024- 04- 05","11,640","11,800","11,870","11,580","198.05K","-1.77%"
"2024- 04- 04","11,850","12,500","12,500","11,800","606.16K","-5.20%"
"2024- 04- 03","12,500","12,500","12,700","12,410","177.25K","-0.56%"
"2024- 04- 02","12,570","12,830","12,870","12,540","279.69K","-2.26%"
"2024- 04- 01","12,860","12,970","13,110","12,820","189.06K","-0.62%"
"2024- 03- 29","12,940","13,310","13,320","12,870","278.43K","-2.04%"
"2024- 03- 28","13,210","13,210","13,360","13,110","262.21K","0.23%"
"2024- 03- 27","13,180","13,550","13,550","13,100","310.65K","-2.15%"
"2024- 03- 26","13,470","13,470","13,530","13,230","440.99K","0.52%"
"2024- 03- 25","13,400","13,150","13,440","13,060","400.97K","1.44%"
"2024- 03- 22","13,210","13,310","13,320","13,060","238.13K","-0.75%"
"2024- 03- 21","13,310","13,250","13,540","13,160","443.00K","1.29%"
"2024- 03- 20","13,140","13,480","13,750","12,930","1.21M","-1.20%"
"2024- 03- 19","13,300","13,010","13,340","12,870","429.54K","1.84%"
"2024- 03- 18","13,060","12,890","13,130","12,880","300.63K","1.32%"
"2024- 03- 17","12,890","12,890","12,890","12,890","","0.00%"
"2024- 03- 15","12,890","13,110","13,230","12,890","315.99K","-1.38%"
"2024- 03- 14","13,070","13,220","13,270","12,940","397.78K","-0.91%"
"2024- 03- 13","13,190","12,750","13,370","12,750","1.34M","3.53%"
"2024- 03- 12","12,740","12,430","12,930","12,430","0.10K","2.49%"
"2024- 03- 11","12,430","12,740","12,930","12,410","0.15K","-2.43%"
"2024- 03- 10","12,740","12,740","12,740","12,740","","0.00%"
"2024- 03- 08","12,740","12,250","12,790","12,250","429.77K","4.00%"
"2024- 03- 07","12,250","12,520","12,750","12,240","0.00K","-1.61%"
"2024- 03- 06","12,450","12,230","12,940","12,200","1.45M","3.23%"
"2024- 03- 05","12,060","11,840","12,200","11,830","272.05K","2.03%"
"2024- 03- 04","11,820","11,890","11,940","11,700","226.73K","-0.59%"
"2024- 02- 29","11,890","12,200","12,270","11,820","300.05K","-2.54%"
"2024- 02- 28","12,200","12,350","12,390","12,140","0.02K","-0.73%"
"2024- 02- 27","12,290","12,320","12,550","12,170","409.94K","0.24%"
"2024- 02- 26","12,260","12,090","12,420","12,070","0.00K","1.24%"
"2024- 02- 25","12,110","12,110","12,110","12,110","","0.00%"
"2024- 02- 23","12,110","12,190","12,370","12,060","319.05K","0.08%"
"2024- 02- 22","12,100","12,280","12,280","12,050","219.62K","-0.82%"
"2024- 02- 21","12,200","12,470","12,590","12,170","260.87K","-1.61%"
"2024- 02- 20","12,400","12,540","12,550","12,280","0.02K","-1.90%"
"2024- 02- 19","12,640","12,230","12,960","12,230","0.91K","4.29%"
"2024- 02- 16","12,120","12,320","12,320","12,090","142.68K","-0.66%"
