"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","14,020","13,600","14,300","13,530","118.13K","2.64%"
"2024- 05- 07","13,660","13,320","13,780","13,180","68.57K","2.55%"
"2024- 05- 03","13,320","13,550","13,550","13,130","56.27K","-1.55%"
"2024- 05- 02","13,530","13,470","13,820","13,420","31.63K","-0.51%"
"2024- 04- 30","13,600","13,300","13,680","13,290","43.27K","1.87%"
"2024- 04- 29","13,350","13,430","13,820","13,340","55.28K","-0.37%"
"2024- 04- 26","13,400","13,520","13,580","13,350","34.09K","-0.07%"
"2024- 04- 25","13,410","13,560","13,640","13,400","44.68K","-1.76%"
"2024- 04- 24","13,650","13,620","13,820","13,360","71.39K","0.15%"
"2024- 04- 23","13,630","13,670","13,920","13,550","60.98K","-0.80%"
"2024- 04- 22","13,740","14,000","14,050","13,710","73.54K","-0.51%"
"2024- 04- 19","13,810","13,540","14,150","13,390","201.37K","2.22%"
"2024- 04- 18","13,510","13,500","13,600","13,090","175.56K","0.07%"
"2024- 04- 17","13,500","13,330","13,500","13,190","107.45K","1.28%"
"2024- 04- 16","13,330","13,400","13,480","12,900","120.67K","-0.97%"
"2024- 04- 15","13,460","13,040","13,520","12,800","103.67K","2.44%"
"2024- 04- 12","13,140","12,950","13,290","12,780","80.96K","1.62%"
"2024- 04- 11","12,930","12,800","13,100","12,580","46.14K","0.23%"
"2024- 04- 09","12,900","12,920","13,030","12,520","88.12K","-0.23%"
"2024- 04- 08","12,930","12,530","13,190","12,380","158.78K","3.19%"
"2024- 04- 05","12,530","12,990","13,090","12,370","214.18K","-5.36%"
"2024- 04- 04","13,240","13,110","13,350","12,750","367.44K","-2.72%"
"2024- 04- 03","13,610","11,870","14,400","11,730","2.40M","17.73%"
"2024- 04- 02","11,560","11,690","11,690","11,490","20.38K","-0.69%"
"2024- 04- 01","11,640","11,470","11,720","11,440","31.04K","1.48%"
"2024- 03- 29","11,470","11,280","11,550","11,240","18.58K","1.96%"
"2024- 03- 28","11,250","11,360","11,400","11,200","15.65K","0.27%"
"2024- 03- 27","11,220","11,520","11,520","11,200","47.04K","-2.18%"
"2024- 03- 26","11,470","11,770","11,770","11,440","74.67K","-1.80%"
"2024- 03- 25","11,680","11,750","11,760","11,650","12.78K","-0.09%"
"2024- 03- 22","11,690","11,740","11,790","11,640","21.24K","-0.43%"
"2024- 03- 21","11,740","11,770","11,790","11,700","19.25K","0.34%"
"2024- 03- 20","11,700","11,800","11,850","11,690","39.95K","-0.09%"
"2024- 03- 19","11,710","11,950","12,030","11,710","27.04K","-2.01%"
"2024- 03- 18","11,950","11,860","12,050","11,800","25.44K","0.93%"
"2024- 03- 17","11,840","11,840","11,840","11,840","","-0.25%"
"2024- 03- 15","11,870","11,860","12,150","11,830","0.84K","-1.58%"
"2024- 03- 14","12,060","11,740","12,120","11,740","39.94K","2.46%"
