"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,370","5,300","5,400","5,240","39.75K","1.32%"
"2024- 05- 07","5,300","5,320","5,380","5,290","15.52K","-1.12%"
"2024- 05- 03","5,360","5,370","5,390","5,300","29.66K","-1.11%"
"2024- 05- 02","5,420","5,370","5,460","5,300","22.37K","0.93%"
"2024- 04- 30","5,370","5,300","5,370","5,240","16.51K","1.51%"
"2024- 04- 29","5,290","5,220","5,330","5,210","24.72K","0.38%"
"2024- 04- 26","5,270","5,280","5,340","5,220","12.62K","0.19%"
"2024- 04- 25","5,260","5,270","5,330","5,220","24.93K","-0.19%"
"2024- 04- 24","5,270","5,150","5,370","5,150","34.83K","1.93%"
"2024- 04- 23","5,170","5,200","5,300","5,150","23.54K","-0.58%"
"2024- 04- 22","5,200","5,110","5,220","5,110","18.38K","1.76%"
"2024- 04- 19","5,110","5,210","5,300","5,010","34.73K","-3.04%"
"2024- 04- 18","5,270","5,070","5,290","5,070","26.77K","2.93%"
"2024- 04- 17","5,120","5,150","5,240","5,120","29.94K","-1.54%"
"2024- 04- 16","5,200","5,280","5,320","5,100","26.88K","-1.70%"
"2024- 04- 15","5,290","5,180","5,360","5,060","45.65K","1.73%"
"2024- 04- 12","5,200","5,140","5,210","5,090","20.16K","1.17%"
"2024- 04- 11","5,140","5,190","5,190","5,050","27.29K","-1.15%"
"2024- 04- 09","5,200","5,200","5,200","5,050","31.22K","0.58%"
"2024- 04- 08","5,170","5,360","5,430","4,910","101.71K","-3.36%"
"2024- 04- 05","5,350","5,390","5,480","5,300","75.24K","-1.83%"
"2024- 04- 04","5,450","5,590","5,610","5,450","34.36K","-2.50%"
"2024- 04- 03","5,590","5,430","5,650","5,420","55.22K","0.36%"
"2024- 04- 02","5,570","5,750","5,840","5,450","118.22K","-2.96%"
"2024- 04- 01","5,740","5,680","5,880","5,680","82.04K","0.17%"
"2024- 03- 29","5,730","5,660","5,830","5,620","92.58K","1.24%"
"2024- 03- 28","5,660","5,740","5,890","5,580","182.49K","-2.25%"
"2024- 03- 27","5,790","6,120","6,160","5,790","270.02K","-6.61%"
"2024- 03- 26","6,200","6,380","6,390","6,070","366.07K","-4.32%"
"2024- 03- 25","6,480","6,440","6,630","6,200","1.01M","-1.97%"
"2024- 03- 22","6,610","5,630","7,200","5,380","4.67M","17.41%"
"2024- 03- 21","5,630","5,470","5,960","5,390","376.00K","3.30%"
"2024- 03- 20","5,450","5,300","5,540","5,260","77.77K","2.44%"
"2024- 03- 19","5,320","5,420","5,420","5,270","51.72K","-1.66%"
"2024- 03- 18","5,410","5,330","5,440","5,200","135.92K","1.31%"
"2024- 03- 17","5,340","5,340","5,340","5,340","","0.00%"
"2024- 03- 15","5,340","5,150","5,800","5,120","975.67K","3.49%"
"2024- 03- 14","5,160","5,080","5,210","5,080","34.36K","1.57%"
"2024- 03- 13","5,080","5,180","5,190","5,060","40.72K","-3.05%"
"2024- 03- 12","5,240","5,070","5,270","5,050","66.34K","3.56%"
"2024- 03- 11","5,060","5,030","5,120","5,010","25.26K","-0.20%"
"2024- 03- 08","5,070","5,040","5,090","5,000","35.04K","0.60%"
"2024- 03- 07","5,040","5,000","5,130","4,975","26.39K","0.80%"
"2024- 03- 06","5,000","5,020","5,070","4,995","26.55K","-0.99%"
"2024- 03- 05","5,050","5,030","5,110","4,990","35.47K","0.60%"
"2024- 03- 04","5,020","5,120","5,150","5,020","70.35K","-2.14%"
"2024- 02- 29","5,130","5,080","5,150","5,020","74.56K","0.98%"
"2024- 02- 28","5,080","5,020","5,970","5,020","1.52M","1.20%"
"2024- 02- 27","5,020","5,130","5,130","4,995","20.26K","-1.76%"
"2024- 02- 26","5,110","5,080","5,130","5,020","25.08K","1.19%"
"2024- 02- 23","5,050","5,100","5,200","5,040","56.32K","-0.20%"
"2024- 02- 22","5,060","5,160","5,160","5,050","54.16K","-2.50%"
"2024- 02- 21","5,190","5,230","5,230","5,090","90.75K","-0.38%"
"2024- 02- 20","5,210","5,040","6,040","5,020","1.27M","4.30%"
"2024- 02- 19","4,995","5,080","5,080","4,990","8.13K","-0.50%"
"2024- 02- 16","5,020","5,010","5,030","4,975","23.16K","0.20%"
"2024- 02- 15","5,010","5,030","5,030","4,980","8.68K","0.20%"
"2024- 02- 14","5,000","4,920","5,040","4,915","16.33K","-0.99%"
"2024- 02- 13","5,050","5,050","5,060","4,990","9.67K","-0.20%"
"2024- 02- 08","5,060","5,070","5,080","4,985","14.04K","0.20%"
"2024- 02- 07","5,050","5,050","5,130","5,000","18.47K","0.00%"
"2024- 02- 06","5,050","5,090","5,150","4,995","10.75K","-0.79%"
"2024- 02- 05","5,090","5,030","5,160","5,000","8.78K","0.20%"
"2024- 02- 02","5,080","5,020","5,170","4,995","4.18K","1.20%"
"2024- 02- 01","5,020","5,110","5,170","5,000","14.69K","-3.09%"
"2024- 01- 31","5,180","5,110","5,180","4,975","34.23K","0.00%"
"2024- 01- 30","5,180","5,090","5,200","5,090","6.33K","0.78%"
"2024- 01- 29","5,140","5,200","5,230","5,110","4.25K","-1.15%"
"2024- 01- 26","5,200","5,190","5,210","5,070","10.18K","0.19%"
"2024- 01- 25","5,190","5,160","5,220","5,110","16.56K","-0.57%"
"2024- 01- 24","5,220","5,330","5,330","5,180","10.20K","-1.51%"
"2024- 01- 23","5,300","5,290","5,360","5,260","5.12K","-0.19%"
"2024- 01- 22","5,310","5,320","5,320","5,210","5.63K","-0.19%"
"2024- 01- 19","5,320","5,280","5,330","5,240","4.75K","1.33%"
"2024- 01- 18","5,250","5,190","5,340","5,150","12.16K","0.77%"
"2024- 01- 17","5,210","5,300","5,330","5,200","11.05K","-1.14%"
"2024- 01- 16","5,270","5,230","5,330","5,230","7.37K","0.38%"
"2024- 01- 15","5,250","5,440","5,440","5,090","34.54K","-3.85%"
"2024- 01- 12","5,460","5,510","5,610","5,370","18.35K","-0.73%"
"2024- 01- 11","5,500","5,550","5,610","5,470","6.13K","-1.96%"
