"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 04","1,080","1,220","1,249","1,019","3.75M","-11.48%"
"2024- 04- 03","1,220","1,314","1,354","1,200","1.67M","-9.90%"
"2024- 04- 02","1,354","1,438","1,520","1,330","2.70M","-5.97%"
"2024- 04- 01","1,440","1,215","1,465","1,190","6.36M","18.52%"
"2024- 03- 29","1,215","1,065","1,340","1,057","5.03M","14.84%"
"2024- 03- 28","1,058","1,089","1,139","1,039","1.82M","-2.85%"
"2024- 03- 27","1,089","1,111","1,132","1,070","1.96M","-3.29%"
"2024- 03- 26","1,126","1,210","1,210","1,114","2.19M","-6.01%"
"2024- 03- 25","1,198","1,240","1,247","1,117","3.68M","-4.16%"
"2024- 03- 22","1,250","1,328","1,349","1,244","2.21M","-6.02%"
"2024- 03- 21","1,330","1,341","1,384","1,300","1.71M","-0.15%"
"2024- 03- 20","1,332","1,220","1,380","1,150","5.90M","-5.53%"
"2024- 03- 19","1,410","1,382","1,567","1,366","3.36M","2.03%"
"2024- 03- 18","1,382","1,386","1,404","1,336","1.63M","2.83%"
"2024- 03- 15","1,344","1,386","1,408","1,339","310.52K","-4.41%"
"2024- 03- 14","1,406","1,411","1,418","1,354","0.00K","-0.42%"
"2024- 03- 13","1,412","1,438","1,467","1,402","1.41M","-2.62%"
"2024- 03- 12","1,450","1,454","1,560","1,390","4.20M","-1.49%"
"2024- 03- 11","1,472","1,960","1,960","1,366","0.90K","-24.55%"
"2024- 03- 08","1,951","2,050","2,050","1,915","837.84K","-3.89%"
"2024- 03- 07","2,030","2,025","2,045","1,994","373.19K","0.74%"
"2024- 03- 06","2,015","2,025","2,090","2,000","392.93K","-0.49%"
"2024- 03- 05","2,025","2,020","2,040","1,998","183.07K","-1.22%"
"2024- 03- 04","2,050","2,065","2,080","1,980","803.82K","0.00%"
"2024- 02- 29","2,050","2,065","2,125","2,035","381.12K","-0.73%"
"2024- 02- 28","2,065","2,075","2,120","2,035","240.94K","-0.48%"
"2024- 02- 27","2,075","2,070","2,095","2,005","299.77K","0.24%"
"2024- 02- 26","2,070","2,060","2,105","2,005","349.22K","0.73%"
"2024- 02- 23","2,055","2,100","2,100","2,030","358.92K","-2.61%"
"2024- 02- 22","2,110","2,135","2,160","2,100","257.91K","-1.17%"
"2024- 02- 21","2,135","2,100","2,170","2,095","374.82K","0.95%"
"2024- 02- 20","2,115","2,135","2,180","2,055","324.18K","-1.17%"
"2024- 02- 19","2,140","2,165","2,170","2,120","343.89K","-1.15%"
"2024- 02- 16","2,165","2,230","2,235","2,165","283.09K","-2.04%"
"2024- 02- 15","2,210","2,195","2,240","2,185","254.88K","0.45%"
"2024- 02- 14","2,200","2,250","2,250","2,150","472.83K","-1.79%"
"2024- 02- 13","2,240","2,275","2,295","2,220","330.13K","-1.32%"
"2024- 02- 08","2,270","2,265","2,330","2,235","271.64K","1.34%"
"2024- 02- 07","2,240","2,250","2,290","2,240","245.66K","-0.44%"
"2024- 02- 06","2,250","2,185","2,280","2,155","400.16K","2.97%"
"2024- 02- 05","2,185","2,255","2,255","2,160","334.42K","-2.89%"
"2024- 02- 02","2,250","2,260","2,285","2,235","217.29K","0.00%"
"2024- 02- 01","2,250","2,245","2,290","2,145","328.44K","0.22%"
"2024- 01- 31","2,245","2,385","2,400","2,230","518.27K","-5.87%"
"2024- 01- 30","2,385","2,380","2,450","2,360","450.90K","-1.45%"
"2024- 01- 29","2,420","2,480","2,535","2,405","586.30K","0.00%"
"2024- 01- 26","2,420","2,410","2,490","2,375","431.47K","0.41%"
"2024- 01- 25","2,410","2,350","2,495","2,230","1.15M","2.55%"
"2024- 01- 24","2,350","2,625","2,630","2,255","1.53M","-11.15%"
"2024- 01- 23","2,645","3,100","3,100","2,565","0.01K","-0.56%"
"2024- 01- 22","2,660","2,660","2,740","2,545","1.28M","3.50%"
"2024- 01- 21","2,570","2,570","2,570","2,570","","0.00%"
"2024- 01- 19","2,570","2,485","2,620","2,485","821.27K","3.84%"
"2024- 01- 18","2,475","2,465","2,560","2,445","287.64K","0.20%"
"2024- 01- 17","2,470","2,470","2,490","2,430","286.90K","-0.20%"
"2024- 01- 16","2,475","2,450","2,505","2,355","0.06K","2.27%"
"2024- 01- 15","2,420","2,570","2,570","2,390","567.31K","-5.84%"
"2024- 01- 12","2,570","2,650","2,650","2,520","658.67K","-2.10%"
"2024- 01- 11","2,625","2,500","2,625","2,480","765.52K","4.17%"
"2024- 01- 10","2,520","2,560","2,585","2,475","627.90K","-0.20%"
"2024- 01- 09","2,525","2,470","2,550","2,450","649.24K","2.02%"
"2024- 01- 08","2,475","2,400","2,595","2,350","2.29M","6.22%"
"2024- 01- 05","2,330","2,260","2,330","2,175","962.46K","5.91%"
"2024- 01- 04","2,200","2,240","2,240","2,150","408.33K","-1.79%"
"2024- 01- 03","2,240","2,145","2,305","2,130","0.02K","4.19%"
"2024- 01- 02","2,150","2,045","2,210","2,025","1.03M","5.39%"
