"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","18,480","18,180","18,530","18,000","75.58K","2.10%"
"2024- 05- 07","18,100","18,360","18,410","18,000","41.58K","-1.42%"
"2024- 05- 03","18,360","18,510","18,500","18,280","10.55K","-0.76%"
"2024- 05- 02","18,500","18,500","18,500","18,240","15.90K","0.00%"
"2024- 04- 30","18,500","18,500","18,630","18,300","39.75K","-0.38%"
"2024- 04- 29","18,570","18,210","18,680","18,190","25.05K","1.48%"
"2024- 04- 26","18,300","17,700","18,300","17,700","37.77K","3.10%"
"2024- 04- 25","17,750","17,860","18,230","17,750","33.71K","-2.04%"
"2024- 04- 24","18,120","17,920","18,400","17,920","33.61K","0.78%"
"2024- 04- 23","17,980","18,210","18,210","17,850","21.10K","-0.61%"
"2024- 04- 22","18,090","18,200","18,270","17,790","26.68K","-0.60%"
"2024- 04- 19","18,200","18,590","18,590","17,680","34.28K","-0.87%"
"2024- 04- 18","18,360","18,330","18,660","18,330","21.93K","-0.86%"
"2024- 04- 17","18,520","18,510","18,700","18,350","12.94K","0.00%"
"2024- 04- 16","18,520","18,510","18,550","18,270","21.92K","-0.05%"
"2024- 04- 15","18,530","18,750","18,760","18,290","35.67K","-1.91%"
"2024- 04- 12","18,890","19,060","19,060","18,750","23.43K","-0.89%"
"2024- 04- 11","19,060","19,100","19,290","18,900","48.60K","-1.75%"
"2024- 04- 09","19,400","19,310","19,500","19,080","19.98K","-0.36%"
"2024- 04- 08","19,470","19,870","19,870","19,290","27.98K","-2.01%"
"2024- 04- 05","19,870","19,900","19,990","19,650","16.91K","-0.50%"
"2024- 04- 04","19,970","19,720","20,150","19,700","12.44K","0.20%"
"2024- 04- 03","19,930","19,980","20,250","19,780","15.20K","-1.34%"
"2024- 04- 02","20,200","19,980","20,550","19,770","34.52K","0.75%"
"2024- 04- 01","20,050","20,000","20,100","19,950","12.02K","0.25%"
"2024- 03- 29","20,000","20,050","20,450","19,860","42.24K","0.00%"
"2024- 03- 28","20,000","19,770","20,250","19,510","47.47K","1.57%"
"2024- 03- 27","19,690","19,700","19,750","19,400","29.45K","0.10%"
"2024- 03- 26","19,670","19,670","19,790","19,580","11.74K","-0.35%"
"2024- 03- 25","19,740","19,990","19,990","19,680","8.00K","-0.55%"
"2024- 03- 22","19,850","19,740","19,990","19,600","16.23K","0.81%"
"2024- 03- 21","19,690","19,700","19,700","19,530","9.12K","0.51%"
"2024- 03- 20","19,590","19,650","19,730","19,500","9.21K","-0.31%"
"2024- 03- 19","19,650","19,770","19,840","19,420","13.61K","-0.41%"
"2024- 03- 18","19,730","19,680","19,850","19,520","12.87K","-0.30%"
"2024- 03- 15","19,790","19,680","19,790","19,490","0.94K","0.61%"
"2024- 03- 14","19,670","19,780","19,800","19,530","11.86K","-0.56%"
"2024- 03- 13","19,780","19,450","19,850","19,430","23.53K","1.70%"
"2024- 03- 12","19,450","19,400","19,450","19,020","19.45K","0.31%"
"2024- 03- 11","19,390","19,400","19,510","19,200","12.72K","0.00%"
"2024- 03- 08","19,390","18,850","19,610","18,790","22.90K","2.86%"
"2024- 03- 07","18,850","19,100","19,100","18,650","30.61K","-0.95%"
"2024- 03- 06","19,030","19,290","19,370","19,030","24.18K","-1.65%"
"2024- 03- 05","19,350","19,390","19,490","19,000","32.96K","-0.21%"
"2024- 03- 04","19,390","19,550","19,620","19,190","33.47K","-0.31%"
"2024- 02- 29","19,450","19,500","19,740","19,390","37.01K","-1.27%"
"2024- 02- 28","19,700","19,690","19,780","19,550","23.82K","0.97%"
"2024- 02- 27","19,510","19,910","20,000","19,510","34.81K","-2.45%"
"2024- 02- 26","20,000","20,000","20,200","19,850","25.51K","-0.25%"
"2024- 02- 23","20,050","20,050","20,050","19,810","26.49K","0.00%"
"2024- 02- 22","20,050","20,000","20,200","19,860","38.25K","-0.25%"
"2024- 02- 21","20,100","20,400","20,400","20,000","37.06K","-1.23%"
"2024- 02- 20","20,350","20,450","20,450","20,100","23.06K","0.49%"
"2024- 02- 19","20,250","21,400","21,400","20,200","96.97K","-5.81%"
"2024- 02- 16","21,500","21,400","21,600","21,150","16.92K","0.23%"
"2024- 02- 15","21,450","21,600","21,600","21,200","15.31K","0.23%"
"2024- 02- 14","21,400","21,400","21,650","21,150","19.98K","-0.70%"
"2024- 02- 13","21,550","20,450","21,900","20,450","88.31K","5.64%"
"2024- 02- 08","20,400","20,000","20,650","19,900","34.98K","2.00%"
"2024- 02- 07","20,000","20,350","20,400","20,000","0.06K","-1.23%"
"2024- 02- 06","20,250","20,250","20,500","20,000","34.15K","0.00%"
"2024- 02- 05","20,250","20,300","20,300","19,470","0.01K","-0.25%"
"2024- 02- 02","20,300","20,550","20,550","19,900","259.31K","0.00%"
"2024- 02- 01","20,300","20,800","20,800","19,850","111.21K","-1.46%"
"2024- 01- 31","20,600","21,000","21,000","20,250","57.40K","-1.44%"
"2024- 01- 30","20,900","20,900","21,000","20,500","79.25K","0.00%"
"2024- 01- 29","20,900","21,400","21,400","20,750","49.98K","-2.56%"
"2024- 01- 26","21,450","21,450","21,700","21,250","58.20K","-0.23%"
"2024- 01- 25","21,500","21,850","21,850","21,000","60.77K","-1.15%"
"2024- 01- 24","21,750","22,200","22,200","21,550","20.14K","-1.81%"
"2024- 01- 23","22,150","22,250","22,250","21,700","20.19K","-0.23%"
"2024- 01- 22","22,200","22,500","22,500","21,750","23.78K","-0.22%"
"2024- 01- 21","22,250","22,250","22,250","22,250","","0.00%"
"2024- 01- 19","22,250","22,000","22,450","21,850","34.48K","1.14%"
"2024- 01- 18","22,000","21,600","22,000","21,400","28.37K","2.09%"
"2024- 01- 17","21,550","23,050","23,050","21,550","49.00K","-5.90%"
"2024- 01- 16","22,900","22,600","23,000","22,150","28.41K","1.33%"
"2024- 01- 15","22,600","22,650","22,800","22,300","0.05K","0.00%"
"2024- 01- 12","22,600","23,200","23,300","22,400","42.83K","-2.59%"
"2024- 01- 11","23,200","23,550","23,550","23,100","23.68K","-1.49%"
"2024- 01- 10","23,550","23,600","23,750","23,150","31.79K","-0.84%"
"2024- 01- 09","23,750","23,550","23,950","23,150","47.70K","0.85%"
"2024- 01- 08","23,550","24,000","24,100","23,300","56.98K","-1.67%"
"2024- 01- 07","23,950","23,950","23,950","23,950","","0.00%"
"2024- 01- 05","23,950","22,700","24,600","22,550","251.47K","6.68%"
"2024- 01- 04","22,450","21,950","22,650","21,800","31.61K","2.05%"
"2024- 01- 03","22,000","22,400","22,400","21,950","28.70K","-2.65%"
"2024- 01- 02","22,600","21,600","22,800","21,100","81.09K","4.87%"
