"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,670","3,735","3,735","3,625","55.24K","-0.81%"
"2024- 05- 07","3,700","3,680","4,020","3,650","632.99K","0.54%"
"2024- 05- 03","3,680","3,610","3,680","3,620","12.10K","1.66%"
"2024- 05- 02","3,620","3,630","3,675","3,615","20.63K","0.14%"
"2024- 04- 30","3,615","3,610","3,630","3,610","11.90K","0.14%"
"2024- 04- 29","3,610","3,615","3,625","3,590","15.49K","0.28%"
"2024- 04- 26","3,600","3,600","3,635","3,565","16.86K","-0.14%"
"2024- 04- 25","3,605","3,605","3,615","3,570","10.78K","0.00%"
"2024- 04- 24","3,605","3,570","3,625","3,570","17.74K","0.84%"
"2024- 04- 23","3,575","3,635","3,635","3,575","16.88K","-0.69%"
"2024- 04- 22","3,600","3,595","3,630","3,585","13.08K","0.14%"
"2024- 04- 19","3,595","3,665","3,680","3,575","20.25K","-1.51%"
"2024- 04- 18","3,650","3,600","3,675","3,600","9.75K","0.83%"
"2024- 04- 17","3,620","3,660","3,695","3,605","16.57K","-0.69%"
"2024- 04- 16","3,645","3,725","3,795","3,630","76.14K","-2.15%"
"2024- 04- 15","3,725","3,550","3,730","3,545","36.54K","2.62%"
"2024- 04- 12","3,630","3,600","3,645","3,600","19.86K","1.26%"
"2024- 04- 11","3,585","3,570","3,635","3,550","21.66K","-0.69%"
"2024- 04- 09","3,610","3,690","3,720","3,610","26.75K","-0.82%"
"2024- 04- 08","3,640","3,705","3,750","3,640","52.87K","-1.89%"
"2024- 04- 05","3,710","3,735","3,740","3,705","28.97K","-0.80%"
"2024- 04- 04","3,740","3,720","3,770","3,720","19.62K","-0.13%"
"2024- 04- 03","3,745","3,770","3,780","3,740","41.19K","-1.32%"
"2024- 04- 02","3,795","3,790","3,860","3,770","44.46K","-0.26%"
"2024- 04- 01","3,805","3,815","3,830","3,780","34.71K","-0.26%"
"2024- 03- 29","3,815","3,860","3,865","3,780","45.42K","-1.17%"
"2024- 03- 28","3,860","3,765","3,940","3,740","212.15K","2.66%"
"2024- 03- 27","3,760","3,785","3,785","3,745","34.79K","-0.13%"
"2024- 03- 26","3,765","3,735","3,800","3,735","32.21K","-0.26%"
"2024- 03- 25","3,775","3,755","3,785","3,755","16.95K","0.40%"
"2024- 03- 22","3,760","3,755","3,795","3,750","41.52K","-0.27%"
"2024- 03- 21","3,770","3,780","3,820","3,770","56.71K","-0.53%"
"2024- 03- 20","3,790","3,835","3,845","3,785","49.82K","-0.66%"
"2024- 03- 19","3,815","3,790","3,905","3,780","72.29K","0.13%"
"2024- 03- 18","3,810","3,800","3,830","3,770","32.84K","0.26%"
