"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,487","1,487","1,506","1,400","296.16K","0.00%"
"2024- 05- 07","1,487","1,502","1,540","1,479","155.03K","-0.93%"
"2024- 05- 03","1,501","1,519","1,534","1,483","84.29K","-1.12%"
"2024- 05- 02","1,518","1,510","1,552","1,490","43.75K","0.53%"
"2024- 04- 30","1,510","1,513","1,530","1,480","80.19K","-0.07%"
"2024- 04- 29","1,511","1,526","1,549","1,498","71.05K","-0.98%"
"2024- 04- 26","1,526","1,519","1,547","1,490","61.42K","0.59%"
"2024- 04- 25","1,517","1,566","1,566","1,517","49.48K","-3.25%"
"2024- 04- 24","1,568","1,545","1,600","1,500","337.26K","1.49%"
"2024- 04- 23","1,545","1,630","1,679","1,480","197.31K","-4.51%"
"2024- 04- 22","1,618","1,631","1,700","1,579","234.52K","1.70%"
"2024- 04- 19","1,591","1,590","1,686","1,539","364.41K","0.95%"
"2024- 04- 18","1,576","1,655","1,659","1,559","301.80K","-5.06%"
"2024- 04- 17","1,660","1,683","1,736","1,618","229.87K","-2.30%"
"2024- 04- 16","1,699","1,704","1,735","1,640","136.50K","0.06%"
"2024- 04- 15","1,698","1,679","1,740","1,672","196.07K","-1.51%"
"2024- 04- 12","1,724","1,763","1,776","1,689","254.21K","-2.60%"
"2024- 04- 11","1,770","1,836","1,875","1,702","285.95K","-2.91%"
"2024- 04- 09","1,823","1,829","1,914","1,796","507.88K","-0.22%"
"2024- 04- 08","1,827","1,724","1,888","1,712","333.91K","4.10%"
"2024- 04- 05","1,755","1,764","1,784","1,706","212.62K","-0.51%"
"2024- 04- 04","1,764","1,725","1,800","1,702","250.68K","2.20%"
"2024- 04- 03","1,726","1,736","1,736","1,640","307.40K","-0.80%"
"2024- 04- 02","1,740","1,695","1,795","1,656","641.31K","2.47%"
"2024- 04- 01","1,698","1,877","1,896","1,659","1.13M","-9.49%"
"2024- 03- 29","1,876","1,979","1,979","1,820","900.79K","-5.11%"
"2024- 03- 28","1,977","1,920","2,100","1,818","3.39M","14.48%"
"2024- 03- 27","1,727","1,700","1,727","1,600","4.35M","29.95%"
"2024- 03- 26","1,329","1,905","1,945","1,329","1.03M","-29.98%"
"2024- 03- 25","1,898","1,880","1,981","1,835","511.11K","3.43%"
"2024- 03- 22","1,835","1,740","1,857","1,688","814.46K","4.98%"
"2024- 03- 21","1,748","1,650","1,850","1,610","956.41K","5.56%"
"2024- 03- 20","1,656","1,859","1,859","1,610","1.39M","-12.10%"
"2024- 03- 19","1,884","1,950","1,950","1,573","1.89M","-3.38%"
"2024- 03- 18","1,950","2,120","2,125","1,949","734.94K","-5.80%"
"2024- 03- 15","2,070","2,120","2,180","2,040","68.12K","-4.83%"
"2024- 03- 14","2,175","2,320","2,320","1,997","1.27M","-6.05%"
"2024- 03- 13","2,315","2,325","2,390","2,265","528.38K","-0.43%"
"2024- 03- 12","2,325","2,285","2,450","2,285","732.27K","0.87%"
"2024- 03- 11","2,305","2,100","2,305","2,080","1.05M","11.08%"
"2024- 03- 08","2,075","2,090","2,135","2,010","286.69K","-1.19%"
