"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 07","3,990.00","3,990.00","4,440.00","3,875.00","","0.00%"
"2024- 02- 06","3,990.00","3,990.00","4,085.00","3,935.00","5.31K","0.00%"
"2024- 02- 05","3,990.00","4,005.00","4,280.00","3,915.00","3.12K","-0.25%"
"2024- 02- 02","4,000.00","3,865.00","4,465.00","3,865.00","3.26K","-1.84%"
"2024- 02- 01","4,075.00","3,995.00","4,090.00","3,815.00","2.47K","2.13%"
"2024- 01- 31","3,990.00","3,735.00","4,050.00","3,720.00","3.67K","0.25%"
"2024- 01- 30","3,980.00","3,720.00","4,090.00","3,705.00","10.57K","3.51%"
"2024- 01- 29","3,845.00","3,995.00","3,995.00","3,750.00","5.16K","-1.66%"
"2024- 01- 26","3,910.00","4,100.00","4,100.00","3,900.00","19.89K","-3.69%"
"2024- 01- 25","4,060.00","4,005.00","4,165.00","3,805.00","10.94K","-1.10%"
"2024- 01- 24","4,105.00","4,055.00","4,365.00","4,055.00","2.38K","-0.61%"
"2024- 01- 23","4,130.00","4,030.00","4,205.00","4,030.00","2.23K","-0.24%"
"2024- 01- 22","4,140.00","4,580.00","4,580.00","4,000.00","11.17K","-0.96%"
"2024- 01- 19","4,180.00","4,520.00","4,520.00","4,050.00","9.93K","-1.07%"
"2024- 01- 18","4,225.00","4,400.00","4,400.00","4,105.00","5.64K","-2.54%"
"2024- 01- 17","4,335.00","4,995.00","4,995.00","4,300.00","5.93K","-3.24%"
"2024- 01- 16","4,480.00","4,480.00","4,500.00","4,355.00","3.18K","1.70%"
"2024- 01- 15","4,405.00","4,465.00","4,465.00","4,230.00","7.30K","0.46%"
"2024- 01- 12","4,385.00","4,300.00","4,485.00","4,255.00","7.12K","0.23%"
"2024- 01- 11","4,375.00","4,220.00","4,480.00","4,220.00","6.24K","-1.69%"
"2024- 01- 10","4,450.00","4,490.00","4,490.00","4,245.00","6.71K","0.23%"
"2024- 01- 09","4,440.00","4,300.00","4,440.00","4,005.00","13.94K","5.71%"
"2024- 01- 08","4,200.00","4,500.00","4,500.00","3,940.00","16.34K","0.00%"
"2024- 01- 05","4,200.00","4,690.00","4,690.00","4,100.00","2.83K","0.24%"
"2024- 01- 04","4,190.00","4,290.00","4,385.00","4,000.00","27.39K","3.08%"
"2024- 01- 03","4,065.00","4,200.00","4,200.00","3,855.00","3.82K","0.62%"
"2024- 01- 02","4,040.00","3,850.00","4,370.00","3,800.00","10.23K","6.32%"
