"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","10,320","10,260","10,330","10,200","19.44K","0.29%"
"2024- 05- 07","10,290","10,300","10,390","10,210","15.01K","0.00%"
"2024- 05- 03","10,290","10,200","10,350","10,200","14.19K","0.29%"
"2024- 05- 02","10,260","10,250","10,400","10,200","19.37K","-0.68%"
"2024- 04- 30","10,330","10,210","10,330","10,190","31.00K","1.08%"
"2024- 04- 29","10,220","10,200","10,290","10,170","16.81K","0.29%"
"2024- 04- 26","10,190","10,390","10,450","10,160","34.78K","-2.30%"
"2024- 04- 25","10,430","10,270","10,470","10,260","28.89K","1.26%"
"2024- 04- 24","10,300","10,240","10,310","10,200","24.10K","0.78%"
"2024- 04- 23","10,220","10,210","10,380","10,190","34.66K","-0.68%"
"2024- 04- 22","10,290","10,410","10,450","10,220","42.23K","-0.68%"
"2024- 04- 19","10,360","10,360","10,950","10,240","222.14K","1.87%"
"2024- 04- 18","10,170","10,500","10,500","10,120","59.19K","-2.59%"
"2024- 04- 17","10,440","10,750","10,970","10,440","97.22K","-4.22%"
"2024- 04- 16","10,900","11,110","11,830","10,870","329.80K","-0.18%"
"2024- 04- 15","10,920","10,800","12,130","10,780","504.49K","1.87%"
"2024- 04- 12","10,720","10,980","11,150","10,680","35.00K","-3.07%"
"2024- 04- 11","11,060","11,060","11,400","11,050","28.50K","-1.25%"
"2024- 04- 09","11,200","11,140","11,350","11,140","19.50K","0.00%"
"2024- 04- 08","11,200","11,450","11,520","11,200","25.41K","-2.78%"
"2024- 04- 05","11,520","11,410","11,600","11,250","40.33K","2.40%"
"2024- 04- 04","11,250","11,310","11,400","11,220","16.06K","-0.97%"
"2024- 04- 03","11,360","11,590","11,840","11,300","81.36K","-0.09%"
"2024- 04- 02","11,370","11,420","11,740","11,370","41.29K","-0.35%"
"2024- 04- 01","11,410","11,030","11,430","11,000","27.36K","3.54%"
"2024- 03- 29","11,020","11,300","11,420","11,020","39.58K","-2.91%"
"2024- 03- 28","11,350","11,510","11,640","11,250","23.87K","-2.07%"
"2024- 03- 27","11,590","11,460","11,640","11,460","22.67K","0.43%"
"2024- 03- 26","11,540","11,500","11,650","11,480","14.26K","-0.17%"
"2024- 03- 25","11,560","11,450","11,700","11,350","13.21K","-0.09%"
"2024- 03- 22","11,570","11,500","11,640","11,430","26.91K","1.49%"
"2024- 03- 21","11,400","11,530","11,600","11,400","15.54K","-1.13%"
"2024- 03- 20","11,530","11,390","11,610","11,390","28.40K","1.23%"
"2024- 03- 19","11,390","11,250","11,770","11,200","50.03K","0.53%"
"2024- 03- 18","11,330","11,400","11,430","11,180","21.70K","0.00%"
"2024- 03- 15","11,330","11,300","11,690","11,280","33.00K","-0.35%"
"2024- 03- 14","11,370","11,420","11,520","11,270","15.81K","-0.09%"
"2024- 03- 13","11,380","11,170","11,390","11,080","24.13K","1.97%"
"2024- 03- 12","11,160","11,310","11,370","11,080","19.58K","-1.59%"
"2024- 03- 11","11,340","11,060","11,400","11,060","19.83K","1.52%"
"2024- 03- 08","11,170","11,110","11,250","11,090","17.89K","-0.36%"
"2024- 03- 07","11,210","11,200","11,280","11,110","23.29K","-0.71%"
"2024- 03- 06","11,290","11,320","11,470","11,100","37.23K","0.27%"
"2024- 03- 05","11,260","11,180","11,380","11,130","22.72K","0.45%"
"2024- 03- 04","11,210","11,070","11,270","11,070","18.23K","0.63%"
"2024- 02- 29","11,140","11,190","11,370","11,130","20.81K","-1.33%"
"2024- 02- 28","11,290","11,450","11,450","11,210","22.11K","-0.09%"
"2024- 02- 27","11,300","11,880","11,880","11,240","53.12K","-3.83%"
"2024- 02- 26","11,750","11,620","11,860","11,620","22.79K","1.12%"
"2024- 02- 23","11,620","11,920","11,960","11,590","52.90K","-2.02%"
"2024- 02- 22","11,860","12,100","12,130","11,860","40.19K","-1.98%"
"2024- 02- 21","12,100","12,410","12,570","12,060","49.47K","-2.34%"
"2024- 02- 20","12,390","12,060","12,410","12,060","37.81K","2.31%"
"2024- 02- 19","12,110","12,050","12,230","12,050","25.70K","0.00%"
"2024- 02- 16","12,110","12,290","12,330","12,100","31.67K","-1.46%"
"2024- 02- 15","12,290","12,200","12,320","12,190","24.14K","0.33%"
"2024- 02- 14","12,250","12,260","12,560","12,110","119.82K","1.91%"
"2024- 02- 13","12,020","11,800","12,020","11,800","22.58K","1.43%"
"2024- 02- 08","11,850","11,770","11,940","11,770","16.55K","0.68%"
"2024- 02- 07","11,770","11,870","11,870","11,590","29.50K","0.09%"
"2024- 02- 06","11,760","12,160","12,410","11,740","70.71K","-3.61%"
"2024- 02- 05","12,200","12,200","12,580","12,180","73.02K","-0.08%"
"2024- 02- 02","12,210","12,000","12,290","11,840","59.42K","1.92%"
"2024- 02- 01","11,980","12,450","13,170","11,940","0.02K","-2.76%"
"2024- 01- 31","12,320","11,910","13,470","11,910","0.01K","3.70%"
"2024- 01- 30","11,880","11,750","12,080","11,550","40.72K","1.19%"
"2024- 01- 29","11,740","11,760","12,230","11,740","0.09K","-1.51%"
"2024- 01- 26","11,920","11,630","12,120","11,630","53.64K","2.94%"
"2024- 01- 25","11,580","12,520","12,590","11,520","0.10K","-7.51%"
"2024- 01- 24","12,520","12,700","13,090","12,520","109.36K","-2.19%"
"2024- 01- 23","12,800","12,790","12,980","12,640","54.74K","-0.23%"
"2024- 01- 22","12,830","13,010","13,250","12,830","92.27K","-2.66%"
"2024- 01- 21","13,180","13,180","13,180","13,180","","0.00%"
"2024- 01- 19","13,180","13,150","13,520","13,050","119.63K","-2.30%"
"2024- 01- 18","13,490","13,610","14,230","13,230","338.93K","-1.68%"
"2024- 01- 17","13,720","12,720","14,800","12,720","1.64M","7.86%"
"2024- 01- 16","12,720","12,610","13,260","12,560","71.98K","0.47%"
