"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,936","1,930","1,940","1,925","38.92K","0.31%"
"2024- 05- 07","1,930","1,944","1,952","1,925","31.89K","-0.52%"
"2024- 05- 03","1,940","1,918","1,955","1,918","38.40K","-0.31%"
"2024- 05- 02","1,946","1,898","1,960","1,898","87.10K","1.46%"
"2024- 04- 30","1,918","1,900","1,918","1,900","35.27K","0.74%"
"2024- 04- 29","1,904","1,882","1,909","1,882","33.23K","1.28%"
"2024- 04- 26","1,880","1,880","1,929","1,864","84.89K","0.00%"
"2024- 04- 25","1,880","1,872","1,895","1,870","25.11K","-0.16%"
"2024- 04- 24","1,883","1,868","1,903","1,868","25.34K","0.37%"
"2024- 04- 23","1,876","1,875","1,910","1,860","57.41K","-0.16%"
"2024- 04- 22","1,879","1,872","1,891","1,869","62.75K","-0.58%"
"2024- 04- 19","1,890","1,947","1,947","1,877","101.89K","-1.46%"
"2024- 04- 18","1,918","1,866","1,922","1,866","31.83K","1.48%"
"2024- 04- 17","1,890","1,886","1,944","1,886","50.40K","-0.53%"
"2024- 04- 16","1,900","1,902","1,935","1,897","82.42K","-1.50%"
"2024- 04- 15","1,929","1,923","1,941","1,875","77.53K","0.89%"
"2024- 04- 12","1,912","1,930","1,946","1,912","90.24K","-1.60%"
"2024- 04- 11","1,943","1,975","1,975","1,913","63.65K","-1.62%"
"2024- 04- 09","1,975","1,893","1,986","1,893","163.44K","3.62%"
"2024- 04- 08","1,906","1,903","1,915","1,880","74.62K","0.16%"
"2024- 04- 05","1,903","1,905","1,943","1,891","76.21K","-0.99%"
"2024- 04- 04","1,922","1,927","1,952","1,906","63.06K","-0.26%"
"2024- 04- 03","1,927","1,990","2,005","1,926","214.73K","-3.41%"
"2024- 04- 02","1,995","2,050","2,050","1,992","188.45K","-3.16%"
"2024- 04- 01","2,060","1,990","2,060","1,990","142.84K","2.74%"
"2024- 03- 29","2,005","2,050","2,075","2,005","195.57K","-2.20%"
"2024- 03- 28","2,050","2,055","2,095","2,040","131.34K","0.00%"
"2024- 03- 27","2,050","2,080","2,105","2,040","328.94K","-1.68%"
"2024- 03- 26","2,085","2,090","2,145","2,075","537.17K","-1.42%"
"2024- 03- 25","2,115","2,160","2,165","2,085","685.46K","-1.40%"
"2024- 03- 22","2,145","2,040","2,315","1,996","9.88M","4.13%"
"2024- 03- 21","2,060","1,829","2,275","1,829","9.28M","12.26%"
"2024- 03- 20","1,835","1,856","1,856","1,830","52.36K","-0.33%"
"2024- 03- 19","1,841","1,842","1,858","1,840","62.65K","-0.91%"
"2024- 03- 18","1,858","1,851","1,868","1,850","44.94K","0.32%"
"2024- 03- 15","1,852","1,851","1,896","1,852","2.01K","-2.17%"
"2024- 03- 14","1,893","1,900","1,910","1,875","60.25K","-0.37%"
"2024- 03- 13","1,900","1,913","1,913","1,869","73.93K","-0.16%"
"2024- 03- 12","1,903","1,905","1,925","1,885","38.94K","0.05%"
"2024- 03- 11","1,902","1,885","1,905","1,872","45.49K","0.85%"
"2024- 03- 08","1,886","1,862","1,920","1,862","57.47K","0.27%"
"2024- 03- 07","1,881","1,908","1,914","1,873","0.22K","-1.10%"
"2024- 03- 06","1,902","1,901","1,920","1,893","52.07K","0.05%"
"2024- 03- 05","1,901","1,945","1,945","1,900","151.39K","-2.41%"
"2024- 03- 04","1,948","1,962","1,965","1,921","80.31K","-0.87%"
"2024- 02- 29","1,965","1,976","2,015","1,960","92.71K","-1.45%"
"2024- 02- 28","1,994","2,005","2,015","1,980","112.33K","-0.55%"
"2024- 02- 27","2,005","2,065","2,080","1,987","0.10K","-3.61%"
"2024- 02- 26","2,080","2,140","2,160","2,030","453.30K","-0.95%"
"2024- 02- 23","2,100","2,100","2,120","2,065","126.58K","0.48%"
"2024- 02- 22","2,090","2,075","2,110","2,060","101.95K","0.72%"
"2024- 02- 21","2,075","2,150","2,155","2,070","170.40K","-3.49%"
"2024- 02- 20","2,150","2,150","2,155","2,100","258.79K","1.42%"
"2024- 02- 19","2,120","2,070","2,125","2,070","138.70K","1.68%"
"2024- 02- 16","2,085","2,090","2,090","2,045","133.59K","-0.24%"
"2024- 02- 15","2,090","2,045","2,100","2,030","385.97K","1.95%"
"2024- 02- 14","2,050","2,045","2,055","2,010","83.71K","0.00%"
"2024- 02- 13","2,050","1,993","2,050","1,980","0.10K","3.48%"
"2024- 02- 08","1,981","1,970","2,010","1,960","108.62K","0.56%"
"2024- 02- 07","1,970","1,970","2,015","1,969","92.53K","-0.96%"
"2024- 02- 06","1,989","2,030","2,030","1,957","196.86K","-1.78%"
"2024- 02- 05","2,025","2,030","2,055","2,000","116.52K","-0.49%"
"2024- 02- 02","2,035","2,030","2,080","2,000","127.06K","0.25%"
"2024- 02- 01","2,030","2,025","2,095","2,010","0.00K","-0.98%"
"2024- 01- 31","2,050","2,160","2,160","2,050","1.00K","-1.91%"
"2024- 01- 30","2,090","2,100","2,130","2,055","0.01K","-0.48%"
"2024- 01- 29","2,100","2,175","2,175","2,055","280.85K","-2.33%"
"2024- 01- 28","2,150","2,150","2,150","2,150","","0.00%"
"2024- 01- 26","2,150","2,065","2,200","2,055","617.86K","4.12%"
"2024- 01- 25","2,065","2,165","2,180","2,035","0.49K","-4.62%"
"2024- 01- 24","2,165","2,140","2,350","2,120","3.66M","0.46%"
"2024- 01- 23","2,155","2,220","2,240","2,155","0.00K","-3.79%"
"2024- 01- 22","2,240","2,205","2,260","2,115","939.55K","2.75%"
"2024- 01- 21","2,180","2,180","2,180","2,180","","0.00%"
"2024- 01- 19","2,180","2,220","2,350","2,140","1.76M","-3.54%"
"2024- 01- 18","2,260","2,270","2,480","2,210","7.19M","0.00%"
"2024- 01- 17","2,260","2,105","2,570","2,085","0.05K","5.12%"
"2024- 01- 16","2,150","2,145","2,235","2,060","0.06K","0.70%"
"2024- 01- 15","2,135","1,962","2,370","1,934","0.12K","8.82%"
"2024- 01- 12","1,962","1,966","1,991","1,931","365.82K","-1.11%"
"2024- 01- 11","1,984","1,867","2,195","1,852","0.60K","7.24%"
"2024- 01- 10","1,850","1,845","1,865","1,838","25.66K","0.27%"
"2024- 01- 09","1,845","1,831","1,864","1,830","0.10K","0.27%"
"2024- 01- 08","1,840","1,817","1,865","1,817","38.48K","1.27%"
"2024- 01- 05","1,817","1,784","1,840","1,784","16.36K","0.83%"
"2024- 01- 04","1,802","1,865","1,865","1,755","85.22K","-3.01%"
"2024- 01- 03","1,858","1,825","1,864","1,825","32.32K","0.16%"
"2024- 01- 02","1,855","1,873","1,873","1,800","32.29K","-0.43%"
