"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","22,850","22,900","23,200","22,700","64.79K","-0.22%"
"2024- 05- 07","22,900","23,800","23,750","22,800","123.39K","-3.58%"
"2024- 05- 03","23,750","23,800","24,300","23,350","226.12K","4.17%"
"2024- 05- 02","22,800","23,000","23,050","22,600","31.96K","0.22%"
"2024- 04- 30","22,750","23,000","23,000","22,500","49.74K","-1.09%"
"2024- 04- 29","23,000","22,950","23,000","22,550","55.18K","0.66%"
"2024- 04- 26","22,850","22,700","22,950","22,500","44.57K","0.44%"
"2024- 04- 25","22,750","22,150","22,850","22,150","63.01K","1.56%"
"2024- 04- 24","22,400","22,200","22,450","22,100","33.44K","1.82%"
"2024- 04- 23","22,000","22,000","22,250","21,850","33.99K","0.23%"
"2024- 04- 22","21,950","21,850","22,050","21,750","30.00K","0.46%"
"2024- 04- 19","21,850","21,900","22,150","21,600","30.81K","-0.91%"
"2024- 04- 18","22,050","21,850","22,200","21,750","54.99K","1.15%"
"2024- 04- 17","21,800","21,600","22,100","21,550","61.04K","0.93%"
"2024- 04- 16","21,600","21,300","21,650","21,150","73.74K","0.93%"
"2024- 04- 15","21,400","21,150","21,400","21,000","49.63K","0.00%"
"2024- 04- 12","21,400","21,700","21,850","21,150","49.45K","-0.93%"
"2024- 04- 11","21,600","21,550","21,850","21,300","63.60K","0.23%"
"2024- 04- 09","21,550","21,400","21,700","21,300","86.94K","1.17%"
"2024- 04- 08","21,300","21,750","21,800","21,150","61.91K","-0.93%"
"2024- 04- 05","21,500","21,450","21,850","21,250","47.32K","0.23%"
"2024- 04- 04","21,450","21,600","21,700","21,150","72.84K","-0.46%"
"2024- 04- 03","21,550","21,600","22,000","21,500","61.93K","-0.69%"
"2024- 04- 02","21,700","21,500","21,950","21,500","75.72K","0.00%"
"2024- 04- 01","21,700","21,550","21,900","21,450","71.23K","0.46%"
"2024- 03- 29","21,600","21,350","21,750","21,350","99.86K","-3.57%"
"2024- 03- 28","22,400","22,450","22,550","22,200","106.41K","-0.22%"
