"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,850","2,840","2,880","2,790","825.67K","0.35%"
"2024- 05- 07","2,840","2,830","2,865","2,820","468.39K","0.53%"
"2024- 05- 03","2,825","2,820","2,855","2,780","423.42K","0.89%"
"2024- 05- 02","2,800","2,815","2,830","2,770","348.27K","-0.53%"
"2024- 04- 30","2,815","2,815","2,885","2,800","608.86K","-0.71%"
"2024- 04- 29","2,835","2,795","2,865","2,775","796.15K","3.09%"
"2024- 04- 26","2,750","2,740","2,795","2,730","347.40K","0.36%"
"2024- 04- 25","2,740","2,855","2,855","2,740","709.69K","-3.35%"
"2024- 04- 24","2,835","2,790","2,885","2,740","1.41M","3.85%"
"2024- 04- 23","2,730","2,780","2,840","2,730","566.46K","-1.80%"
"2024- 04- 22","2,780","2,765","2,830","2,745","622.06K","2.21%"
"2024- 04- 19","2,720","2,850","2,850","2,695","626.91K","-3.89%"
"2024- 04- 18","2,830","2,755","2,835","2,735","568.96K","3.10%"
"2024- 04- 17","2,745","2,730","2,795","2,720","476.86K","0.92%"
"2024- 04- 16","2,720","2,765","2,775","2,695","782.33K","-2.68%"
"2024- 04- 15","2,795","2,775","2,800","2,705","845.11K","-0.53%"
"2024- 04- 12","2,810","2,815","2,860","2,765","872.64K","0.00%"
"2024- 04- 11","2,810","2,850","2,945","2,800","1.44M","-1.75%"
"2024- 04- 09","2,860","2,970","3,030","2,840","1.97M","-3.70%"
"2024- 04- 08","2,970","2,905","3,080","2,865","5.42M","-16.57%"
"2024- 04- 05","3,560","3,750","3,750","3,560","1.34M","-5.07%"
"2024- 04- 04","3,750","3,815","3,890","3,735","2.56M","-4.82%"
"2024- 04- 03","3,940","3,715","4,345","3,545","27.15M","6.06%"
"2024- 04- 02","3,715","3,865","3,865","3,705","1.04M","-4.87%"
"2024- 04- 01","3,905","3,670","3,970","3,670","2.74M","6.69%"
"2024- 03- 29","3,660","3,715","3,735","3,630","891.67K","-1.48%"
"2024- 03- 28","3,715","3,800","3,810","3,705","1.03M","-1.98%"
"2024- 03- 27","3,790","3,910","3,965","3,770","1.35M","-3.68%"
"2024- 03- 26","3,935","3,900","4,075","3,865","1.56M","-0.13%"
"2024- 03- 25","3,940","4,040","4,040","3,795","2.25M","-3.67%"
"2024- 03- 22","4,090","4,070","4,145","4,050","1.04M","0.49%"
"2024- 03- 21","4,070","4,195","4,200","4,060","2.12M","-3.90%"
"2024- 03- 20","4,235","4,240","4,310","4,095","2.23M","0.36%"
"2024- 03- 19","4,220","4,370","4,445","4,135","2.49M","-3.21%"
"2024- 03- 18","4,360","4,510","4,770","4,310","4.71M","-4.28%"
"2024- 03- 17","4,555","4,510","4,640","4,450","2.04M","2.36%"
"2024- 03- 15","4,450","4,335","4,710","4,215","6.56M","1.02%"
"2024- 03- 14","4,405","4,590","4,590","4,405","3.97K","-5.57%"
"2024- 03- 13","4,665","4,495","4,730","4,460","5.20K","2.53%"
"2024- 03- 12","4,550","4,035","4,910","4,030","11.92K","14.32%"
"2024- 03- 11","3,980","4,090","4,170","3,980","9.01K","-4.56%"
"2024- 03- 10","4,170","4,170","4,170","4,170","","0.00%"
"2024- 03- 08","4,170","4,150","4,220","4,015","2.65M","-0.60%"
"2024- 03- 07","4,195","4,500","4,500","4,195","0.73K","-7.40%"
"2024- 03- 06","4,530","4,255","4,860","4,205","13.04M","4.02%"
"2024- 03- 05","4,355","4,615","4,670","4,345","8.42M","0.35%"
"2024- 03- 04","4,340","4,300","4,435","4,190","0.01K","0.93%"
"2024- 03- 03","4,300","4,300","4,300","4,300","","0.00%"
"2024- 02- 29","4,300","4,505","4,605","4,270","3.82M","-4.97%"
"2024- 02- 28","4,525","4,470","4,580","4,410","1.14K","-2.27%"
"2024- 02- 27","4,630","4,890","4,905","4,520","0.32K","-6.46%"
"2024- 02- 26","4,950","5,250","5,370","4,930","15.37K","-4.62%"
"2024- 02- 25","5,190","5,190","5,190","5,190","","0.00%"
"2024- 02- 23","5,190","5,170","5,580","4,940","29.65M","0.39%"
"2024- 02- 22","5,170","5,800","5,800","5,170","58.91K","-3.54%"
"2024- 02- 21","5,360","5,590","5,770","5,310","14.37M","-4.46%"
"2024- 02- 20","5,610","5,770","6,040","5,470","39.45K","2.00%"
"2024- 02- 19","5,500","5,670","6,280","5,390","7.45K","8.06%"
"2024- 02- 18","5,090","5,090","5,090","5,090","","0.00%"
"2024- 02- 16","5,090","4,205","5,090","4,200","71.60M","29.85%"
"2024- 02- 15","3,920","3,680","4,075","3,630","12.74M","8.44%"
"2024- 02- 14","3,615","3,545","3,655","3,515","1.33M","-0.69%"
"2024- 02- 13","3,640","3,530","3,760","3,450","3.38M","3.41%"
"2024- 02- 12","3,520","3,520","3,520","3,520","","0.00%"
"2024- 02- 08","3,520","3,375","3,550","3,360","2.90M","5.71%"
"2024- 02- 07","3,330","3,405","3,440","3,325","0.10K","-3.06%"
"2024- 02- 06","3,435","3,650","3,660","3,345","3.35M","-5.89%"
"2024- 02- 05","3,650","4,080","4,080","3,645","0.70K","-10.10%"
"2024- 02- 02","4,060","3,910","4,295","3,910","9.05M","4.10%"
"2024- 02- 01","3,900","4,375","4,580","3,795","1.84K","-4.29%"
"2024- 01- 31","4,075","4,200","4,465","4,070","0.00K","-5.23%"
"2024- 01- 30","4,300","4,010","4,495","3,880","6.51K","7.23%"
"2024- 01- 29","4,010","4,105","4,240","3,945","27.30K","-5.09%"
"2024- 01- 28","4,225","4,225","4,225","4,225","","0.00%"
"2024- 01- 26","4,225","4,650","4,715","4,190","24.57M","-1.74%"
"2024- 01- 25","4,300","3,810","4,605","3,675","0.04K","7.50%"
"2024- 01- 24","4,000","3,335","4,000","3,240","37.34M","29.87%"
"2024- 01- 23","3,080","3,025","3,080","2,980","629.24K","2.16%"
"2024- 01- 22","3,015","3,000","3,060","2,955","569.29K","1.17%"
"2024- 01- 19","2,980","2,990","3,045","2,945","422.01K","1.53%"
"2024- 01- 18","2,935","2,900","2,990","2,850","495.41K","1.21%"
"2024- 01- 17","2,900","3,020","3,020","2,900","0.04K","-4.13%"
"2024- 01- 16","3,025","3,030","3,080","2,990","337.72K","-1.31%"
"2024- 01- 15","3,065","3,085","3,125","3,020","522.01K","-0.33%"
"2024- 01- 14","3,075","3,075","3,075","3,075","","0.00%"
"2024- 01- 12","3,075","3,145","3,170","3,015","889.40K","-1.28%"
"2024- 01- 11","3,115","3,125","3,210","3,110","775.60K","-0.32%"
"2024- 01- 10","3,125","3,190","3,195","3,090","639.44K","-2.04%"
"2024- 01- 09","3,190","3,225","3,225","3,150","0.33K","-0.31%"
"2024- 01- 08","3,200","3,080","3,205","3,080","0.77K","3.39%"
"2024- 01- 07","3,095","3,095","3,095","3,095","","0.00%"
"2024- 01- 05","3,095","3,060","3,150","3,055","552.56K","1.31%"
"2024- 01- 04","3,055","3,085","3,170","3,050","994.24K","-1.45%"
"2024- 01- 03","3,100","3,110","3,150","3,060","648.59K","-0.64%"
"2024- 01- 02","3,120","3,095","3,165","3,060","450.58K","-0.64%"
