"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","15,910.00","15,950.00","16,180.00","15,770.00","19.87K","0.13%"
"2024- 05- 07","15,890.00","15,940.00","16,180.00","15,800.00","11.43K","0.38%"
"2024- 05- 03","15,830.00","16,230.00","16,130.00","15,730.00","12.56K","-1.00%"
"2024- 05- 02","15,990.00","15,500.00","16,050.00","15,380.00","17.06K","1.98%"
"2024- 04- 30","15,680.00","16,110.00","16,110.00","15,610.00","17.18K","-1.94%"
"2024- 04- 29","15,990.00","15,400.00","15,990.00","15,400.00","42.29K","4.85%"
"2024- 04- 26","15,250.00","15,430.00","15,720.00","15,200.00","8.24K","-1.17%"
"2024- 04- 25","15,430.00","15,770.00","15,940.00","15,430.00","22.55K","-2.16%"
"2024- 04- 24","15,770.00","15,500.00","16,030.00","15,500.00","24.32K","2.14%"
"2024- 04- 23","15,440.00","15,300.00","15,740.00","15,300.00","20.77K","1.58%"
"2024- 04- 22","15,200.00","14,800.00","15,290.00","14,800.00","15.57K","2.70%"
"2024- 04- 19","14,800.00","15,070.00","15,070.00","14,360.00","40.26K","-1.86%"
"2024- 04- 18","15,080.00","14,500.00","15,270.00","14,500.00","29.28K","4.50%"
"2024- 04- 17","14,430.00","14,210.00","14,630.00","14,210.00","19.71K","1.26%"
"2024- 04- 16","14,250.00","14,600.00","14,600.00","14,200.00","38.98K","-2.60%"
"2024- 04- 15","14,630.00","14,800.00","14,990.00","14,430.00","43.20K","-2.40%"
"2024- 04- 12","14,990.00","15,500.00","15,570.00","14,990.00","25.71K","-2.35%"
"2024- 04- 11","15,350.00","15,180.00","15,450.00","14,860.00","32.90K","-0.65%"
"2024- 04- 09","15,450.00","15,590.00","15,730.00","15,250.00","19.66K","0.72%"
"2024- 04- 08","15,340.00","16,020.00","16,030.00","15,340.00","50.94K","-4.84%"
"2024- 04- 05","16,120.00","16,270.00","16,390.00","15,790.00","51.71K","-1.71%"
"2024- 04- 04","16,400.00","16,560.00","16,910.00","16,390.00","45.98K","-0.97%"
"2024- 04- 03","16,560.00","16,830.00","16,830.00","16,360.00","40.47K","-1.60%"
"2024- 04- 02","16,830.00","17,600.00","17,600.00","16,770.00","55.26K","-4.05%"
"2024- 04- 01","17,540.00","16,330.00","17,710.00","16,330.00","125.43K","7.54%"
"2024- 03- 29","16,310.00","16,620.00","16,800.00","16,300.00","53.31K","-2.04%"
"2024- 03- 28","16,650.00","17,110.00","17,110.00","16,640.00","39.20K","-2.86%"
"2024- 03- 27","17,140.00","17,410.00","17,920.00","16,890.00","39.88K","-1.32%"
"2024- 03- 26","17,370.00","16,750.00","17,840.00","16,650.00","83.90K","4.39%"
