"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","12,790","11,240","13,320","11,160","1.91M","14.30%"
"2024- 05- 07","11,190","11,670","11,690","11,100","208.50K","-4.11%"
"2024- 05- 03","11,670","11,680","11,780","11,290","232.00K","0.60%"
"2024- 05- 02","11,600","11,890","12,260","11,510","316.07K","-3.25%"
"2024- 04- 30","11,990","10,350","12,300","10,330","1.53M","16.98%"
"2024- 04- 29","10,250","10,350","10,470","10,060","301.15K","-2.29%"
"2024- 04- 26","10,490","9,000","11,430","9,000","2.08M","16.56%"
"2024- 04- 25","9,000","9,420","9,420","8,990","154.95K","-4.86%"
"2024- 04- 24","9,460","9,590","9,800","9,420","124.21K","0.11%"
"2024- 04- 23","9,450","9,920","9,990","9,410","122.30K","-4.55%"
"2024- 04- 22","9,900","9,420","9,950","9,410","91.56K","3.56%"
"2024- 04- 19","9,560","10,150","10,180","9,300","113.96K","-6.27%"
"2024- 04- 18","10,200","9,590","10,310","9,020","156.36K","6.36%"
"2024- 04- 17","9,590","9,700","9,930","9,590","64.70K","-0.83%"
"2024- 04- 16","9,670","9,990","10,140","9,600","144.20K","-3.78%"
"2024- 04- 15","10,050","10,340","10,340","9,900","144.68K","-4.83%"
"2024- 04- 12","10,560","10,350","10,740","10,230","83.57K","2.03%"
"2024- 04- 11","10,350","10,420","10,600","10,150","96.31K","-2.91%"
"2024- 04- 09","10,660","10,600","10,790","10,410","109.13K","0.66%"
"2024- 04- 08","10,590","11,330","11,340","10,500","175.24K","-3.81%"
"2024- 04- 05","11,010","11,310","11,380","10,820","217.44K","-4.68%"
"2024- 04- 04","11,550","11,850","11,850","11,090","200.19K","-1.95%"
"2024- 04- 03","11,780","11,500","11,900","11,200","108.19K","1.64%"
"2024- 04- 02","11,590","12,570","12,650","11,580","231.43K","-7.13%"
"2024- 04- 01","12,480","12,120","12,610","12,020","154.35K","4.00%"
"2024- 03- 29","12,000","12,330","12,360","11,970","104.72K","-2.76%"
"2024- 03- 28","12,340","12,150","12,410","12,020","81.58K","0.98%"
"2024- 03- 27","12,220","12,630","12,630","11,990","207.46K","-3.25%"
"2024- 03- 26","12,630","13,250","13,250","12,530","203.72K","-4.82%"
"2024- 03- 25","13,270","13,000","13,340","12,650","175.74K","2.47%"
"2024- 03- 22","12,950","13,060","13,170","12,880","115.77K","-1.45%"
"2024- 03- 21","13,140","13,110","13,360","13,020","135.62K","1.47%"
"2024- 03- 20","12,950","13,350","13,430","12,880","97.57K","-3.07%"
"2024- 03- 19","13,360","13,840","13,840","13,250","123.36K","-4.43%"
"2024- 03- 18","13,980","13,800","14,030","13,500","161.90K","0.58%"
"2024- 03- 17","13,900","13,900","13,900","13,900","","0.00%"
"2024- 03- 15","13,900","12,990","14,000","12,630","0.24K","7.42%"
"2024- 03- 14","12,940","13,400","13,560","12,890","0.39K","-3.00%"
"2024- 03- 13","13,340","12,600","13,640","12,600","504.73K","7.06%"
"2024- 03- 12","12,460","12,310","12,900","12,310","163.40K","1.22%"
"2024- 03- 11","12,310","12,500","13,000","12,200","166.72K","-2.92%"
"2024- 03- 10","12,680","12,680","12,680","12,680","","0.00%"
"2024- 03- 08","12,680","13,160","13,330","12,560","147.13K","-4.01%"
"2024- 03- 07","13,210","12,700","13,440","12,500","321.41K","5.51%"
"2024- 03- 06","12,520","12,100","12,830","12,090","159.96K","1.38%"
"2024- 03- 05","12,350","12,600","12,700","12,130","193.18K","-1.98%"
"2024- 03- 04","12,600","13,090","13,250","12,500","276.65K","-3.30%"
"2024- 02- 29","13,030","13,590","13,590","12,830","281.47K","-4.12%"
"2024- 02- 28","13,590","14,000","14,150","13,400","234.33K","-3.41%"
"2024- 02- 27","14,070","14,770","14,940","14,000","287.29K","-6.70%"
"2024- 02- 26","15,080","16,130","16,200","13,820","0.02K","-8.05%"
"2024- 02- 25","16,400","16,400","16,400","16,400","","0.00%"
"2024- 02- 23","16,400","16,210","16,470","15,480","387.97K","1.55%"
"2024- 02- 22","16,150","14,850","16,190","14,810","0.04K","9.49%"
"2024- 02- 21","14,750","15,510","15,600","14,680","222.20K","-4.53%"
"2024- 02- 20","15,450","15,360","16,160","15,290","0.01K","0.32%"
"2024- 02- 19","15,400","15,120","16,200","15,100","399.49K","2.12%"
"2024- 02- 18","15,080","15,080","15,080","15,080","","0.00%"
"2024- 02- 16","15,080","15,140","15,900","15,000","472.66K","1.55%"
"2024- 02- 15","14,850","15,450","15,450","14,800","200.14K","-2.24%"
"2024- 02- 14","15,190","14,710","15,610","14,710","206.53K","0.73%"
"2024- 02- 13","15,080","14,280","15,250","14,110","335.68K","5.60%"
"2024- 02- 12","14,280","14,280","14,280","14,280","","0.00%"
"2024- 02- 08","14,280","14,200","14,590","13,700","210.49K","0.85%"
"2024- 02- 07","14,160","14,300","14,300","13,780","216.35K","-1.46%"
"2024- 02- 06","14,370","14,990","15,030","13,780","424.97K","-4.83%"
"2024- 02- 05","15,100","16,000","16,000","14,720","0.01K","-4.73%"
"2024- 02- 04","15,850","15,850","15,850","15,850","","0.00%"
"2024- 02- 02","15,850","16,250","16,610","15,630","303.09K","-1.37%"
"2024- 02- 01","16,070","15,850","16,580","15,520","0.64K","0.75%"
"2024- 01- 31","15,950","16,660","16,800","15,950","0.13K","-4.32%"
"2024- 01- 30","16,670","17,790","17,890","16,170","0.01K","-6.30%"
"2024- 01- 29","17,790","18,890","18,890","17,410","0.01K","-5.22%"
"2024- 01- 28","18,770","18,770","18,770","18,770","","0.00%"
"2024- 01- 26","18,770","18,710","18,770","18,300","149.60K","0.00%"
"2024- 01- 25","18,770","19,070","19,460","18,020","0.00K","-0.64%"
"2024- 01- 24","18,890","19,770","19,770","18,790","149.32K","-3.72%"
"2024- 01- 23","19,620","19,760","20,350","19,220","0.00K","2.19%"
"2024- 01- 22","19,200","19,230","19,230","18,100","347.32K","-0.62%"
"2024- 01- 21","19,320","19,320","19,320","19,320","","0.00%"
"2024- 01- 19","19,320","19,200","19,830","19,190","205.69K","1.95%"
"2024- 01- 18","18,950","17,890","19,450","17,800","268.44K","4.29%"
"2024- 01- 17","18,170","19,920","19,930","18,090","0.15K","-8.92%"
"2024- 01- 16","19,950","20,400","20,700","19,730","0.16K","-2.92%"
"2024- 01- 15","20,550","20,400","20,800","19,950","201.42K","-0.24%"
"2024- 01- 14","20,600","20,600","20,600","20,600","","0.00%"
"2024- 01- 12","20,600","21,400","21,500","19,930","612.84K","-5.50%"
"2024- 01- 11","21,800","21,500","22,100","21,000","0.09K","0.00%"
"2024- 01- 10","21,800","24,500","24,650","21,050","0.05K","-6.44%"
"2024- 01- 09","23,300","21,400","24,300","20,700","1.50M","12.02%"
"2024- 01- 08","20,800","20,400","21,350","20,050","371.79K","2.72%"
"2024- 01- 05","20,250","19,570","20,650","19,570","304.58K","3.79%"
"2024- 01- 04","19,510","19,130","19,590","18,830","0.01K","1.61%"
"2024- 01- 03","19,200","20,400","20,500","18,810","0.29K","-7.02%"
"2024- 01- 02","20,650","21,950","21,950","20,350","0.26K","-5.92%"
