"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,995","3,000","3,015","2,920","590.86K","-0.17%"
"2024- 05- 07","3,000","2,930","3,090","2,900","990.41K","2.39%"
"2024- 05- 03","2,930","2,870","3,000","2,865","729.28K","2.45%"
"2024- 05- 02","2,860","2,970","3,035","2,830","1.20M","-5.92%"
"2024- 04- 30","3,040","3,140","3,275","2,970","2.91M","0.33%"
"2024- 04- 29","3,030","2,980","3,215","2,925","3.70M","6.13%"
"2024- 04- 26","2,855","2,990","2,990","2,820","2.16M","2.70%"
"2024- 04- 25","2,780","2,850","2,945","2,745","2.90M","0.00%"
"2024- 04- 24","2,780","2,425","2,950","2,425","10.31M","15.35%"
"2024- 04- 23","2,410","2,430","2,720","2,405","3.40M","0.63%"
"2024- 04- 22","2,395","2,120","2,440","2,065","2.32M","13.78%"
"2024- 04- 19","2,105","2,225","2,230","2,075","1.65M","-4.10%"
"2024- 04- 18","2,195","2,360","2,360","2,150","2.01M","-7.19%"
"2024- 04- 17","2,365","2,500","2,550","2,350","1.06M","-5.40%"
"2024- 04- 16","2,500","2,600","2,695","2,500","635.10K","-3.85%"
"2024- 04- 15","2,600","2,565","2,700","2,475","946.52K","-1.33%"
"2024- 04- 12","2,635","2,630","2,715","2,600","693.09K","-0.19%"
"2024- 04- 11","2,640","2,630","2,695","2,530","662.11K","0.19%"
"2024- 04- 09","2,635","2,770","2,770","2,520","978.41K","-4.87%"
"2024- 04- 08","2,770","2,800","2,815","2,710","631.23K","0.18%"
"2024- 04- 05","2,765","2,765","2,850","2,650","836.95K","0.00%"
"2024- 04- 04","2,765","2,775","2,895","2,765","631.10K","-1.95%"
"2024- 04- 03","2,820","2,835","3,045","2,760","2.18M","-1.40%"
"2024- 04- 02","2,860","2,720","2,900","2,635","1.51M","5.15%"
"2024- 04- 01","2,720","2,700","2,745","2,600","730.33K","0.74%"
"2024- 03- 29","2,700","2,700","2,880","2,545","2.57M","-0.37%"
"2024- 03- 28","2,710","2,700","2,755","2,630","881.89K","0.37%"
