"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","17,880","17,890","17,900","17,880","157.10K","0.00%"
"2024- 05- 07","17,880","17,880","17,900","17,880","509.76K","0.00%"
"2024- 05- 03","17,880","17,870","17,900","17,870","324.44K","0.06%"
"2024- 05- 02","17,870","17,870","17,890","17,860","305.86K","0.06%"
"2024- 04- 30","17,860","17,880","17,900","17,860","670.98K","-0.11%"
"2024- 04- 29","17,880","17,860","17,880","17,850","3.91M","14.84%"
"2024- 04- 26","15,570","13,300","16,100","12,990","1.89M","18.85%"
"2024- 04- 25","13,100","12,880","13,100","12,850","47.18K","1.39%"
"2024- 04- 24","12,920","13,460","13,470","12,860","83.51K","-3.08%"
"2024- 04- 23","13,330","12,930","13,480","12,920","116.68K","4.06%"
"2024- 04- 22","12,810","12,680","13,480","12,560","187.47K","2.64%"
"2024- 04- 19","12,480","12,800","12,880","12,430","107.65K","-2.58%"
"2024- 04- 18","12,810","13,100","13,540","12,810","130.87K","-0.77%"
"2024- 04- 17","12,910","13,050","13,300","12,870","51.28K","-1.07%"
"2024- 04- 16","13,050","13,330","13,330","13,010","42.83K","-2.10%"
"2024- 04- 15","13,330","13,880","13,880","13,320","71.57K","-3.48%"
"2024- 04- 12","13,810","14,300","14,510","13,770","93.93K","-3.90%"
"2024- 04- 11","14,370","14,200","14,400","14,140","41.58K","0.35%"
"2024- 04- 09","14,320","14,610","14,690","14,100","69.90K","-0.83%"
"2024- 04- 08","14,440","13,750","14,440","13,710","74.31K","5.02%"
"2024- 04- 05","13,750","13,610","13,990","13,610","33.47K","-0.15%"
"2024- 04- 04","13,770","14,010","14,010","13,710","40.89K","-0.65%"
"2024- 04- 03","13,860","13,950","14,000","13,610","42.65K","-0.29%"
"2024- 04- 02","13,900","13,920","14,140","13,720","64.61K","-1.00%"
"2024- 04- 01","14,040","13,850","14,230","13,710","47.19K","2.41%"
"2024- 03- 29","13,710","13,900","14,000","13,620","70.20K","-1.72%"
"2024- 03- 28","13,950","13,970","14,180","13,900","45.45K","-0.71%"
"2024- 03- 27","14,050","14,170","14,210","13,930","59.50K","-1.06%"
"2024- 03- 26","14,200","14,230","14,390","14,020","106.82K","-0.21%"
"2024- 03- 25","14,230","14,320","14,850","14,150","124.89K","-1.52%"
"2024- 03- 22","14,450","14,400","14,600","14,070","212.06K","-0.69%"
"2024- 03- 21","14,550","17,350","17,390","14,010","1.38M","-14.41%"
"2024- 03- 20","17,000","16,740","17,000","15,880","687.88K","1.55%"
"2024- 03- 19","16,740","16,800","17,000","16,110","773.79K","2.76%"
"2024- 03- 18","16,290","15,040","16,390","14,940","801.21K","6.75%"
"2024- 03- 17","15,260","15,260","15,260","15,260","","0.33%"
"2024- 03- 15","15,210","15,040","15,370","13,420","112.62K","13.51%"
"2024- 03- 14","13,400","12,250","13,520","12,110","452.39K","11.67%"
"2024- 03- 13","12,000","12,740","12,740","11,800","0.00K","-4.53%"
"2024- 03- 12","12,570","12,700","13,010","12,530","109.48K","-1.72%"
"2024- 03- 11","12,790","12,830","13,000","12,650","74.79K","-1.24%"
"2024- 03- 08","12,950","13,500","13,500","12,950","98.20K","-3.29%"
"2024- 03- 07","13,390","13,540","13,690","13,100","115.69K","-2.12%"
"2024- 03- 06","13,680","13,580","13,840","13,430","51.01K","-0.22%"
"2024- 03- 05","13,710","13,570","13,870","13,500","57.27K","0.96%"
"2024- 03- 04","13,580","13,660","13,920","13,580","45.91K","-0.59%"
"2024- 02- 29","13,660","13,690","13,890","13,660","45.86K","-0.58%"
"2024- 02- 28","13,740","13,900","14,180","13,730","49.87K","-2.07%"
"2024- 02- 27","14,030","13,980","14,300","13,690","111.97K","-0.71%"
"2024- 02- 26","14,130","14,020","14,310","13,870","54.76K","-0.14%"
"2024- 02- 23","14,150","14,150","14,200","13,990","80.42K","-0.07%"
"2024- 02- 22","14,160","14,270","14,440","14,050","85.54K","-0.98%"
"2024- 02- 21","14,300","14,720","14,860","14,300","109.29K","-3.96%"
"2024- 02- 20","14,890","14,980","15,110","14,680","85.85K","-0.53%"
"2024- 02- 19","14,970","15,300","15,340","14,970","68.29K","-1.25%"
"2024- 02- 16","15,160","15,070","15,220","14,840","70.24K","0.73%"
"2024- 02- 15","15,050","15,100","15,490","14,960","156.21K","-0.33%"
"2024- 02- 14","15,100","14,780","15,180","14,670","154.39K","1.21%"
"2024- 02- 13","14,920","14,680","14,950","14,460","0.01K","1.50%"
"2024- 02- 08","14,700","13,900","14,760","13,900","149.07K","5.00%"
"2024- 02- 07","14,000","13,490","14,190","13,490","101.07K","4.01%"
"2024- 02- 06","13,460","13,490","13,600","13,340","107.09K","-0.52%"
"2024- 02- 05","13,530","13,780","13,910","13,520","117.59K","-2.80%"
"2024- 02- 02","13,920","14,230","14,230","13,910","79.99K","-0.71%"
"2024- 02- 01","14,020","13,990","14,060","13,670","94.80K","1.23%"
"2024- 01- 31","13,850","14,300","14,300","13,800","95.77K","-3.08%"
"2024- 01- 30","14,290","14,190","14,500","13,740","191.44K","1.13%"
"2024- 01- 29","14,130","14,820","15,010","13,880","0.01K","-4.78%"
"2024- 01- 28","14,840","14,840","14,840","14,840","","0.00%"
"2024- 01- 26","14,840","14,720","14,930","14,720","83.12K","0.00%"
"2024- 01- 25","14,840","14,830","15,010","14,700","88.80K","-0.87%"
"2024- 01- 24","14,970","15,000","15,250","14,760","97.50K","-0.60%"
"2024- 01- 23","15,060","14,640","15,240","14,510","0.00K","3.86%"
"2024- 01- 22","14,500","14,290","14,970","14,230","359.27K","2.40%"
"2024- 01- 21","14,160","14,160","14,160","14,160","","0.00%"
"2024- 01- 19","14,160","13,910","14,630","13,910","166.85K","1.80%"
"2024- 01- 18","13,910","14,090","14,100","13,770","92.27K","-0.36%"
"2024- 01- 17","13,960","14,030","14,120","13,710","102.16K","0.29%"
"2024- 01- 16","13,920","13,890","14,170","13,750","86.27K","0.51%"
"2024- 01- 15","13,850","13,930","14,240","13,720","102.68K","-0.50%"
"2024- 01- 12","13,920","13,790","14,030","13,630","131.27K","-0.07%"
"2024- 01- 11","13,930","13,650","14,060","13,380","183.66K","2.65%"
"2024- 01- 10","13,570","13,300","13,570","13,190","0.93K","2.03%"
"2024- 01- 09","13,300","13,230","13,440","13,230","0.10K","0.00%"
"2024- 01- 08","13,300","13,750","13,760","13,060","481.90K","-3.27%"
"2024- 01- 05","13,750","14,770","14,790","13,730","504.59K","-5.95%"
"2024- 01- 04","14,620","15,520","15,520","14,340","0.05K","-5.98%"
"2024- 01- 03","15,550","16,510","17,080","15,550","0.11K","-5.07%"
"2024- 01- 02","16,380","15,390","16,560","15,380","821.21K","6.92%"
